time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
146432,27.0,42.567203521728516,65671.86737060547,-0.018926547000592108,-5.424260006844998,33359.87890625,0.0,0.0076816375,0.038037109375,0.0003,0.2,710,,,,,
147456,27.0,35.20509338378906,,,,,,,,,,,,,,,
148480,27.0,40.183021545410156,75821.29692382812,-0.017626032880798448,-5.388433101773262,34905.62109375,0.0,0.007936975,0.033203125,0.0003,0.2,720,,,,,
149504,27.0,40.533470153808594,,,,,,,,,,,,,,,
150528,27.0,38.5158576965332,66672.2428100586,-0.020452998495602514,-5.382835890352726,35351.28125,0.0,0.008196137,0.046484375,0.0003,0.2,730,,,,,
151552,27.0,39.25180435180664,,,,,,,,,,,,,,,
152576,27.0,40.832489013671875,62867.83751220703,-0.019340510704205373,-5.378238205611706,35071.88671875,0.0,0.008636487,0.04951171875,0.0003,0.2,740,,,,,
153600,27.0,43.081825256347656,,,,,,,,,,,,,,,
154624,27.0,42.47454071044922,73138.1810913086,-0.018009762959263754,-5.397858889400959,35789.421875,-1.1920928955078125e-07,0.007995526,0.044140625,0.0003,0.2,750,,,,,
155648,27.0,39.194847106933594,,,,,,,,,,,,,,,
156672,27.0,39.46609115600586,64501.30306396484,-0.023895360402821097,-5.413469138741493,30930.556640625,0.0,0.009412909,0.07421875,0.0003,0.2,760,,,,,
157696,27.0,46.68990707397461,,,,,,,,,,,,,,,
158720,27.0,43.58280944824219,67778.69990234375,-0.017695726486272177,-5.392728899419308,30951.115234375,0.0,0.007760721,0.043994140625,0.0003,0.2,770,,,,,
159744,27.0,43.811927795410156,,,,,,,,,,,,,,,
160768,27.0,37.126407623291016,66143.63291015624,-0.022152252413798125,-5.386021682620049,31965.71875,0.0,0.008942249,0.0521484375,0.0003,0.2,780,,,,,
161792,27.0,43.871883392333984,,,,,,,,,,,,,,,
162816,27.0,42.40336608886719,62847.17943115234,-0.019637711955874694,-5.391534249484539,28150.927734375,0.0,0.008677192,0.03564453125,0.0003,0.2,790,,,,,
163840,27.0,44.208831787109375,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,368,444,740.5882075599999,27.0,80
164864,27.0,39.951961517333984,64363.559582519534,-0.01987376397883054,-5.3798738941550255,29271.1796875,0.0,0.0085195135,0.0533203125,0.0003,0.2,800,,,,,
165888,27.0,43.027549743652344,,,,,,,,,,,,,,,
166912,27.0,37.29555130004883,65157.71361083984,-0.021012718982819933,-5.354480461776257,31282.384765625,0.0,0.008743368,0.0537109375,0.0003,0.2,810,,,,,
167936,27.0,39.9734001159668,,,,,,,,,,,,,,,
168960,27.0,41.875732421875,64177.715368652345,-0.01936468706553569,-5.33737375587225,32107.240234375,0.0,0.007832816,0.0525390625,0.0003,0.2,820,,,,,
169984,27.0,41.66771697998047,,,,,,,,,,,,,,,
171008,27.0,42.745887756347656,62635.2112915039,-0.020877710211789236,-5.326641379296779,32865.375,0.0,0.009312628,0.051220703125,0.0003,0.2,830,,,,,
172032,27.0,39.040283203125,,,,,,,,,,,,,,,
173056,27.0,40.061378479003906,66751.72277832031,-0.020487673975003416,-5.336254481971264,32543.3125,-1.1920928955078125e-07,0.008959939,0.068701171875,0.0003,0.2,840,,,,,
174080,27.0,41.487396240234375,,,,,,,,,,,,,,,
175104,27.0,40.262916564941406,63906.18731689453,-0.01957060745189665,-5.333907580375671,30761.943359375,0.0,0.009140966,0.044287109375,0.0003,0.2,850,,,,,
176128,27.0,39.19548797607422,,,,,,,,,,,,,,,
177152,27.0,39.328983306884766,62507.72790527344,-0.02097216101246886,-5.313086093962193,32247.56640625,0.0,0.008744585,0.04921875,0.0003,0.2,860,,,,,
178176,27.0,39.49921417236328,,,,,,,,,,,,,,,
179200,27.0,47.545188903808594,60425.11162109375,-0.02179091665602755,-5.303095191717148,33783.61328125,0.0,0.008933276,0.072265625,0.0003,0.2,870,,,,,
180224,27.0,44.50408935546875,,,,,,,,,,,,,,,
181248,27.0,43.75103759765625,67274.11247558593,-0.02346172864199616,-5.29139506816864,30738.041015625,0.0,0.009064477,0.062451171875,0.0003,0.2,880,,,,,
182272,27.0,43.36993408203125,,,,,,,,,,,,,,,
183296,27.0,41.08460235595703,62008.31442871094,-0.02243537806207314,-5.267202849686146,30981.642578125,0.0,0.008959735,0.066357421875,0.0003,0.2,890,,,,,
184320,27.0,45.892189025878906,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,413,445,748.93706838,27.0,90
185344,27.0,46.23590087890625,64693.101574707034,-0.018149446595634798,-5.239450657367707,28903.064453125,0.0,0.009031621,0.03408203125,0.0003,0.2,900,,,,,
186368,27.0,43.534461975097656,,,,,,,,,,,,,,,
187392,27.0,39.511383056640625,64026.33045654297,-0.018443729341379368,-5.2335535630583765,32715.181640625,-1.1920928955078125e-07,0.008277427,0.05126953125,0.0003,0.2,910,,,,,
188416,27.0,42.97312927246094,,,,,,,,,,,,,,,
