time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
465920,180.0,53.075653076171875,0.0,58.90899913907051,2270,-0.016815208054322284,0.0003,0.177783203125,27.96434211730957,0.2,0.017744897,-3.9075827546417714,,,,,
466944,180.0,48.99034118652344,,,,,,,,,,,,,,,
467968,180.0,48.9070930480957,0.0,54.151358294487,2280,-0.018340232326590922,0.0003,0.19716796875,30.539609909057617,0.2,0.015325415,-3.923271960765123,,,,,
468992,180.0,48.26061248779297,,,,,,,,,,,,,,,
470016,180.0,51.56836700439453,0.0,53.15159393548966,2290,-0.01692549022482126,0.0003,0.19345703125,18.29050064086914,0.2,0.017882707,-3.910367673635483,,,,,
471040,180.0,43.56675720214844,,,,,,,,,,,,,,,
471040,,,,,,,,,,,,,230,1402,50.36403346,180.0,335
472064,180.0,51.423004150390625,1.1920928955078125e-07,61.18704691529274,2300,-0.01819672979909228,0.0003,0.200244140625,21.763010025024414,0.2,0.017774524,-3.8920947410166264,,,,,
473088,180.0,46.29253387451172,,,,,,,,,,,,,,,
474112,180.0,48.017982482910156,0.0,59.106971102952954,2310,-0.02246055724681355,0.0003,0.2373046875,31.087860107421875,0.2,0.016232431,-3.88162123337388,,,,,
475136,180.0,49.8345947265625,,,,,,,,,,,,,,,
476160,180.0,50.11962127685547,0.0,59.42290308773518,2320,-0.01841511600796366,0.0003,0.203271484375,35.4621467590332,0.2,0.01601164,-3.8656102351844313,,,,,
477184,180.0,48.03218460083008,,,,,,,,,,,,,,,
478208,180.0,46.05619812011719,5.960464477539063e-08,52.55936658382416,2330,-0.01896235964013613,0.0003,0.193994140625,28.91460609436035,0.2,0.013778805,-3.9024061262607574,,,,,
479232,180.0,50.42167663574219,,,,,,,,,,,,,,,
480256,180.0,50.29010772705078,0.0,60.83322725892067,2340,-0.023696201427082998,0.0003,0.262841796875,20.73797035217285,0.2,0.017915217,-3.9016860447824,,,,,
481280,180.0,48.29688262939453,,,,,,,,,,,,,,,
482304,180.0,48.813926696777344,0.0,53.67922378182411,2350,-0.02194432943870197,0.0003,0.198583984375,27.955570220947266,0.2,0.019661877,-3.9051706597208975,,,,,
483328,180.0,48.74931335449219,,,,,,,,,,,,,,,
484352,180.0,47.624855041503906,0.0,60.55762810111046,2360,-0.018293901285505853,0.0003,0.210302734375,34.76877975463867,0.2,0.015923442,-3.8834487058222296,,,,,
485376,180.0,48.51976013183594,,,,,,,,,,,,,,,
486400,180.0,52.11796951293945,0.0,59.70441641807556,2370,-0.022424160050286447,0.0003,0.25947265625,31.90650177001953,0.2,0.01990815,-3.9032283313572407,,,,,
487424,180.0,50.02986145019531,,,,,,,,,,,,,,,
488448,180.0,49.80340576171875,0.0,46.52259442806244,2380,-0.02125014245539205,0.0003,0.205810546875,38.250431060791016,0.2,0.01889949,-3.895989165455103,,,,,
489472,180.0,46.353843688964844,,,,,,,,,,,,,,,
490496,180.0,45.65557861328125,0.0,61.653566491603854,2390,-0.019390255276812242,0.0003,0.17958984375,26.880046844482422,0.2,0.018643156,-3.897191836684942,,,,,
491520,180.0,43.54408264160156,,,,,,,,,,,,,,,
491520,,,,,,,,,,,,,240,1464,49.20472468,180.0,335
492544,180.0,48.92802429199219,0.0,54.486117446422575,2400,-0.020407203387003393,0.0003,0.21416015625,25.244813919067383,0.2,0.02252426,-3.9064944706857205,,,,,
493568,180.0,47.88987731933594,,,,,,,,,,,,,,,
494592,180.0,42.491310119628906,0.0,54.03579744696617,2410,-0.02076013094338123,0.0003,0.182568359375,21.17943572998047,0.2,0.0167289,-3.9736138015985487,,,,,
495616,180.0,47.5044059753418,,,,,,,,,,,,,,,
496640,180.0,46.52091598510742,0.0,53.97066978812218,2420,-0.018677723029395566,0.0003,0.2169921875,13.494505882263184,0.2,0.017228587,-3.9959430165588854,,,,,
497664,180.0,41.42110824584961,,,,,,,,,,,,,,,
498688,180.0,44.023372650146484,0.0,54.75106917619705,2430,-0.022749495779135032,0.0003,0.241357421875,23.784547805786133,0.2,0.017104637,-4.005927269160748,,,,,
499712,180.0,47.832881927490234,,,,,,,,,,,,,,,
