time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
55000,50.0,7.5477166175842285,,,,,,,,,,,,,,,
55500,50.0,3.9143855571746826,270,0.015690994,0.0003,0.2,-4.922814567387104,10304.400277709961,-0.030515959922922775,5124.7314453125,0.1921875,-1.1920928955078125e-07,,,,,
56000,50.0,4.238999843597412,,,,,,,,,,,,,,,
56500,50.0,5.3710527420043945,,,,,,,,,,,,,,,
57000,50.0,3.9206855297088623,,,,,,,,,,,,,,,
57500,50.0,6.881620407104492,280,0.014560815,0.0003,0.2,-4.890660090744495,9474.063761901856,-0.02675828522842494,4197.82861328125,0.161572265625,0.0,,,,,
58000,50.0,4.303979396820068,,,,,,,,,,,,,,,
58500,50.0,8.388988494873047,,,,,,,,,,,,,,,
59000,50.0,6.859947204589844,,,,,,,,,,,,,,,
59500,50.0,6.470870018005371,290,0.015612744,0.0003,0.2,-4.848736116290093,9746.428550720215,-0.027051367601961827,6016.3818359375,0.1765625,0.0,,,,,
60000,50.0,5.657941818237305,,,,,,,,,,,,,,,
60500,50.0,5.374568939208984,,,,,,,,,,,,,,,
61000,50.0,8.905108451843262,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,30,475.80362904000003,979,62,50.0
61500,50.0,3.986593723297119,300,0.015099541,0.0003,0.2,-4.800128135085106,10556.1340133667,-0.02557736728922464,3950.052978515625,0.1609375,0.0,,,,,
62000,50.0,6.859355926513672,,,,,,,,,,,,,,,
62500,50.0,5.660767555236816,,,,,,,,,,,,,,,
63000,50.0,4.726653575897217,,,,,,,,,,,,,,,
63500,50.0,3.9552512168884277,310,0.014856771,0.0003,0.2,-4.743152743577957,11125.646675109863,-0.030477838999649974,4419.3115234375,0.200537109375,0.0,,,,,
64000,50.0,7.126360893249512,,,,,,,,,,,,,,,
64500,50.0,4.997629165649414,,,,,,,,,,,,,,,
65000,50.0,5.864379405975342,,,,,,,,,,,,,,,
65500,50.0,5.53343391418457,,,,,,,,,,,,,,,
