eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
180.0,192512,80.99412536621094,,,,,,,,,,,,,,,
180.0,193536,81.91476440429688,0.020596253,14.478458404541016,60.990415340662004,-3.389040556550026,0.50859375,-1.1920928955078125e-07,0.2,0.0003,-0.0369431731000077,940,,,,,
180.0,194560,80.09614562988281,,,,,,,,,,,,,,,
180.0,195584,79.86643981933594,0.024858842,27.81612205505371,64.46770439743996,-3.3621850185096265,0.493994140625,-1.1920928955078125e-07,0.2,0.0003,-0.03620102649874753,950,,,,,
180.0,196608,81.84563446044922,,,,,,,,,,,,,,,
180.0,197632,80.1973876953125,0.030108508,31.03684425354004,65.47174245715141,-3.3097543507814406,0.575634765625,1.1920928955078125e-07,0.2,0.0003,-0.04294851536978968,960,,,,,
180.0,198656,83.050537109375,,,,,,,,,,,,,,,
180.0,199680,84.4767074584961,0.024841754,21.43036460876465,54.325854527950284,-3.319976545870304,0.47548828125,0.0,0.2,0.0003,-0.043577635940164325,970,,,,,
180.0,200704,82.1865234375,,,,,,,,,,,,,,,
180.0,201728,84.3470687866211,0.02463162,19.793357849121094,59.15120658874512,-3.2931808404624463,0.538720703125,0.0,0.2,0.0003,-0.039209176087751985,980,,,,,
180.0,202752,83.74402618408203,,,,,,,,,,,,,,,
180.0,203776,85.66690063476562,0.024454573,24.179235458374023,60.13316570520401,-3.3045023038983343,0.492822265625,1.1920928955078125e-07,0.2,0.0003,-0.03486038782866672,990,,,,,
180.0,204800,83.27865600585938,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,654,100,81.15294448,180.0,312
180.0,205824,83.73121643066406,0.021200787,22.28940200805664,49.57765080928802,-3.3078466139733793,0.45224609375,-1.1920928955078125e-07,0.2,0.0003,-0.03757084828685038,1000,,,,,
180.0,206848,84.10673522949219,,,,,,,,,,,,,,,
180.0,207872,83.07954406738281,0.024804622,31.328227996826172,64.0819636940956,-3.297628416866064,0.53837890625,0.0,0.2,0.0003,-0.0394965500687249,1010,,,,,
180.0,208896,86.11561584472656,,,,,,,,,,,,,,,
180.0,209920,86.30177307128906,0.0175237,38.168121337890625,51.49800211787224,-3.30957804992795,0.358056640625,1.1920928955078125e-07,0.2,0.0003,-0.040482654175139035,1020,,,,,
180.0,210944,82.03654479980469,,,,,,,,,,,,,,,
180.0,211968,85.72679138183594,0.023782978,56.733306884765625,63.91228739023209,-3.3064265832304955,0.461181640625,5.960464477539063e-08,0.2,0.0003,-0.039632730308221654,1030,,,,,
180.0,212992,85.18771362304688,,,,,,,,,,,,,,,
180.0,214016,84.50318908691406,0.02492834,32.6224479675293,58.75574107766151,-3.2872626058757306,0.55771484375,0.0,0.2,0.0003,-0.03612556592852343,1040,,,,,
180.0,215040,85.00189208984375,,,,,,,,,,,,,,,
180.0,216064,85.31179809570312,0.02417751,21.907684326171875,57.68657544255257,-3.271377696096897,0.48720703125,0.0,0.2,0.0003,-0.037600348610430954,1050,,,,,
180.0,217088,85.07243347167969,,,,,,,,,,,,,,,
180.0,218112,83.790771484375,0.020875897,24.9273681640625,57.78320052027702,-3.2908745884895323,0.429150390625,5.960464477539063e-08,0.2,0.0003,-0.038560422440059486,1060,,,,,
180.0,219136,84.43684387207031,,,,,,,,,,,,,,,
180.0,220160,85.53384399414062,0.023921788,21.38102149963379,58.38629034161568,-3.2907266713678838,0.48017578125,5.960464477539063e-08,0.2,0.0003,-0.03669461956305895,1070,,,,,
180.0,221184,85.80482482910156,,,,,,,,,,,,,,,
180.0,222208,86.64959716796875,0.02051517,33.482486724853516,57.02377241849899,-3.288790626823902,0.421142578125,0.0,0.2,0.0003,-0.037657374850823544,1080,,,,,
180.0,223232,88.16445922851562,,,,,,,,,,,,,,,
180.0,224256,82.7325210571289,0.019344034,23.387216567993164,55.405949419736864,-3.3008219577372073,0.38916015625,0.0,0.2,0.0003,-0.0390876498844591,1090,,,,,
180.0,225280,84.30301666259766,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,721,110,84.63858864,180.0,312
180.0,226304,84.41140747070312,0.020040642,41.53644943237305,54.21812545657158,-3.297540032863617,0.446240234375,-1.1920928955078125e-07,0.2,0.0003,-0.03694652756676078,1100,,,,,
180.0,227328,82.9026107788086,,,,,,,,,,,,,,,
180.0,228352,87.26371765136719,0.021968279,29.490869522094727,53.92854970097542,-3.300854452699423,0.455810546875,0.0,0.2,0.0003,-0.04125998845847789,1110,,,,,
180.0,229376,86.1050033569336,,,,,,,,,,,,,,,
