time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
197632,19.92217445373535,12.0,960,0.0003,-2.36710219681263,0.0037612479711242484,0.36962890625,0.0,2593.510800552368,0.2,876.3228759765625,0.07415867,,,,,
198656,23.484851837158203,12.0,,,,,,,,,,,,,,,
199680,11.556907653808594,12.0,970,0.0003,-2.364062478393316,0.00788719957927242,0.387744140625,0.0,3176.257678604126,0.2,1578.4652099609375,0.11170229,,,,,
200704,13.274182319641113,12.0,,,,,,,,,,,,,,,
201728,19.304719924926758,12.0,980,0.0003,-2.3779368340969085,0.00019279402331449092,0.428955078125,0.0,2698.695032501221,0.2,1178.04150390625,0.099372715,,,,,
202752,21.927087783813477,12.0,,,,,,,,,,,,,,,
203776,22.579734802246094,12.0,990,0.0003,-2.377673292160034,-0.008017602004110813,0.424609375,0.0,3501.705275726318,0.2,1570.745361328125,0.1029587,,,,,
204800,22.658300399780273,12.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,151.93414589,12.0,100,446,458
205824,4.448087215423584,12.0,1000,0.0003,-2.3638306371867657,0.005883255670778453,0.460009765625,1.1920928955078125e-07,2569.062510299683,0.2,1232.733642578125,0.10357143,,,,,
206848,23.2225341796875,12.0,,,,,,,,,,,,,,,
207872,21.972946166992188,12.0,1010,0.0003,-2.3771126314997675,0.0026753697922686113,0.413037109375,5.960464477539063e-08,3451.52868347168,0.2,1510.8746337890625,0.089534864,,,,,
208896,15.077475547790527,12.0,,,,,,,,,,,,,,,
209920,11.348607063293457,12.0,1020,0.0003,-2.3708719596266747,-0.0021855327242519705,0.384326171875,5.960464477539063e-08,2809.6792434692384,0.2,1414.5323486328125,0.09266089,,,,,
210944,16.458181381225586,12.0,,,,,,,,,,,,,,,
211968,23.26723861694336,12.0,1030,0.0003,-2.356897938251495,0.004798955655132886,0.4083984375,-1.1920928955078125e-07,2345.13000793457,0.2,1123.0225830078125,0.09736386,,,,,
212992,17.180368423461914,12.0,,,,,,,,,,,,,,,
214016,4.981169700622559,12.0,1040,0.0003,-2.350724719464779,-0.0004759038434713148,0.471044921875,1.1920928955078125e-07,2058.468625640869,0.2,1000.876953125,0.12031078,,,,,
215040,21.91078758239746,12.0,,,,,,,,,,,,,,,
216064,20.35863494873047,12.0,1050,0.0003,-2.336696472018957,0.0056864052792661825,0.450244140625,5.960464477539063e-08,2284.9986000061035,0.2,885.0194091796875,0.11644038,,,,,
217088,17.759136199951172,12.0,,,,,,,,,,,,,,,
218112,19.668415069580078,12.0,1060,0.0003,-2.3608942992985247,0.0020498570054769518,0.455126953125,-1.1920928955078125e-07,2618.028591156006,0.2,1126.85595703125,0.10148728,,,,,
219136,21.843257904052734,12.0,,,,,,,,,,,,,,,
220160,22.71772575378418,12.0,1070,0.0003,-2.35143675878644,-0.0005971373597276397,0.42041015625,-1.1920928955078125e-07,3227.3336330413817,0.2,1798.4639892578125,0.08458197,,,,,
221184,17.555484771728516,12.0,,,,,,,,,,,,,,,
222208,18.594398498535156,12.0,1080,0.0003,-2.355678962916136,-0.003973575173586141,0.37197265625,0.0,2344.0613391876223,0.2,930.9179077148438,0.07277134,,,,,
223232,19.06450653076172,12.0,,,,,,,,,,,,,,,
224256,13.975057601928711,12.0,1090,0.0003,-2.347863030433655,-0.00020357368339318782,0.390380859375,0.0,2968.8773517608643,0.2,1123.7808837890625,0.11210795,,,,,
225280,14.919869422912598,12.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,165.46375812,12.0,110,484,465
226304,24.234966278076172,12.0,1100,0.0003,-2.3412959799170494,0.000750177247391548,0.399658203125,0.0,2836.925147628784,0.2,1266.1602783203125,0.105303034,,,,,
227328,20.392621994018555,12.0,,,,,,,,,,,,,,,
228352,17.091651916503906,12.0,1110,0.0003,-2.3341533593833446,0.0010312270911526865,0.404248046875,0.0,3001.180313873291,0.2,1271.107177734375,0.09961246,,,,,
229376,8.554586410522461,12.0,,,,,,,,,,,,,,,
230400,13.086782455444336,12.0,1120,0.0003,-2.359636537730694,0.020178468762605917,0.399658203125,5.960464477539063e-08,2224.0187423706057,0.2,874.4839477539062,0.101197705,,,,,
231424,18.549762725830078,12.0,,,,,,,,,,,,,,,
232448,24.06227684020996,12.0,1130,0.0003,-2.3658694207668303,0.005558043387281941,0.407666015625,0.0,2723.6739555358886,0.2,1266.6663818359375,0.08925539,,,,,
233472,21.38600730895996,12.0,,,,,,,,,,,,,,,
234496,22.139039993286133,12.0,1140,0.0003,-2.36444885507226,0.002778883140126709,0.3734375,0.0,2386.8134796142576,0.2,1009.594482421875,0.08180636,,,,,
235520,26.146350860595703,12.0,,,,,,,,,,,,,,,
236544,18.842296600341797,12.0,1150,0.0003,-2.372459376603365,0.0075040123570943255,0.38984375,0.0,2517.105769729614,0.2,1185.275146484375,0.06665766,,,,,
237568,21.08991241455078,12.0,,,,,,,,,,,,,,,
238592,13.479040145874023,12.0,1160,0.0003,-2.3790695920586584,0.0028479912638431416,0.347021484375,0.0,2041.112424468994,0.2,824.6724853515625,0.05484791,,,,,
239616,21.97452735900879,12.0,,,,,,,,,,,,,,,
240640,19.139522552490234,12.0,1170,0.0003,-2.3687260136008264,1.190378243336454e-05,0.3787109375,0.0,1827.7425281524659,0.2,842.7989501953125,0.060185023,,,,,
241664,20.483306884765625,12.0,,,,,,,,,,,,,,,
242688,24.371826171875,12.0,1180,0.0003,-2.3717209592461588,0.0017882635023852345,0.310693359375,-1.1920928955078125e-07,1953.1906497955322,0.2,1085.4525146484375,0.04842988,,,,,
243712,17.711380004882812,12.0,,,,,,,,,,,,,,,
244736,15.804730415344238,12.0,1190,0.0003,-2.3692228332161904,0.00182077708595898,0.268701171875,-1.1920928955078125e-07,1859.4783271789552,0.2,1033.0042724609375,0.041204717,,,,,
245760,23.658456802368164,12.0,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,152.13698128,12.0,120,521,470
246784,14.22171401977539,12.0,1200,0.0003,-2.365912917256355,0.004069228822481818,0.34580078125,1.1920928955078125e-07,2243.8992835998533,0.2,741.0537719726562,0.061797116,,,,,
247808,20.82410430908203,12.0,,,,,,,,,,,,,,,
248832,20.991933822631836,12.0,1210,0.0003,-2.3502352930605412,0.010927981167333201,0.397705078125,-1.1920928955078125e-07,2391.3169033050535,0.2,1082.190673828125,0.07112343,,,,,
249856,16.353437423706055,12.0,,,,,,,,,,,,,,,
250880,14.69081974029541,12.0,1220,0.0003,-2.3412770979106425,-0.00017978757532546296,0.383447265625,0.0,1757.129051589966,0.2,821.7073364257812,0.060920812,,,,,
251904,18.7362117767334,12.0,,,,,,,,,,,,,,,
252928,20.291446685791016,12.0,1230,0.0003,-2.3443794153630733,0.0013157380642951466,0.365966796875,0.0,2115.945428466797,0.2,874.1640625,0.05567545,,,,,
253952,16.563270568847656,12.0,,,,,,,,,,,,,,,
254976,22.948955535888672,12.0,1240,0.0003,-2.3486730329692365,0.003095346140617039,0.3884765625,-1.1920928955078125e-07,1604.3307985305787,0.2,711.6768188476562,0.07360366,,,,,
256000,25.268524169921875,12.0,,,,,,,,,,,,,,,
257024,13.096418380737305,12.0,1250,0.0003,-2.361422922462225,0.005718780861934647,0.358056640625,1.1920928955078125e-07,2368.826884460449,0.2,891.4177856445312,0.064783305,,,,,
258048,12.040568351745605,12.0,,,,,,,,,,,,,,,
259072,21.932966232299805,12.0,1260,0.0003,-2.356779719144106,0.010409386607352644,0.393603515625,0.0,1644.9550817489624,0.2,556.541259765625,0.07726265,,,,,
260096,21.26447105407715,12.0,,,,,,,,,,,,,,,
261120,13.020566940307617,12.0,1270,0.0003,-2.3542676880955695,0.0001174700679257512,0.395166015625,0.0,2005.8614582061768,0.2,881.3272094726562,0.07039182,,,,,
262144,16.272342681884766,12.0,,,,,,,,,,,,,,,
263168,14.392797470092773,12.0,1280,0.0003,-2.327074532955885,0.007645704531751107,0.31787109375,0.0,1937.862292098999,0.2,930.3790893554688,0.05765678,,,,,
264192,13.906354904174805,12.0,,,,,,,,,,,,,,,
265216,21.95258331298828,12.0,1290,0.0003,-2.3537055119872092,0.003335224391776137,0.373291015625,0.0,2097.2089408874513,0.2,1085.9874267578125,0.073678374,,,,,
266240,23.498220443725586,12.0,,,,,,,,,,,,,,,
266240,,,,,,,,,,,,,149.54635288,12.0,130,559,476
267264,8.780235290527344,12.0,1300,0.0003,-2.342984986305237,0.012023655785014853,0.401220703125,0.0,2312.6622524261475,0.2,1440.2440185546875,0.068926096,,,,,
