time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
117760,40.291229248046875,21.0,0.0003,24.72983486354351,0.2,-3.190127931535244,0.08467679,-0.04526099863869604,570,0.445849609375,15.093268394470215,0.0,,,,,
118784,38.35924530029297,21.0,,,,,,,,,,,,,,,
119808,41.75797653198242,21.0,0.0003,21.750715190172194,0.2,-3.1674436956644056,0.08266848,-0.04066399459406966,580,0.423974609375,11.761826515197754,1.1920928955078125e-07,,,,,
120832,40.053009033203125,21.0,,,,,,,,,,,,,,,
121856,40.7920036315918,21.0,0.0003,25.469698297977448,0.2,-3.1412320487201213,0.10321218,-0.048854259232757616,590,0.49482421875,10.736139297485352,0.0,,,,,
122880,37.432003021240234,21.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,41.98226452,21.0,60,170,720
123904,40.586368560791016,21.0,0.0003,21.578185173869134,0.2,-3.10983551889658,0.08715309,-0.040965721040265635,600,0.467578125,9.983115196228027,0.0,,,,,
124928,39.45833969116211,21.0,,,,,,,,,,,,,,,
125952,36.6768798828125,21.0,0.0003,21.50765741765499,0.2,-3.0871741101145744,0.09479415,-0.04112681952829007,610,0.467822265625,9.376359939575195,0.0,,,,,
126976,38.276023864746094,21.0,,,,,,,,,,,,,,,
128000,38.34270477294922,21.0,0.0003,22.68843151628971,0.2,-3.078438615053892,0.11671454,-0.04216016413120087,620,0.485107421875,11.44753646850586,0.0,,,,,
129024,38.728271484375,21.0,,,,,,,,,,,,,,,
130048,41.173973083496094,21.0,0.0003,21.163158836960793,0.2,-3.0638968966901303,0.08609426,-0.03498251238488592,630,0.405908203125,8.969929695129395,0.0,,,,,
131072,39.95363235473633,21.0,,,,,,,,,,,,,,,
132096,43.03481674194336,21.0,0.0003,21.985589531064033,0.2,-3.0660002194344997,0.08886534,-0.03760108103888342,640,0.432958984375,10.188090324401855,0.0,,,,,
133120,45.81281280517578,21.0,,,,,,,,,,,,,,,
134144,41.40788650512695,21.0,0.0003,20.704515945911407,0.2,-3.053675972670317,0.08305621,-0.03685176379221957,650,0.454052734375,10.319711685180664,1.1920928955078125e-07,,,,,
135168,42.42034149169922,21.0,,,,,,,,,,,,,,,
136192,42.44427490234375,21.0,0.0003,19.392879822850226,0.2,-3.03710872605443,0.08450344,-0.040078398273908536,660,0.44306640625,10.81882381439209,-1.1920928955078125e-07,,,,,
137216,41.942115783691406,21.0,,,,,,,,,,,,,,,
138240,39.31780242919922,21.0,0.0003,20.350099781155585,0.2,-3.0162443220615387,0.07359664,-0.038622382846369874,670,0.434814453125,9.368515968322754,-1.1920928955078125e-07,,,,,
139264,39.647220611572266,21.0,,,,,,,,,,,,,,,
140288,40.96712112426758,21.0,0.0003,18.077534279227258,0.2,-3.0139582589268685,0.0711714,-0.02838565443526022,680,0.41201171875,10.862336158752441,0.0,,,,,
141312,43.49408721923828,21.0,,,,,,,,,,,,,,,
142336,39.3627815246582,21.0,0.0003,17.577597266435625,0.2,-3.0122827760875226,0.07699914,-0.035994416242465375,690,0.43427734375,7.329329490661621,0.0,,,,,
143360,40.59393310546875,21.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,42.118176860000005,21.0,70,199,720
144384,40.31045150756836,21.0,0.0003,18.189144951105117,0.2,-2.999666580557823,0.087583765,-0.0336457827972481,700,0.49306640625,12.401939392089844,0.0,,,,,
145408,40.11760711669922,21.0,,,,,,,,,,,,,,,
146432,41.31094741821289,21.0,0.0003,17.404030680656433,0.2,-3.005047108232975,0.10298749,-0.047972494600981005,710,0.515869140625,7.480564117431641,0.0,,,,,
147456,46.57093048095703,21.0,,,,,,,,,,,,,,,
148480,42.41466522216797,21.0,0.0003,16.786899039149283,0.2,-3.0172989062964914,0.08726149,-0.042353687138529494,720,0.44609375,9.70799732208252,0.0,,,,,
149504,41.052711486816406,21.0,,,,,,,,,,,,,,,
150528,40.184326171875,21.0,0.0003,16.986047130823135,0.2,-3.008739074319601,0.08976744,-0.04705065350281075,730,0.509521484375,8.682785034179688,0.0,,,,,
151552,38.533485412597656,21.0,,,,,,,,,,,,,,,
152576,44.78974151611328,21.0,0.0003,16.88472815155983,0.2,-2.993877048045397,0.094660595,-0.03655625343526481,740,0.485595703125,7.727081298828125,0.0,,,,,
153600,41.45067596435547,21.0,,,,,,,,,,,,,,,
154624,40.62152862548828,21.0,0.0003,18.820530089735986,0.2,-2.9845776855945587,0.10096154,-0.036147046618862075,750,0.488525390625,9.695594787597656,0.0,,,,,
155648,41.438655853271484,21.0,,,,,,,,,,,,,,,
156672,39.98918914794922,21.0,0.0003,17.75870937407017,0.2,-2.977805469185114,0.08387262,-0.03454060810036026,760,0.491650390625,7.825222015380859,0.0,,,,,
157696,42.558753967285156,21.0,,,,,,,,,,,,,,,
158720,41.15122985839844,21.0,0.0003,17.857177230715752,0.2,-2.9737843051552773,0.09727224,-0.03421002727991436,770,0.472314453125,8.472318649291992,0.0,,,,,
159744,39.184043884277344,21.0,,,,,,,,,,,,,,,
160768,42.5115966796875,21.0,0.0003,16.44345256090164,0.2,-2.9689301453530788,0.08800082,-0.04301403860736173,780,0.475048828125,6.956447601318359,0.0,,,,,
161792,44.64139938354492,21.0,,,,,,,,,,,,,,,
162816,43.2000732421875,21.0,0.0003,17.965361189842223,0.2,-2.9677198022603988,0.08683442,-0.035690005231299435,790,0.462158203125,6.407884120941162,-1.1920928955078125e-07,,,,,
163840,40.5628547668457,21.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,43.67791590000001,21.0,80,227,719
164864,40.93064498901367,21.0,0.0003,15.675102606415749,0.2,-2.958458399772644,0.09504242,-0.02050636000203667,800,0.44443359375,8.359308242797852,0.0,,,,,
165888,42.35253143310547,21.0,,,,,,,,,,,,,,,
166912,40.878822326660156,21.0,0.0003,16.778484016656876,0.2,-2.9657720252871513,0.10123732,-0.034498673913185486,810,0.478759765625,8.002822875976562,0.0,,,,,
167936,41.02916717529297,21.0,,,,,,,,,,,,,,,
168960,38.412750244140625,21.0,0.0003,14.751052072644233,0.2,-2.9615254178643227,0.08942741,-0.032768354652216655,820,0.43447265625,7.470329761505127,0.0,,,,,
169984,42.8820915222168,21.0,,,,,,,,,,,,,,,
171008,41.196022033691406,21.0,0.0003,16.74359699189663,0.2,-2.965213679522276,0.090089336,-0.02865407316276105,830,0.423095703125,8.586334228515625,1.1920928955078125e-07,,,,,
172032,42.10529327392578,21.0,,,,,,,,,,,,,,,
173056,40.530155181884766,21.0,0.0003,16.687761107087134,0.2,-2.959767532348633,0.11524548,-0.0344290058608749,840,0.455712890625,8.655637741088867,0.0,,,,,
174080,39.600830078125,21.0,,,,,,,,,,,,,,,
175104,42.001312255859375,21.0,0.0003,17.001587614417076,0.2,-2.954644309729338,0.12450476,-0.033942036537337114,850,0.49794921875,10.014999389648438,0.0,,,,,
176128,39.64725875854492,21.0,,,,,,,,,,,,,,,
177152,40.50028991699219,21.0,0.0003,16.04280767440796,0.2,-2.951202791184187,0.110982284,-0.025327932489744853,860,0.513671875,7.706365585327148,1.1920928955078125e-07,,,,,
178176,41.600860595703125,21.0,,,,,,,,,,,,,,,
179200,43.66758346557617,21.0,0.0003,14.645669806003571,0.2,-2.9693032801151276,0.08429035,-0.0183692454607808,870,0.41572265625,8.04029655456543,5.960464477539063e-08,,,,,
180224,38.57768249511719,21.0,,,,,,,,,,,,,,,
181248,39.695770263671875,21.0,0.0003,15.40012812614441,0.2,-2.966171669214964,0.09166085,-0.03450339428964071,880,0.452099609375,6.615061283111572,0.0,,,,,
182272,41.5042610168457,21.0,,,,,,,,,,,,,,,
183296,40.37776184082031,21.0,0.0003,15.836278060078621,0.2,-2.969320122897625,0.09151113,-0.02984775791337597,890,0.46689453125,7.614860534667969,5.960464477539063e-08,,,,,
184320,39.919029235839844,21.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,44.59418895000001,21.0,90,256,719
185344,41.750633239746094,21.0,0.0003,15.274364522099495,0.2,-2.9725672602653503,0.08237291,-0.02560384837561287,900,0.466748046875,8.843814849853516,0.0,,,,,
186368,42.79206085205078,21.0,,,,,,,,,,,,,,,
187392,41.187782287597656,21.0,0.0003,15.139463844895364,0.2,-2.9723869152367115,0.089014485,-0.024464527433156035,910,0.472607421875,6.249975681304932,0.0,,,,,
188416,40.893280029296875,21.0,,,,,,,,,,,,,,,
189440,41.001792907714844,21.0,0.0003,16.279688197374345,0.2,-2.9701335109770297,0.07698001,-0.03256032514182152,920,0.432568359375,9.893024444580078,-1.1920928955078125e-07,,,,,
190464,41.59693908691406,21.0,,,,,,,,,,,,,,,
191488,41.480865478515625,21.0,0.0003,16.613746216893198,0.2,-2.9685785569250585,0.09379512,-0.029954293162154498,930,0.48828125,6.297137260437012,0.0,,,,,
192512,39.85335159301758,21.0,,,,,,,,,,,,,,,
193536,42.27031707763672,21.0,0.0003,15.59647932946682,0.2,-2.967672112584114,0.08776931,-0.033632449639117115,940,0.474462890625,9.870742797851562,0.0,,,,,
194560,42.53821563720703,21.0,,,,,,,,,,,,,,,
195584,41.137413024902344,21.0,0.0003,14.411963763833047,0.2,-2.9699091531336306,0.08497159,-0.03609813043149188,950,0.446435546875,6.602527141571045,0.0,,,,,
196608,40.66900634765625,21.0,,,,,,,,,,,,,,,
197632,42.94486999511719,21.0,0.0003,13.674353024363517,0.2,-2.964585281163454,0.10774692,-0.040736367442877966,960,0.487255859375,7.568324089050293,0.0,,,,,
198656,38.96723556518555,21.0,,,,,,,,,,,,,,,
199680,41.17229080200195,21.0,0.0003,14.939118041098117,0.2,-2.958399637043476,0.07831564,-0.027205967449117453,970,0.436474609375,7.895183086395264,0.0,,,,,
200704,40.356224060058594,21.0,,,,,,,,,,,,,,,
201728,41.15721893310547,21.0,0.0003,17.230962023139,0.2,-2.9624438591301443,0.08021505,-0.027852389562758616,980,0.431201171875,7.449911117553711,0.0,,,,,
202752,41.91081237792969,21.0,,,,,,,,,,,,,,,
203776,39.148624420166016,21.0,0.0003,17.63473374247551,0.2,-2.965437750518322,0.06940959,-0.03221975155902328,990,0.43779296875,7.589381694793701,0.0,,,,,
204800,41.51427459716797,21.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,44.518298019999996,21.0,100,284,719
205824,40.902584075927734,21.0,0.0003,14.608128774166108,0.2,-2.9731701113283635,0.078122534,-0.03671639508684166,1000,0.43681640625,6.632628917694092,5.960464477539063e-08,,,,,
206848,43.22319793701172,21.0,,,,,,,,,,,,,,,
207872,45.03763198852539,21.0,0.0003,13.942106914520263,0.2,-2.9802164919674397,0.061129883,-0.028711018727335613,1010,0.399853515625,7.592949867248535,-1.1920928955078125e-07,,,,,
208896,41.80854415893555,21.0,,,,,,,,,,,,,,,
209920,42.972747802734375,21.0,0.0003,14.246498051285744,0.2,-2.9814896903932095,0.058519416,-0.03861014620342758,1020,0.4009765625,6.5780029296875,0.0,,,,,
210944,40.53900146484375,21.0,,,,,,,,,,,,,,,
