time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/entropy_loss,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
93184,21.45550537109375,180.0,450,0.0173398,0.0003,-0.02521101005113451,17.501599100232124,0.26591796875,13.426813125610352,0.2,0.0,-4.441240181028843,,,,,
94208,21.832489013671875,180.0,,,,,,,,,,,,,,,
95232,24.405704498291016,180.0,460,0.016744686,0.0003,-0.02305157855953439,19.50322015583515,0.2341796875,10.346159934997559,0.2,-1.1920928955078125e-07,-4.3749415338039395,,,,,
96256,22.154056549072266,180.0,,,,,,,,,,,,,,,
97280,23.138099670410156,180.0,470,0.018862614,0.0003,-0.027690799508127382,18.03219344615936,0.294775390625,8.72485637664795,0.2,-1.1920928955078125e-07,-4.246615220606327,,,,,
98304,24.53078842163086,180.0,,,,,,,,,,,,,,,
99328,23.799592971801758,180.0,480,0.019926978,0.0003,-0.020039467497554142,19.67900658547878,0.22998046875,9.534798622131348,0.2,0.0,-4.283539991080761,,,,,
100352,23.751079559326172,180.0,,,,,,,,,,,,,,,
101376,23.094696044921875,180.0,490,0.016853489,0.0003,-0.01865312622539932,18.74030583947897,0.21484375,12.110045433044434,0.2,1.7881393432617188e-07,-4.293906559050083,,,,,
102400,24.95852279663086,180.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,217,50,469,180.0,22.674957579999997
103424,25.329986572265625,180.0,500,0.018644787,0.0003,-0.02291959808062529,19.52221958935261,0.24482421875,9.120659828186035,0.2,0.0,-4.325144009292126,,,,,
104448,25.24838638305664,180.0,,,,,,,,,,,,,,,
105472,24.289487838745117,180.0,510,0.017502978,0.0003,-0.02409664611259359,20.609298513829707,0.28369140625,5.249719142913818,0.2,0.0,-4.266981633007527,,,,,
106496,24.854812622070312,180.0,,,,,,,,,,,,,,,
107520,27.2231502532959,180.0,520,0.016376214,0.0003,-0.02199850639444776,19.19571502506733,0.220458984375,7.185230255126953,0.2,0.0,-4.186937738955021,,,,,
108544,25.713397979736328,180.0,,,,,,,,,,,,,,,
109568,26.87053680419922,180.0,530,0.01829996,0.0003,-0.024856622482184322,17.391369500756262,0.27529296875,7.943553924560547,0.2,1.1920928955078125e-07,-4.099274531006813,,,,,
110592,26.037479400634766,180.0,,,,,,,,,,,,,,,
111616,28.626808166503906,180.0,540,0.019008704,0.0003,-0.02483924836415099,19.393765777349472,0.290380859375,6.190357208251953,0.2,1.1920928955078125e-07,-4.089095744490623,,,,,
112640,26.78569793701172,180.0,,,,,,,,,,,,,,,
