eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations
80.0,47.701683044433594,158720,-1.1920928955078125e-07,770,0.2,31.5035934522748,3e-05,-0.01606750831051613,0.01435546875,19.719871520996094,-4.672483391314745,0.0056855977,,,,,
80.0,45.986106872558594,159744,,,,,,,,,,,,,,,
80.0,47.282386779785156,160768,0.0,780,0.2,32.077374684810636,3e-05,-0.01609224646963412,0.014599609375,26.996763229370117,-4.651320608705282,0.0064321416,,,,,
80.0,45.86964797973633,161792,,,,,,,,,,,,,,,
80.0,46.736778259277344,162816,0.0,790,0.2,31.41578184068203,3e-05,-0.01538574973019422,0.016015625,18.88633918762207,-4.6297394096851345,0.006437211,,,,,
80.0,44.742042541503906,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,80.0,744,220,48.08214017,80
80.0,48.08458709716797,164864,0.0,800,0.2,31.55696688592434,3e-05,-0.015580245543242199,0.00927734375,33.83412551879883,-4.620880378782749,0.0057548755,,,,,
80.0,47.497474670410156,165888,,,,,,,,,,,,,,,
80.0,49.467987060546875,166912,1.1920928955078125e-07,810,0.2,32.3316057369113,3e-05,-0.013530427187652095,0.008056640625,34.76304626464844,-4.596619146317243,0.005063584,,,,,
80.0,50.86238098144531,167936,,,,,,,,,,,,,,,
80.0,53.598114013671875,168960,0.0,820,0.2,32.48883538097143,3e-05,-0.013016529186279513,0.01142578125,24.381610870361328,-4.598695982247591,0.0037391789,,,,,
80.0,46.501380920410156,169984,,,,,,,,,,,,,,,
80.0,44.839073181152344,171008,-1.1920928955078125e-07,830,0.2,35.30083809643984,3e-05,-0.01520773555530468,0.011962890625,24.530241012573242,-4.603059369325638,0.006846414,,,,,
80.0,53.42608642578125,172032,,,,,,,,,,,,,,,
80.0,52.25872802734375,173056,0.0,840,0.2,35.119037207961085,3e-05,-0.012717514322139323,0.00615234375,23.410808563232422,-4.593026497960091,0.004975491,,,,,
80.0,44.8939208984375,174080,,,,,,,,,,,,,,,
80.0,49.49134063720703,175104,0.0,850,0.2,32.49580047577619,3e-05,-0.014450795210723299,0.011669921875,18.884323120117188,-4.571725441515445,0.005255756,,,,,
80.0,50.60861587524414,176128,,,,,,,,,,,,,,,
80.0,47.65454864501953,177152,0.0,860,0.2,30.319849333167078,3e-05,-0.012615568774344865,0.0078125,9.035475730895996,-4.57144610658288,0.005276001,,,,,
80.0,50.98265838623047,178176,,,,,,,,,,,,,,,
80.0,48.287818908691406,179200,-1.1920928955078125e-07,870,0.2,33.04286245554685,3e-05,-0.014031099227213416,0.01083984375,25.581178665161133,-4.564343867450953,0.005311316,,,,,
80.0,49.164756774902344,180224,,,,,,,,,,,,,,,
80.0,50.62755584716797,181248,0.0,880,0.2,34.08931384831667,3e-05,-0.011557990503933979,0.008984375,18.748252868652344,-4.547526232153177,0.0042759036,,,,,
80.0,54.849822998046875,182272,,,,,,,,,,,,,,,
80.0,50.65854263305664,183296,1.1920928955078125e-07,890,0.2,29.932016423344614,3e-05,-0.014085055956820724,0.01103515625,27.6197452545166,-4.539111760258675,0.0048019015,,,,,
80.0,47.30175018310547,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,80.0,798,230,50.095723530000015,90
80.0,52.890785217285156,185344,0.0,900,0.2,29.910137178003787,3e-05,-0.014089274039179145,0.01279296875,21.26496696472168,-4.505004913359881,0.0052999784,,,,,
80.0,53.20561981201172,186368,,,,,,,,,,,,,,,
80.0,49.684017181396484,187392,0.0,910,0.2,32.72851987630129,3e-05,-0.015434077969439386,0.015625,19.75149154663086,-4.475704040378332,0.006185245,,,,,
80.0,52.05189514160156,188416,,,,,,,,,,,,,,,
80.0,53.2354621887207,189440,-1.1920928955078125e-07,920,0.2,31.258441592752934,3e-05,-0.009728058097243775,0.005126953125,38.11280822753906,-4.455340840667486,0.0033804607,,,,,
80.0,52.5168342590332,190464,,,,,,,,,,,,,,,
80.0,52.929710388183594,191488,-1.1920928955078125e-07,930,0.2,30.92965974062681,3e-05,-0.013186727256106678,0.0115234375,18.466238021850586,-4.4377489820122715,0.0047498336,,,,,
80.0,54.27393341064453,192512,,,,,,,,,,,,,,,
80.0,56.467899322509766,193536,0.0,940,0.2,32.57725363373756,3e-05,-0.0146267857591738,0.010888671875,30.208890914916992,-4.432480491697788,0.0058610304,,,,,
80.0,54.80830764770508,194560,,,,,,,,,,,,,,,
80.0,52.521812438964844,195584,0.0,950,0.2,29.577553355693816,3e-05,-0.01460094021895202,0.015234375,22.81485366821289,-4.419417934119702,0.0059084585,,,,,
80.0,51.316192626953125,196608,,,,,,,,,,,,,,,
80.0,51.37901306152344,197632,-1.1920928955078125e-07,960,0.2,31.598465058207513,3e-05,-0.012388183049188229,0.015771484375,26.70867919921875,-4.406419593095779,0.0049505616,,,,,
80.0,51.0379638671875,198656,,,,,,,,,,,,,,,
80.0,49.318267822265625,199680,1.1920928955078125e-07,970,0.2,30.653916318714618,3e-05,-0.013101839743103482,0.013525390625,23.360658645629883,-4.3908266179263595,0.005857,,,,,
80.0,56.70313262939453,200704,,,,,,,,,,,,,,,
80.0,55.496177673339844,201728,0.0,980,0.2,30.615788055956365,3e-05,-0.013427747804962564,0.01171875,23.44719123840332,-4.366828873753548,0.0055798017,,,,,
80.0,55.06898498535156,202752,,,,,,,,,,,,,,,
80.0,50.06571960449219,203776,0.0,990,0.2,31.2405642837286,3e-05,-0.013963385031092911,0.010546875,31.826017379760742,-4.353543094545603,0.007116994,,,,,
80.0,52.4940185546875,204800,,,,,,,,,,,,,,,
,,204800,,,,,,,,,,,80.0,852,240,55.19118756000001,100
80.0,55.43070602416992,205824,-1.1920928955078125e-07,1000,0.2,31.347666661441327,3e-05,-0.013567383565532509,0.0115234375,25.785995483398438,-4.344546667486429,0.0068009654,,,,,
80.0,59.70280456542969,206848,,,,,,,,,,,,,,,
80.0,58.915958404541016,207872,0.0,1010,0.2,31.01187197417021,3e-05,-0.012056596867842018,0.009033203125,24.316041946411133,-4.340270914137363,0.005367827,,,,,
80.0,57.886077880859375,208896,,,,,,,,,,,,,,,
80.0,59.08866882324219,209920,0.0,1020,0.2,30.97549003213644,3e-05,-0.011356712650376721,0.009130859375,13.762730598449707,-4.330287283658981,0.0051649916,,,,,
80.0,57.98076248168945,210944,,,,,,,,,,,,,,,
80.0,55.74945068359375,211968,0.0,1030,0.2,29.389954735338687,3e-05,-0.014547379984287545,0.021923828125,19.129732131958008,-4.3204474247992035,0.0053628907,,,,,
80.0,62.13857650756836,212992,,,,,,,,,,,,,,,
80.0,51.8351936340332,214016,0.0,1040,0.2,33.32406002581119,3e-05,-0.013345862494315953,0.010888671875,19.301462173461914,-4.295197016000747,0.0059791664,,,,,
80.0,56.10589599609375,215040,,,,,,,,,,,,,,,
80.0,59.71107864379883,216064,0.0,1050,0.2,25.837240938842296,3e-05,-0.012900963790889364,0.01220703125,15.069957733154297,-4.26846804395318,0.007319078,,,,,
80.0,57.71410369873047,217088,,,,,,,,,,,,,,,
80.0,57.15861511230469,218112,0.0,1060,0.2,34.26228619962931,3e-05,-0.013233964855317026,0.019970703125,26.585498809814453,-4.240306760370731,0.00482022,,,,,
80.0,60.34291076660156,219136,,,,,,,,,,,,,,,
80.0,58.61415100097656,220160,0.0,1070,0.2,31.804959107935428,3e-05,-0.011326141827157698,0.011572265625,21.30064582824707,-4.214557413011789,0.0059933225,,,,,
80.0,56.684043884277344,221184,,,,,,,,,,,,,,,
80.0,57.981605529785156,222208,0.0,1080,0.2,29.406657618284225,3e-05,-0.011815286906858092,0.008251953125,16.3800106048584,-4.207674285024405,0.005498646,,,,,
80.0,61.544769287109375,223232,,,,,,,,,,,,,,,
80.0,58.349727630615234,224256,0.0,1090,0.2,28.89569483846426,3e-05,-0.011117020389065146,0.016552734375,19.96156883239746,-4.201904317736625,0.0054809377,,,,,
80.0,61.057594299316406,225280,,,,,,,,,,,,,,,
,,225280,,,,,,,,,,,80.0,904,249,59.524255270000005,110
80.0,58.86097717285156,226304,0.0,1100,0.2,30.874133819341658,3e-05,-0.01237033809411514,0.00712890625,18.887392044067383,-4.180595881491899,0.006129856,,,,,
80.0,54.728538513183594,227328,,,,,,,,,,,,,,,
80.0,60.51368713378906,228352,-1.1920928955078125e-07,1110,0.2,29.621107365190984,3e-05,-0.011484563050180441,0.015283203125,19.088613510131836,-4.148577319085598,0.0060044182,,,,,
80.0,60.86231994628906,229376,,,,,,,,,,,,,,,
