time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/std,train/policy_gradient_loss,train/n_updates,train/value_loss
586080,,,868,1200.0,247,105,5597.712798569999,,,,,,,,,,,
587040,1200.0,7067.141474,,,,,,0.0003,0.2,-263.2641597747803,0.38017578125,9.76681137084961,0.0,0.040142376,0.9161015152931213,-0.03498676897579571,2850,16.448051244020462
588128,,,875,1200.0,248,106,5610.293139779999,,,,,,,,,,,
588240,1200.0,8526.752539,,,,,,0.0003,0.2,-263.1321611404419,0.369140625,9.059481620788574,0.0,0.03727733,0.9149873852729797,-0.0324835860170424,2860,17.098734757304193
589440,1200.0,8550.732937,,,,,,,,,,,,,,,,
590176,,,884,1200.0,247,107,5637.35380147,,,,,,,,,,,
590640,1200.0,6408.714981,,,,,,0.0003,0.2,-262.94513301849366,0.370751953125,8.683874130249023,0.0,0.038483884,0.9144708514213562,-0.032945521098736205,2870,17.63934958875179
591840,1200.0,6446.640416,,,,,,,,,,,,,,,,
592224,,,892,1200.0,247,108,5663.28683312,,,,,,,,,,,
593040,1200.0,6357.271855,,,,,,0.0003,0.2,-262.7367233276367,0.390966796875,9.423505783081055,0.0,0.03968297,0.913291335105896,-0.04082820274925325,2880,21.84669007062912
594240,1200.0,6380.948364,,,,,,,,,,,,,,,,
594272,,,901,1200.0,247,109,5689.19393552,,,,,,,,,,,
595440,1200.0,6308.756782,,,,,,0.0003,0.2,-262.4143753051758,0.35693359375,10.76329517364502,0.0,0.035736904,0.9119018316268921,-0.03037551227462245,2890,18.233789187669753
596320,,,908,1200.0,247,110,5702.3964198700005,,,,,,,,,,,
596640,1200.0,6210.689827,,,,,,0.0003,0.2,-262.2920573234558,0.34853515625,9.044332504272461,-1.1920928955078125e-07,0.035630014,0.9122326374053955,-0.03354821960674599,2900,23.559892851114274
597840,1200.0,6177.164108,,,,,,,,,,,,,,,,
598368,,,917,1200.0,247,111,5729.384474440001,,,,,,,,,,,
599040,1200.0,6265.316714,,,,,,0.0003,0.2,-262.27182245254517,0.350048828125,9.579236030578613,0.0,0.034109917,0.911785364151001,-0.03065717762801796,2910,17.40145972073078
600240,1200.0,6273.929499,,,,,,,,,,,,,,,,
600416,,,926,1200.0,247,112,5755.68888925,,,,,,,,,,,
601440,1200.0,6286.114173,,,,,,0.0003,0.2,-262.1185502052307,0.389013671875,10.481022834777832,1.1920928955078125e-07,0.039932795,0.9112551808357239,-0.03779445315158227,2920,17.975193390250205
602464,,,932,1200.0,248,113,5769.56736071,,,,,,,,,,,
602640,1200.0,6213.185044,,,,,,0.0003,0.2,-261.94002161026003,0.334326171875,12.063458442687988,0.0,0.031042079,0.9106169939041138,-0.031879942388331986,2930,24.335477569699286
603840,1200.0,6251.477329,,,,,,,,,,,,,,,,
604512,,,941,1200.0,247,114,5798.025185309999,,,,,,,,,,,
605040,1200.0,6346.29717,,,,,,0.0003,0.2,-261.81963243484495,0.357177734375,9.078582763671875,-1.1920928955078125e-07,0.0408601,0.9105508327484131,-0.03197753273270791,2940,19.164337396621704
606240,1200.0,6402.323765,,,,,,,,,,,,,,,,
606560,,,950,1200.0,247,115,5824.100963499999,,,,,,,,,,,
607440,1200.0,6299.215178,,,,,,0.0003,0.2,-261.74856815338137,0.367333984375,8.926202774047852,0.0,0.03656469,0.9100189208984375,-0.03652018614811823,2950,19.17731608748436
608608,,,956,1200.0,248,116,5837.570048669999,,,,,,,,,,,
608640,1200.0,7319.791734,,,,,,0.0003,0.2,-261.5864796638489,0.35537109375,12.021015167236328,0.0,0.03481081,0.9094908833503723,-0.03108622161380481,2960,21.310206204652786
609840,1200.0,7354.805325,,,,,,,,,,,,,,,,
610656,,,965,1200.0,248,117,5866.19605718,,,,,,,,,,,
611040,1200.0,6675.65545,,,,,,0.0003,0.2,-261.34687156677245,0.32431640625,9.144371032714844,5.960464477539063e-08,0.03449943,0.9079318046569824,-0.031438607515883635,2970,23.377064749598503
612240,1200.0,6626.779994,,,,,,,,,,,,,,,,
612704,,,974,1200.0,247,118,5894.157100010001,,,,,,,,,,,
613440,1200.0,8938.18134,,,,,,0.0003,0.2,-261.0353157043457,0.38017578125,11.40805435180664,-1.1920928955078125e-07,0.036707535,0.9070972204208374,-0.03600684781704331,2980,16.005746895074843
614640,1200.0,8955.986141,,,,,,,,,,,,,,,,
614752,,,983,1200.0,247,119,5921.6434736500005,,,,,,,,,,,
615840,1200.0,8481.628567,,,,,,0.0003,0.2,-260.8724200248718,0.37529296875,13.655150413513184,-1.1920928955078125e-07,0.03707864,0.9064263701438904,-0.03454431600694079,2990,22.21812921464443
616800,,,990,1200.0,248,120,5934.274075330001,,,,,,,,,,,
617040,1200.0,8445.44658,,,,,,0.0003,0.2,-260.60334224700927,0.379638671875,9.357906341552734,-1.1920928955078125e-07,0.038055185,0.9051851034164429,-0.03705313862446928,3000,23.665468156337738
618240,1200.0,8418.581588,,,,,,,,,,,,,,,,
618848,,,998,1200.0,248,121,5960.941424059999,,,,,,,,,,,
619440,1200.0,8588.543768,,,,,,0.0003,0.2,-260.2882845878601,0.378466796875,8.000738143920898,0.0,0.039782718,0.9039966464042664,-0.03197242993628606,3010,17.569405058026312
620640,1200.0,8543.460141,,,,,,,,,,,,,,,,
620896,,,1007,1200.0,247,122,5989.2766925000005,,,,,,,,,,,
621840,1200.0,6314.495102,,,,,,0.0003,0.2,-260.01875696182253,0.345068359375,7.6853928565979,1.1920928955078125e-07,0.037130475,0.9029661417007446,-0.033794840735208706,3020,21.46702287495136
622944,,,1014,1200.0,248,123,6004.409296879999,,,,,,,,,,,
623040,1200.0,8724.350007,,,,,,0.0003,0.2,-259.8202745437622,0.373974609375,11.341385841369629,0.0,0.037810322,0.9023290276527405,-0.03475386188074481,3030,22.485580760240556
624240,1200.0,8749.507457,,,,,,,,,,,,,,,,
624992,,,1023,1200.0,248,124,6031.411344079999,,,,,,,,,,,
625440,1200.0,6597.533326,,,,,,0.0003,0.2,-259.67148332595826,0.33056640625,16.471540451049805,5.960464477539063e-08,0.034595016,0.9015958309173584,-0.02854726956720697,3040,25.653898683190345
626640,1200.0,6602.388009,,,,,,,,,,,,,,,,
627040,,,1032,1200.0,247,125,6057.05881759,,,,,,,,,,,
627840,1200.0,7386.074483,,,,,,0.0003,0.2,-259.5080744743347,0.3904296875,9.376363754272461,0.0,0.036840703,0.9012489914894104,-0.03649213224416599,3050,24.99782927632332
629040,1200.0,7396.164665,,,,,,,,,,,,,,,,
629088,,,1041,1200.0,247,126,6083.40013388,,,,,,,,,,,
630240,1200.0,8813.077015,,,,,,0.0003,0.2,-259.3087706565857,0.33564453125,14.67968463897705,0.0,0.0322833,0.9003044366836548,-0.031214354367693885,3060,31.16781632900238
631136,,,1047,1200.0,248,127,6096.527809239999,,,,,,,,,,,
631440,1200.0,8654.153787,,,,,,0.0003,0.2,-259.1400978088379,0.362353515625,7.539742469787598,0.0,0.03722755,0.9001091122627258,-0.0350487049377989,3070,23.703024390339852
632640,1200.0,8655.006406,,,,,,,,,,,,,,,,
633184,,,1056,1200.0,248,128,6125.012661010001,,,,,,,,,,,
633840,1200.0,8731.631298,,,,,,0.0003,0.2,-259.1216552734375,0.34697265625,14.845734596252441,0.0,0.033528246,0.8999557495117188,-0.034055702618206854,3080,31.180500930547716
635040,1200.0,8793.28674,,,,,,,,,,,,,,,,
635232,,,1065,1200.0,247,129,6150.67913765,,,,,,,,,,,
636240,1200.0,6424.800637,,,,,,0.0003,0.2,-258.99322786331174,0.367333984375,15.633807182312012,0.0,0.039724354,0.899441659450531,-0.035111693204089536,3090,30.030040061473848
637280,,,1072,1200.0,248,130,6165.625764289999,,,,,,,,,,,
637440,1200.0,6274.883416,,,,,,0.0003,0.2,-258.84088134765625,0.335302734375,10.263419151306152,0.0,0.03404706,0.8987536430358887,-0.027477441779046784,3100,23.006138640642167
638640,1200.0,6270.615316,,,,,,,,,,,,,,,,
639328,,,1080,1200.0,248,131,6193.233947129999,,,,,,,,,,,
639840,1200.0,6292.107252,,,,,,0.0003,0.2,-258.61264381408694,0.36416015625,13.046621322631836,0.0,0.039598547,0.897686779499054,-0.03156496651645284,3110,21.929346024990082
641040,1200.0,6348.987395,,,,,,,,,,,,,,,,
641376,,,1089,1200.0,248,132,6222.08923854,,,,,,,,,,,
642240,1200.0,6670.06074,,,,,,0.0003,0.2,-258.38042707443236,0.357177734375,11.851573944091797,5.960464477539063e-08,0.03641461,0.8968886733055115,-0.032627857582701834,3120,25.34692056775093
643424,,,1096,1200.0,248,133,6235.870106240001,,,,,,,,,,,
643440,1200.0,8248.641003,,,,,,0.0003,0.2,-258.0888597488403,0.3552734375,10.162983894348145,0.0,0.039808374,0.8957366943359375,-0.0310772438213462,3130,24.51332530975342
644640,1200.0,8258.72842,,,,,,,,,,,,,,,,
645472,,,1105,1200.0,248,134,6263.6123239200015,,,,,,,,,,,
645840,1200.0,10256.278418,,,,,,0.0003,0.2,-257.90540113449094,0.36201171875,10.662866592407227,0.0,0.03879398,0.8950836658477783,-0.03218608966417378,3140,33.403104120492934
647040,1200.0,10201.472649,,,,,,,,,,,,,,,,
647520,,,1114,1200.0,248,135,6291.633552,,,,,,,,,,,
648240,1200.0,8397.505114,,,,,,0.0003,0.2,-257.791285610199,0.313232421875,13.021374702453613,1.7881393432617188e-07,0.032858968,0.8946722149848938,-0.028380407745135016,3150,23.335536250472067
649440,1200.0,8442.598906,,,,,,,,,,,,,,,,
649568,,,1122,1200.0,248,136,6317.768920899998,,,,,,,,,,,
650640,1200.0,10349.108601,,,,,,0.0003,0.2,-257.5264552116394,0.3703125,18.38035774230957,0.0,0.033605076,0.8933547735214233,-0.03377071517170407,3160,31.30864197611809
651616,,,1129,1200.0,248,137,6331.195124569998,,,,,,,,,,,
