eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
50.0,6.337630271911621,134500,,,,,,,,,,,,,,,
50.0,4.194075107574463,135000,,,,,,,,,,,,,,,
50.0,7.24848747253418,135500,0.0003,0.05412106,0.0,0.2,0.05588127757509938,6159.949290466308,660,0.307080078125,3368.04931640625,-3.89364897236228,,,,,
50.0,4.170263767242432,136000,,,,,,,,,,,,,,,
50.0,9.41264533996582,136500,,,,,,,,,,,,,,,
50.0,5.143728256225586,137000,,,,,,,,,,,,,,,
50.0,6.308904647827148,137500,0.0003,0.06121772,0.0,0.2,0.0618200726195937,6191.433850097656,670,0.305908203125,3190.748291015625,-3.891363400220871,,,,,
50.0,5.495676040649414,138000,,,,,,,,,,,,,,,
50.0,4.114847660064697,138500,,,,,,,,,,,,,,,
50.0,3.739708662033081,139000,,,,,,,,,,,,,,,
50.0,4.365140914916992,139500,0.0003,0.06633057,1.1920928955078125e-07,0.2,0.0716192594380118,5119.1082542419435,680,0.31923828125,2459.239501953125,-3.8911072269082068,,,,,
50.0,4.0892252922058105,140000,,,,,,,,,,,,,,,
50.0,8.968247413635254,140500,,,,,,,,,,,,,,,
50.0,8.963337898254395,141000,,,,,,,,,,,,,,,
50.0,4.867813587188721,141500,0.0003,0.06304327,0.0,0.2,0.06172310952679254,5951.193271636963,690,0.29853515625,2772.669677734375,-3.889918478578329,,,,,
50.0,5.314057350158691,142000,,,,,,,,,,,,,,,
50.0,6.97114372253418,142500,,,,,,,,,,,,,,,
50.0,8.469419479370117,143000,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,303,70,508.33667546000004,50.0,472
50.0,8.284782409667969,143500,0.0003,0.066044,0.0,0.2,0.06529995081655215,6871.671885681152,700,0.334228515625,4422.68896484375,-3.890584923326969,,,,,
50.0,6.6320881843566895,144000,,,,,,,,,,,,,,,
50.0,5.579759120941162,144500,,,,,,,,,,,,,,,
50.0,4.654799938201904,145000,,,,,,,,,,,,,,,
50.0,5.720294952392578,145500,0.0003,0.06296889,-1.1920928955078125e-07,0.2,0.06858783876523375,5585.361759185791,710,0.34521484375,3160.66650390625,-3.8956165105104446,,,,,
50.0,5.862932205200195,146000,,,,,,,,,,,,,,,
50.0,5.924073219299316,146500,,,,,,,,,,,,,,,
50.0,5.880745887756348,147000,,,,,,,,,,,,,,,
50.0,9.466136932373047,147500,0.0003,0.06309658,1.1920928955078125e-07,0.2,0.059959645540220666,6191.137926483154,720,0.317919921875,2402.126708984375,-3.8967823028564452,,,,,
50.0,5.366231918334961,148000,,,,,,,,,,,,,,,
50.0,7.695894718170166,148500,,,,,,,,,,,,,,,
50.0,6.797453880310059,149000,,,,,,,,,,,,,,,
50.0,4.893962860107422,149500,,,,,,,,,,,,,,,
50.0,7.665460109710693,150000,0.0003,0.06630626,0.0,0.2,0.07046366258291528,5740.178495788574,730,0.303515625,3342.2412109375,-3.8976554453372954,,,,,
50.0,5.470779895782471,150500,,,,,,,,,,,,,,,
50.0,4.561370849609375,151000,,,,,,,,,,,,,,,
50.0,6.692996025085449,151500,,,,,,,,,,,,,,,
