time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
214016,41.49925994873047,40.0,-0.03832121605009888,0.0003,0.62353515625,34.84748427867889,1040,0.2,-3.39574681520462,12.630220413208008,-1.1920928955078125e-07,0.11186347,,,,,
215040,67.7701187133789,40.0,,,,,,,,,,,,,,,
216064,69.51383972167969,40.0,-0.03686450306558982,0.0003,0.5890625,31.083592534065247,1050,0.2,-3.386243623495102,16.558399200439453,-1.1920928955078125e-07,0.08429411,,,,,
217088,63.584503173828125,40.0,,,,,,,,,,,,,,,
218112,69.41604614257812,40.0,-0.04313000137044583,0.0003,0.65517578125,46.63514320850372,1060,0.2,-3.367598371207714,21.325342178344727,-1.1920928955078125e-07,0.10442206,,,,,
219136,71.29716491699219,40.0,,,,,,,,,,,,,,,
220160,64.13166809082031,40.0,-0.0490907904895721,0.0003,0.594970703125,39.35877867937088,1070,0.2,-3.3631939120590686,15.749253273010254,1.1920928955078125e-07,0.0964314,,,,,
221184,53.905609130859375,40.0,,,,,,,,,,,,,,,
222208,48.406455993652344,40.0,-0.04350816454389132,0.0003,0.629541015625,43.21089290976524,1080,0.2,-3.34452555552125,22.66263198852539,5.960464477539063e-08,0.12023643,,,,,
223232,62.04295349121094,40.0,,,,,,,,,,,,,,,
224256,72.2287368774414,40.0,-0.0447207061748486,0.0003,0.660595703125,31.303360217809676,1090,0.2,-3.336298234015703,10.328981399536133,0.0,0.14096686,,,,,
225280,60.05570602416992,40.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,392,40.0,61.17765809,110,573
226304,55.30818176269531,40.0,-0.03639701439824421,0.0003,0.669482421875,29.568424892425536,1100,0.2,-3.359608893096447,17.138856887817383,0.0,0.10680944,,,,,
227328,53.284339904785156,40.0,,,,,,,,,,,,,,,
228352,72.75428771972656,40.0,-0.035564079877804036,0.0003,0.607421875,31.922599935531615,1110,0.2,-3.368486515432596,14.328543663024902,0.0,0.08986833,,,,,
