time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
228352,180.0,78.93428039550781,0.2,21.449756622314453,0.625,0.0003,0.025873318,5.960464477539063e-08,46.81257921457291,-0.04174705648329109,1110,-2.9790886379778385,,,,,
229376,180.0,82.6268310546875,,,,,,,,,,,,,,,
230400,180.0,79.489501953125,0.2,17.277286529541016,0.60185546875,0.0003,0.04183332,5.960464477539063e-08,49.30265563726425,-0.04632603657373693,1120,-2.9358772441744803,,,,,
231424,180.0,79.94679260253906,,,,,,,,,,,,,,,
232448,180.0,83.74727630615234,0.2,17.901718139648438,0.56484375,0.0003,0.02216038,0.0,40.80472640395165,-0.0428838567022467,1130,-2.9633075684309005,,,,,
233472,180.0,84.59718322753906,,,,,,,,,,,,,,,
234496,180.0,83.5123291015625,0.2,9.49288558959961,0.60283203125,0.0003,0.03178156,5.960464477539063e-08,43.23688321113586,-0.04456183192669414,1140,-2.942189236730337,,,,,
235520,180.0,81.84405517578125,,,,,,,,,,,,,,,
236544,180.0,84.29232788085938,0.2,12.010412216186523,0.6453125,0.0003,0.028261403,0.0,43.905794858932495,-0.044972740160301325,1150,-2.9403416931629183,,,,,
237568,180.0,82.026123046875,,,,,,,,,,,,,,,
238592,180.0,85.65847778320312,0.2,20.90479850769043,0.480029296875,0.0003,0.020491265,-1.1920928955078125e-07,39.95957010984421,-0.046712801663670686,1160,-2.9902073979377746,,,,,
239616,180.0,85.97492980957031,,,,,,,,,,,,,,,
240640,180.0,85.21796417236328,0.2,25.237133026123047,0.42919921875,0.0003,0.019664055,5.960464477539063e-08,44.37831046581268,-0.04382765460759401,1170,-3.018587516248226,,,,,
241664,180.0,83.66130828857422,,,,,,,,,,,,,,,
242688,180.0,85.9393539428711,0.2,17.898574829101562,0.466748046875,0.0003,0.018900668,0.0,45.687551194429396,-0.041144977792282586,1180,-3.01314302906394,,,,,
243712,180.0,85.24557495117188,,,,,,,,,,,,,,,
244736,180.0,85.89376068115234,0.2,20.95699119567871,0.52392578125,0.0003,0.022595383,1.7881393432617188e-07,44.60910060405731,-0.04535685747687239,1190,-3.0147908866405486,,,,,
245760,180.0,87.72306823730469,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,714,120,343,84.92650334999999,180.0
246784,180.0,84.41921997070312,0.2,19.873071670532227,0.404443359375,0.0003,0.018287458,0.0,51.22725260257721,-0.0423563476651907,1200,-3.044608188420534,,,,,
247808,180.0,86.46109008789062,,,,,,,,,,,,,,,
248832,180.0,87.86619567871094,0.2,18.76943016052246,0.416796875,0.0003,0.018160846,0.0,45.57441136538982,-0.039909911263384855,1210,-3.0744420014321805,,,,,
249856,180.0,86.1896743774414,,,,,,,,,,,,,,,
