eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,45.44133758544922,50176,1.1920928955078125e-07,0.0003,188067.349609375,0.07485253,0.4146484375,-0.031581174035090954,94338.3984375,240,-6.385809326171875,0.2,,,,,
40.0,51.08552551269531,51200,,,,,,,,,,,,,,,
40.0,49.700077056884766,52224,0.0,0.0003,194569.98984375,0.07552251,0.41669921875,-0.030503470473922788,79461.0390625,250,-6.38521531522274,0.2,,,,,
40.0,47.35761260986328,53248,,,,,,,,,,,,,,,
40.0,50.67218017578125,54272,0.0,0.0003,144841.4287109375,0.07945134,0.4181640625,-0.0289589893858647,66099.5234375,260,-6.385041597485542,0.2,,,,,
40.0,43.84764862060547,55296,,,,,,,,,,,,,,,
40.0,47.06351089477539,56320,0.0,0.0003,156898.93854980468,0.07202201,0.4134765625,-0.032058895428781396,76443.1640625,270,-6.384867861866951,0.2,,,,,
40.0,50.36100769042969,57344,,,,,,,,,,,,,,,
40.0,57.00328063964844,58368,0.0,0.0003,178887.35610351563,0.07279958,0.409130859375,-0.02857720053871162,95288.890625,280,-6.384325778484344,0.2,,,,,
40.0,45.50416564941406,59392,,,,,,,,,,,,,,,
40.0,49.372257232666016,60416,-1.1920928955078125e-07,0.0003,180752.7289550781,0.073757514,0.41748046875,-0.026815409472328612,83947.9921875,290,-6.383414505422115,0.2,,,,,
40.0,47.390541076660156,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,219,1323.6464924299999,40.0,280,30
40.0,51.57161331176758,62464,0.0,0.0003,162023.0443359375,0.07658003,0.421044921875,-0.03268209352681879,86029.4453125,300,-6.382834041118622,0.2,,,,,
40.0,46.09349060058594,63488,,,,,,,,,,,,,,,
40.0,51.97649002075195,64512,0.0,0.0003,154382.25764160155,0.07187748,0.401513671875,-0.032195701939053835,75774.2265625,310,-6.382432274520397,0.2,,,,,
40.0,56.10723114013672,65536,,,,,,,,,,,,,,,
40.0,45.40399932861328,66560,1.7881393432617188e-07,0.0003,168353.08950195313,0.07519207,0.402783203125,-0.03231919030949939,78326.265625,320,-6.382038202881813,0.2,,,,,
40.0,52.32160186767578,67584,,,,,,,,,,,,,,,
