eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,59392,19.68313980102539,,,,,,,,,,,,,,,
180.0,60416,19.428913116455078,0.30947265625,-5.165603959560395,0.020183044,16.174497604370117,0.0003,290,42.460348543524745,-0.029336709969720688,0.2,0.0,,,,,
180.0,61440,18.246295928955078,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,17.750444919999996,180.0,273,30,224
180.0,62464,20.48514175415039,0.28486328125,-5.132115617394447,0.019734338,26.240732192993164,0.0003,300,48.53839603960514,-0.027265592743060552,0.2,-1.1920928955078125e-07,,,,,
180.0,63488,20.065383911132812,,,,,,,,,,,,,,,
180.0,64512,19.234622955322266,0.284765625,-5.098327761888504,0.01976201,19.16997528076172,0.0003,310,42.054587435722354,-0.028415513728396034,0.2,0.0,,,,,
180.0,65536,22.312030792236328,,,,,,,,,,,,,,,
180.0,66560,19.444854736328125,0.34189453125,-5.070527595281601,0.021177672,15.870367050170898,0.0003,320,41.98333826065063,-0.03498424075951334,0.2,0.0,,,,,
180.0,67584,22.081052780151367,,,,,,,,,,,,,,,
180.0,68608,17.972827911376953,0.28408203125,-5.034640263020992,0.01882092,31.131624221801758,0.0003,330,47.765642201900484,-0.02639733404357685,0.2,0.0,,,,,
180.0,69632,20.402496337890625,,,,,,,,,,,,,,,
180.0,70656,20.61897850036621,0.302294921875,-4.979812827706337,0.021212883,20.11308479309082,0.0003,340,38.16177505850792,-0.03077651148487348,0.2,0.0,,,,,
180.0,71680,20.97756576538086,,,,,,,,,,,,,,,
180.0,72704,23.532760620117188,0.300927734375,-4.933078546822071,0.018712182,19.731216430664062,0.0003,350,50.51258919239044,-0.028551522585075872,0.2,0.0,,,,,
180.0,73728,22.447277069091797,,,,,,,,,,,,,,,
180.0,74752,22.879634857177734,0.255810546875,-4.903128333389759,0.019292947,35.598602294921875,0.0003,360,40.9301495462656,-0.024158058781904402,0.2,0.0,,,,,
180.0,75776,25.149639129638672,,,,,,,,,,,,,,,
180.0,76800,24.1851863861084,0.307275390625,-4.840239353477955,0.020702092,16.745811462402344,0.0003,370,39.32220150530338,-0.03203305003116839,0.2,0.0,,,,,
180.0,77824,24.133241653442383,,,,,,,,,,,,,,,
180.0,78848,27.211109161376953,0.26044921875,-4.755484895408154,0.018859021,24.324951171875,0.0003,380,50.27906051278114,-0.024653354927431793,0.2,0.0,,,,,
180.0,79872,21.780994415283203,,,,,,,,,,,,,,,
180.0,80896,26.111194610595703,0.2763671875,-4.726570622622967,0.021308685,17.963134765625,0.0003,390,46.61711338758469,-0.026217098276538307,0.2,5.960464477539063e-08,,,,,
180.0,81920,26.679424285888672,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,22.379808169999997,180.0,281,40,291
180.0,82944,27.871875762939453,0.29873046875,-4.630951768159866,0.020530954,38.17074203491211,0.0003,400,47.00318191945553,-0.02475628438696731,0.2,0.0,,,,,
180.0,83968,25.46702766418457,,,,,,,,,,,,,,,
180.0,84992,24.9954891204834,0.27431640625,-4.574245396256447,0.017894952,23.150346755981445,0.0003,410,47.02361233234406,-0.024486127959971783,0.2,0.0,,,,,
180.0,86016,26.773658752441406,,,,,,,,,,,,,,,
180.0,87040,28.703659057617188,0.26689453125,-4.523476491868496,0.017342549,14.071526527404785,0.0003,420,47.038281351327896,-0.026127596023434306,0.2,0.0,,,,,
180.0,88064,28.222476959228516,,,,,,,,,,,,,,,
180.0,89088,27.65683364868164,0.256591796875,-4.505399096012115,0.020472763,24.16161346435547,0.0003,430,48.07642963528633,-0.02705621471104678,0.2,0.0,,,,,
180.0,90112,27.69232177734375,,,,,,,,,,,,,,,
180.0,91136,28.183971405029297,0.271630859375,-4.484806194901466,0.019963348,20.616228103637695,0.0003,440,41.06488550901413,-0.024154457730764987,0.2,1.1920928955078125e-07,,,,,
180.0,92160,30.013389587402344,,,,,,,,,,,,,,,
180.0,93184,31.65808868408203,0.2189453125,-4.440159906446934,0.015791038,19.374170303344727,0.0003,450,44.14145497679711,-0.02337233546859352,0.2,5.960464477539063e-08,,,,,
180.0,94208,30.584550857543945,,,,,,,,,,,,,,,
180.0,95232,30.015880584716797,0.25830078125,-4.374166268110275,0.01925318,38.393775939941406,0.0003,460,49.699111139774324,-0.02607846922473982,0.2,1.4901161193847656e-06,,,,,
180.0,96256,31.716835021972656,,,,,,,,,,,,,,,
180.0,97280,30.6820068359375,0.289697265625,-4.239264854788781,0.018266426,24.70853614807129,0.0003,470,38.972240924835205,-0.026533491333248095,0.2,1.1920928955078125e-07,,,,,
180.0,98304,36.071414947509766,,,,,,,,,,,,,,,
180.0,99328,30.306594848632812,0.25048828125,-4.1924515351653096,0.018329225,18.377685546875,0.0003,480,43.46918190121651,-0.022515841090353206,0.2,0.0,,,,,
180.0,100352,35.5861701965332,,,,,,,,,,,,,,,
180.0,101376,36.49038314819336,0.24775390625,-4.083909103274346,0.016775008,27.24365997314453,0.0003,490,46.40856677889824,-0.02330723450286314,0.2,0.0,,,,,
180.0,102400,37.174198150634766,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,32.08377700999999,180.0,286,50,357
180.0,103424,35.63329315185547,0.19921875,-3.9966563791036607,0.015350373,11.836891174316406,0.0003,500,42.98633514046669,-0.01863026012579212,0.2,-1.1920928955078125e-07,,,,,
180.0,104448,39.68291473388672,,,,,,,,,,,,,,,
180.0,105472,34.39707946777344,0.231689453125,-3.980352655798197,0.015183273,20.385377883911133,0.0003,510,44.36955391764641,-0.02189430337457452,0.2,5.960464477539063e-08,,,,,
180.0,106496,37.364097595214844,,,,,,,,,,,,,,,
180.0,107520,42.2808952331543,0.21806640625,-3.9938247576355934,0.01717413,30.952850341796875,0.0003,520,42.90601769089699,-0.01872025848715566,0.2,0.0,,,,,
180.0,108544,34.064414978027344,,,,,,,,,,,,,,,
180.0,109568,44.54991149902344,0.201806640625,-3.8737325355410577,0.017693792,20.867338180541992,0.0003,530,49.47677670717239,-0.018272806720779043,0.2,0.0,,,,,
180.0,110592,40.19327926635742,,,,,,,,,,,,,,,
180.0,111616,41.39003372192383,0.22578125,-3.8269795387983323,0.01920777,21.254276275634766,0.0003,540,39.684041929245,-0.021522077787085436,0.2,-1.1920928955078125e-07,,,,,
180.0,112640,43.646759033203125,,,,,,,,,,,,,,,
180.0,113664,46.21055603027344,0.23125,-3.7399349234998227,0.016645426,24.780006408691406,0.0003,550,45.8738136947155,-0.02421552928572055,0.2,0.0,,,,,
180.0,114688,43.14067840576172,,,,,,,,,,,,,,,
180.0,115712,44.48041534423828,0.223681640625,-3.6449038982391357,0.015425505,24.454082489013672,0.0003,560,45.291625797748566,-0.018655683225370014,0.2,0.0,,,,,
180.0,116736,42.76700210571289,,,,,,,,,,,,,,,
180.0,117760,44.984901428222656,0.240869140625,-3.639678256958723,0.020951282,22.0920352935791,0.0003,570,41.880027800798416,-0.019494814864447107,0.2,0.0,,,,,
180.0,118784,50.313499450683594,,,,,,,,,,,,,,,
180.0,119808,48.683677673339844,0.202197265625,-3.670322046428919,0.013652039,12.841209411621094,0.0003,580,44.2775018632412,-0.017938317405059932,0.2,0.0,,,,,
180.0,120832,47.597259521484375,,,,,,,,,,,,,,,
180.0,121856,50.753440856933594,0.21796875,-3.5537004597485065,0.01945696,19.837862014770508,0.0003,590,43.227727863192555,-0.02012686687812675,0.2,0.0,,,,,
180.0,122880,46.808319091796875,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,43.79506859,180.0,290,60,423
180.0,123904,49.86909484863281,0.23115234375,-3.5924152843654156,0.017434776,22.68800926208496,0.0003,600,43.5013136357069,-0.01759052088309545,0.2,0.0,,,,,
180.0,124928,46.24750900268555,,,,,,,,,,,,,,,
180.0,125952,46.6419563293457,0.1609375,-3.5748691633343697,0.0137017295,15.276001930236816,0.0003,610,36.07074765264988,-0.011409808231110218,0.2,0.0,,,,,
180.0,126976,53.15678787231445,,,,,,,,,,,,,,,
180.0,128000,54.06576156616211,0.203759765625,-3.492365466058254,0.017664501,28.42949104309082,0.0003,620,45.19750487804413,-0.0166153155718348,0.2,0.0,,,,,
180.0,129024,52.16734313964844,,,,,,,,,,,,,,,
180.0,130048,50.26746368408203,0.222509765625,-3.5696315839886665,0.017517537,11.609477996826172,0.0003,630,45.20428437590599,-0.01909297916281503,0.2,0.0,,,,,
180.0,131072,53.662654876708984,,,,,,,,,,,,,,,
180.0,132096,56.840232849121094,0.177978515625,-3.588274259120226,0.0154636465,15.831619262695312,0.0003,640,44.31802802681923,-0.016476914811937603,0.2,0.0,,,,,
180.0,133120,52.14198303222656,,,,,,,,,,,,,,,
180.0,134144,55.5186767578125,0.20791015625,-3.487209006398916,0.016520474,28.181167602539062,0.0003,650,51.55772463083267,-0.018762145795335528,0.2,0.0,,,,,
180.0,135168,54.59820556640625,,,,,,,,,,,,,,,
180.0,136192,60.33271026611328,0.171142578125,-3.4860240377485754,0.016745199,27.337100982666016,0.0003,660,46.238702070713046,-0.01704057109891437,0.2,0.0,,,,,
180.0,137216,58.39241027832031,,,,,,,,,,,,,,,
180.0,138240,58.17971420288086,0.186376953125,-3.4794389165937902,0.015588957,29.5799617767334,0.0003,670,51.470162534713744,-0.016873544016561937,0.2,0.0,,,,,
180.0,139264,55.80573272705078,,,,,,,,,,,,,,,
180.0,140288,58.164268493652344,0.14775390625,-3.5144942067563534,0.015830003,16.891803741455078,0.0003,680,48.24977721571922,-0.010407225597009528,0.2,0.0,,,,,
180.0,141312,55.5643196105957,,,,,,,,,,,,,,,
180.0,142336,57.56093215942383,0.19091796875,-3.5626178205013277,0.017324362,22.222185134887695,0.0003,690,48.76129140257835,-0.012010401298175566,0.2,0.0,,,,,
180.0,143360,59.48607635498047,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,54.59895828,180.0,292,70,490
180.0,144384,57.84492492675781,0.1853515625,-3.5634363569319247,0.016660262,17.947734832763672,0.0003,700,50.30338765978813,-0.014477638028620277,0.2,0.0,,,,,
180.0,145408,55.58842468261719,,,,,,,,,,,,,,,
180.0,146432,60.977230072021484,0.22099609375,-3.529797641187906,0.01616129,23.83158302307129,0.0003,710,54.529095351696014,-0.019594592609792016,0.2,0.0,,,,,
180.0,147456,63.35159683227539,,,,,,,,,,,,,,,
180.0,148480,60.471649169921875,0.183740234375,-3.509589480608702,0.012559961,37.9328727722168,0.0003,720,52.08224604725838,-0.015347734017996117,0.2,-1.1920928955078125e-07,,,,,
180.0,149504,61.31787872314453,,,,,,,,,,,,,,,
180.0,150528,57.879058837890625,0.16123046875,-3.468258595466614,0.017433159,18.08415412902832,0.0003,730,44.30808041095734,-0.013384375206078403,0.2,0.0,,,,,
180.0,151552,63.70345687866211,,,,,,,,,,,,,,,
180.0,152576,62.10790252685547,0.167724609375,-3.4355311147868632,0.01424431,19.934654235839844,0.0003,740,48.703251951932906,-0.015194085499388166,0.2,-1.1920928955078125e-07,,,,,
180.0,153600,61.400054931640625,,,,,,,,,,,,,,,
180.0,154624,62.613258361816406,0.15908203125,-3.4011080741882322,0.014671531,20.72710609436035,0.0003,750,54.07137986421585,-0.011333564469532575,0.2,0.0,,,,,
180.0,155648,64.42552185058594,,,,,,,,,,,,,,,
180.0,156672,62.82236862182617,0.178466796875,-3.415062762796879,0.014609562,24.37224578857422,0.0003,760,45.16480070948601,-0.014023234481282999,0.2,-1.1920928955078125e-07,,,,,
180.0,157696,59.7739143371582,,,,,,,,,,,,,,,
180.0,158720,61.405887603759766,0.213720703125,-3.394953194260597,0.0154222865,18.1125545501709,0.0003,770,46.4737701356411,-0.01691648487758357,0.2,0.0,,,,,
180.0,159744,64.21442413330078,,,,,,,,,,,,,,,
180.0,160768,69.93577575683594,0.175634765625,-3.386045129597187,0.016028922,11.720062255859375,0.0003,780,41.28713631629944,-0.015466668992303312,0.2,-1.1920928955078125e-07,,,,,
180.0,161792,65.71006774902344,,,,,,,,,,,,,,,
180.0,162816,66.91563415527344,0.2033203125,-3.407896935939789,0.016475968,34.28216552734375,0.0003,790,55.17876085639,-0.01726755300624063,0.2,0.0,,,,,
180.0,163840,65.3384017944336,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,62.9960346,180.0,293,80,557
180.0,164864,62.63523483276367,0.169384765625,-3.4421194545924663,0.013666228,24.387298583984375,0.0003,800,42.61599177718163,-0.015209116917685606,0.2,0.0,,,,,
180.0,165888,66.8203353881836,,,,,,,,,,,,,,,
180.0,166912,65.873046875,0.204833984375,-3.4789674900472165,0.019182578,25.451576232910156,0.0003,810,45.87495928406715,-0.017044885799987242,0.2,-7.152557373046875e-07,,,,,
180.0,167936,69.39386749267578,,,,,,,,,,,,,,,
180.0,168960,66.50787353515625,0.1849609375,-3.48032032251358,0.017237812,28.272258758544922,0.0003,820,56.40828705430031,-0.0178874209523201,0.2,0.0,,,,,
180.0,169984,66.18115997314453,,,,,,,,,,,,,,,
