time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed
136192,53.961368560791016,180.0,0.21962890625,-3.5015734799206255,0.0003,45.10163530707359,0.0160574,0.0,15.681811332702637,-0.019108647214306985,660,0.2,,,,,
137216,56.32349395751953,180.0,,,,,,,,,,,,,,,
138240,57.478607177734375,180.0,0.1501953125,-3.3778954304754736,0.0003,50.236221104860306,0.015324155,0.0,21.694063186645508,-0.013901207294838968,670,0.2,,,,,
139264,53.96649169921875,180.0,,,,,,,,,,,,,,,
140288,52.7890625,180.0,0.20693359375,-3.4486749090254305,0.0003,48.41446949243546,0.018855311,5.960464477539063e-08,24.188594818115234,-0.016408070269972087,680,0.2,,,,,
141312,54.56822967529297,180.0,,,,,,,,,,,,,,,
142336,54.02394104003906,180.0,0.215771484375,-3.396880005300045,0.0003,45.597714602947235,0.01748252,-1.1920928955078125e-07,16.438884735107422,-0.01823211355076637,690,0.2,,,,,
143360,56.97570037841797,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,180.0,146,70,52.15572169,980
144384,55.89168930053711,180.0,0.220068359375,-3.380460201203823,0.0003,44.985758662223816,0.015090004,5.960464477539063e-08,16.560251235961914,-0.019709255911584476,700,0.2,,,,,
145408,55.42117691040039,180.0,,,,,,,,,,,,,,,
146432,57.46795654296875,180.0,0.183935546875,-3.3087158940732477,0.0003,50.91951120495796,0.015345605,-1.1920928955078125e-07,28.68779182434082,-0.014258310446166433,710,0.2,,,,,
147456,63.338157653808594,180.0,,,,,,,,,,,,,,,
148480,57.239662170410156,180.0,0.1697265625,-3.214597815275192,0.0003,40.02134172916412,0.0121768415,0.0,23.364910125732422,-0.016072261724912097,720,0.2,,,,,
149504,58.724159240722656,180.0,,,,,,,,,,,,,,,
150528,57.457481384277344,180.0,0.16826171875,-3.2528250351548196,0.0003,41.003665840625764,0.01325988,0.0,13.89699649810791,-0.014907137594127562,730,0.2,,,,,
151552,62.538082122802734,180.0,,,,,,,,,,,,,,,
152576,56.898658752441406,180.0,0.1568359375,-3.191958013921976,0.0003,39.65551681518555,0.013472774,0.0,22.680644989013672,-0.014190264517674222,740,0.2,,,,,
153600,65.41220092773438,180.0,,,,,,,,,,,,,,,
154624,60.21334457397461,180.0,0.135400390625,-3.272423789650202,0.0003,42.95321155190468,0.012119979,0.0,22.14617347717285,-0.011859198322054,750,0.2,,,,,
155648,62.10497283935547,180.0,,,,,,,,,,,,,,,
156672,58.490013122558594,180.0,0.202490234375,-3.2929487228393555,0.0003,42.766634178161624,0.013572654,0.0,21.966960906982422,-0.016117099921393672,760,0.2,,,,,
157696,61.705291748046875,180.0,,,,,,,,,,,,,,,
158720,63.81098175048828,180.0,0.157177734375,-3.1971423916518686,0.0003,44.62465136647224,0.016984703,5.960464477539063e-08,22.443599700927734,-0.013204280615900644,770,0.2,,,,,
159744,60.52385330200195,180.0,,,,,,,,,,,,,,,
160768,59.946746826171875,180.0,0.19794921875,-3.2763775274157525,0.0003,46.43806939721107,0.016973237,0.0,26.625579833984375,-0.01672901007841574,780,0.2,,,,,
161792,58.461387634277344,180.0,,,,,,,,,,,,,,,
162816,63.43068313598633,180.0,0.203857421875,-3.3533008322119713,0.0003,42.58558592796326,0.014689009,0.0,20.490924835205078,-0.017929283951525578,790,0.2,,,,,
163840,59.73303985595703,180.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,180.0,148,80,60.14805764,1101
164864,61.028236389160156,180.0,0.19072265625,-3.3802551232278346,0.0003,46.248515689373015,0.0141214095,0.0,23.809490203857422,-0.014379281432775315,800,0.2,,,,,
165888,59.311058044433594,180.0,,,,,,,,,,,,,,,
166912,63.46342468261719,180.0,0.1544921875,-3.408066201210022,0.0003,44.48550474047661,0.0133551,-1.1920928955078125e-07,28.084753036499023,-0.011943403710029088,810,0.2,,,,,
167936,59.79206085205078,180.0,,,,,,,,,,,,,,,
168960,64.11305236816406,180.0,0.1779296875,-3.454577562958002,0.0003,47.833629393577574,0.015547952,-1.1920928955078125e-07,14.977814674377441,-0.014529749999201157,820,0.2,,,,,
169984,64.95282745361328,180.0,,,,,,,,,,,,,,,
171008,64.78229522705078,180.0,0.229052734375,-3.497372464090586,0.0003,50.67490704655647,0.016796025,5.960464477539063e-08,16.211729049682617,-0.01723327557410812,830,0.2,,,,,
172032,61.532928466796875,180.0,,,,,,,,,,,,,,,
173056,62.221595764160156,180.0,0.16923828125,-3.4409900903701782,0.0003,51.7951631128788,0.016073823,0.0,34.71030044555664,-0.012067956275132019,840,0.2,,,,,
174080,66.46470642089844,180.0,,,,,,,,,,,,,,,
175104,64.56917572021484,180.0,0.19130859375,-3.4546046629548073,0.0003,47.78599402308464,0.01743595,0.0,20.650009155273438,-0.014665952399082017,850,0.2,,,,,
176128,63.647003173828125,180.0,,,,,,,,,,,,,,,
177152,67.84521484375,180.0,0.152099609375,-3.433959361165762,0.0003,41.758521270751956,0.015935075,0.0,12.076016426086426,-0.012499298549664672,860,0.2,,,,,
178176,65.32012939453125,180.0,,,,,,,,,,,,,,,
179200,63.96026611328125,180.0,0.21064453125,-3.474709516018629,0.0003,46.69106352031231,0.013902677,-1.1920928955078125e-07,20.65401268005371,-0.016738150066521483,870,0.2,,,,,
180224,62.75697708129883,180.0,,,,,,,,,,,,,,,
181248,67.11512756347656,180.0,0.19423828125,-3.4544863924384117,0.0003,50.379320085048676,0.015358239,5.960464477539063e-08,23.2772274017334,-0.018425868461781646,880,0.2,,,,,
182272,67.14871215820312,180.0,,,,,,,,,,,,,,,
183296,68.34339904785156,180.0,0.207666015625,-3.4381728202104567,0.0003,47.21969349980354,0.015727874,-1.1920928955078125e-07,31.045207977294922,-0.01530637554678833,890,0.2,,,,,
184320,69.15670776367188,180.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,180.0,150,90,64.84851420999999,1225
185344,66.892578125,180.0,0.22109375,-3.3746612213551996,0.0003,39.25301907658577,0.016918568,0.0,30.628307342529297,-0.01573255722905742,900,0.2,,,,,
186368,71.83372497558594,180.0,,,,,,,,,,,,,,,
187392,69.52735137939453,180.0,0.16357421875,-3.3482822708785536,0.0003,46.797996771335605,0.017890763,0.0,29.279253005981445,-0.0139398247396457,910,0.2,,,,,
188416,66.59062194824219,180.0,,,,,,,,,,,,,,,
189440,69.11723327636719,180.0,0.167236328125,-3.3419722959399225,0.0003,44.65039164423943,0.013204178,0.0,18.278701782226562,-0.012655167499906384,920,0.2,,,,,
190464,69.22659301757812,180.0,,,,,,,,,,,,,,,
191488,72.73892211914062,180.0,0.165283203125,-3.3443498864769934,0.0003,53.654312974214555,0.015487408,0.0,34.66704177856445,-0.015224702020350377,930,0.2,,,,,
192512,69.61105346679688,180.0,,,,,,,,,,,,,,,
193536,76.29460144042969,180.0,0.198095703125,-3.365200471878052,0.0003,44.932976841926575,0.016959032,0.0,17.20808982849121,-0.015434178117720876,940,0.2,,,,,
194560,68.6456298828125,180.0,,,,,,,,,,,,,,,
195584,70.95811462402344,180.0,0.21376953125,-3.408834780007601,0.0003,53.69521490931511,0.018170107,0.0,24.819293975830078,-0.018317974956153192,950,0.2,,,,,
196608,70.39334106445312,180.0,,,,,,,,,,,,,,,
197632,72.612548828125,180.0,0.178271484375,-3.39454982355237,0.0003,54.04199934005737,0.014713987,0.0,30.783021926879883,-0.014980322573683225,960,0.2,,,,,
198656,69.03820037841797,180.0,,,,,,,,,,,,,,,
199680,75.70816040039062,180.0,0.219677734375,-3.3426559984683992,0.0003,47.32874637246132,0.014097466,0.0,16.55031967163086,-0.01886826282425318,970,0.2,,,,,
200704,73.75497436523438,180.0,,,,,,,,,,,,,,,
201728,71.23936462402344,180.0,0.190283203125,-3.3959693148732186,0.0003,46.07923235297203,0.0162413,0.0,19.07276725769043,-0.014339712273795158,980,0.2,,,,,
202752,70.65507507324219,180.0,,,,,,,,,,,,,,,
203776,69.86742401123047,180.0,0.188623046875,-3.36569457501173,0.0003,45.24508952498436,0.015697757,-1.1920928955078125e-07,22.6898193359375,-0.015277413677540607,990,0.2,,,,,
204800,71.90913391113281,180.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,180.0,149,100,70.54882761,1367
205824,68.66065979003906,180.0,0.15205078125,-3.3883029989898206,0.0003,47.4325768172741,0.014256316,5.960464477539063e-08,20.040164947509766,-0.010309596336446703,1000,0.2,,,,,
206848,74.37626647949219,180.0,,,,,,,,,,,,,,,
207872,74.94561767578125,180.0,0.180029296875,-3.369089464843273,0.0003,51.206912249326706,0.017332738,0.0,21.255416870117188,-0.014491253612504806,1010,0.2,,,,,
208896,72.21430969238281,180.0,,,,,,,,,,,,,,,
209920,68.29597473144531,180.0,0.189404296875,-3.382574451714754,0.0003,46.90675735473633,0.017650679,0.0,19.289077758789062,-0.013819616628461517,1020,0.2,,,,,
210944,73.16934204101562,180.0,,,,,,,,,,,,,,,
211968,74.42688751220703,180.0,0.21376953125,-3.3382650665938853,0.0003,46.555118596553804,0.016976658,0.0,14.575278282165527,-0.01779837925787433,1030,0.2,,,,,
212992,73.57106018066406,180.0,,,,,,,,,,,,,,,
214016,70.76071166992188,180.0,0.1533203125,-3.3185793600976465,0.0003,47.068582743406296,0.011996073,0.0,20.880779266357422,-0.011737448318308452,1040,0.2,,,,,
215040,72.86285400390625,180.0,,,,,,,,,,,,,,,
216064,72.53411865234375,180.0,0.173388671875,-3.3430181354284287,0.0003,46.410609781742096,0.016181294,0.0,19.222387313842773,-0.013672283313644585,1050,0.2,,,,,
217088,74.01388549804688,180.0,,,,,,,,,,,,,,,
218112,74.14584350585938,180.0,0.193115234375,-3.3691914111375807,0.0003,51.66804377436638,0.01370719,1.1920928955078125e-07,26.418174743652344,-0.015068546349357347,1060,0.2,,,,,
219136,71.87675476074219,180.0,,,,,,,,,,,,,,,
220160,68.24517822265625,180.0,0.14833984375,-3.3734133362770082,0.0003,47.240082854032515,0.013559315,0.0,30.730520248413086,-0.010448581763921539,1070,0.2,,,,,
221184,72.61567687988281,180.0,,,,,,,,,,,,,,,
222208,73.81239318847656,180.0,0.17919921875,-3.436542195826769,0.0003,46.28680191040039,0.015122861,5.960464477539063e-08,32.64937973022461,-0.013342532348178792,1080,0.2,,,,,
223232,70.0693359375,180.0,,,,,,,,,,,,,,,
224256,71.14497375488281,180.0,0.185009765625,-3.405077528208494,0.0003,55.45156244039536,0.014784296,0.0,21.809995651245117,-0.015396571898600086,1090,0.2,,,,,
225280,75.18000793457031,180.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,180.0,149,110,72.87538338,1508
226304,72.24913024902344,180.0,0.204296875,-3.4582829907536508,0.0003,49.77437756061554,0.015799506,5.960464477539063e-08,17.39927864074707,-0.014469492833450203,1100,0.2,,,,,
227328,71.6622543334961,180.0,,,,,,,,,,,,,,,
228352,71.98471069335938,180.0,0.1611328125,-3.4769616216421126,0.0003,54.36617551445961,0.014109472,5.960464477539063e-08,25.63547706604004,-0.011272091668797658,1110,0.2,,,,,
229376,70.87507629394531,180.0,,,,,,,,,,,,,,,
230400,70.24064636230469,180.0,0.178271484375,-3.5233846828341484,0.0003,57.18347254395485,0.017395519,-1.1920928955078125e-07,34.87180709838867,-0.012247182098508346,1120,0.2,,,,,
231424,72.6002426147461,180.0,,,,,,,,,,,,,,,
