eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/entropy_loss,train/clip_range,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
40.0,52.74237823486328,185344,17.47641372680664,0.00491933,-0.014820196875371039,3e-05,900,5.960464477539063e-08,0.013916015625,26.20361624062061,-4.700465384125709,0.2,,,,,
40.0,52.11920928955078,186368,,,,,,,,,,,,,,,
40.0,50.199462890625,187392,12.789727210998535,0.0054075485,-0.014812319690099685,3e-05,910,0.0,0.014453125,24.906536173820495,-4.678407371044159,0.2,,,,,
40.0,51.615760803222656,188416,,,,,,,,,,,,,,,
40.0,56.0084228515625,189440,17.36579132080078,0.0062485957,-0.014699250565900001,3e-05,920,0.0,0.010791015625,25.2390248298645,-4.639142207801342,0.2,,,,,
40.0,55.76604461669922,190464,,,,,,,,,,,,,,,
40.0,57.60326385498047,191488,18.942737579345703,0.007481827,-0.016530574698845158,3e-05,930,0.0,0.01611328125,26.765189108252525,-4.627077791839838,0.2,,,,,
40.0,51.68326187133789,192512,,,,,,,,,,,,,,,
40.0,51.578948974609375,193536,24.019323348999023,0.0044658175,-0.014899165616770915,3e-05,940,-1.1920928955078125e-07,0.01953125,30.762099950015546,-4.63200995773077,0.2,,,,,
40.0,51.055572509765625,194560,,,,,,,,,,,,,,,
40.0,56.34483337402344,195584,21.734451293945312,0.0047182236,-0.01402295640691591,3e-05,950,0.0,0.0134765625,29.57230595946312,-4.607077404856682,0.2,,,,,
40.0,57.74326705932617,196608,,,,,,,,,,,,,,,
40.0,49.06633758544922,197632,18.612302780151367,0.005845288,-0.013599703106228845,3e-05,960,0.0,0.016455078125,29.546782906353474,-4.5801172882318495,0.2,,,,,
40.0,51.870059967041016,198656,,,,,,,,,,,,,,,
40.0,53.62720489501953,199680,18.98113441467285,0.0067037633,-0.01540050338699075,3e-05,970,0.0,0.014208984375,27.640775467455388,-4.5508229121565815,0.2,,,,,
40.0,55.528804779052734,200704,,,,,,,,,,,,,,,
40.0,52.7873649597168,201728,16.26434326171875,0.004332177,-0.011554248237371213,3e-05,980,0.0,0.00693359375,25.77763759046793,-4.533262623846531,0.2,,,,,
40.0,51.703590393066406,202752,,,,,,,,,,,,,,,
40.0,54.02794647216797,203776,21.244152069091797,0.005309794,-0.013630384218049584,3e-05,990,0.0,0.008544921875,28.96285523325205,-4.5156322687864305,0.2,,,,,
40.0,51.802955627441406,204800,,,,,,,,,,,,,,,
,,204800,,,,,,,,,,,100,443,40.0,461,55.00518109999999
40.0,57.91814041137695,205824,10.073680877685547,0.005259953,-0.013919008533412125,3e-05,1000,0.0,0.018017578125,23.1791963994503,-4.4958951532840725,0.2,,,,,
40.0,51.008670806884766,206848,,,,,,,,,,,,,,,
40.0,55.47315216064453,207872,15.500749588012695,0.0066653374,-0.01542633761127945,3e-05,1010,0.0,0.023681640625,25.984797419607638,-4.5014430463314055,0.2,,,,,
40.0,58.35194396972656,208896,,,,,,,,,,,,,,,
40.0,58.467079162597656,209920,17.94207000732422,0.006229352,-0.015889989079369116,3e-05,1020,0.0,0.019482421875,26.217940908670425,-4.502095295488834,0.2,,,,,
40.0,54.180076599121094,210944,,,,,,,,,,,,,,,
40.0,52.28631591796875,211968,18.875186920166016,0.0060633137,-0.013597804727760376,3e-05,1030,0.0,0.019091796875,24.71337111890316,-4.488075692206621,0.2,,,,,
40.0,56.963623046875,212992,,,,,,,,,,,,,,,
40.0,55.3231201171875,214016,16.294675827026367,0.0051403437,-0.013132960392977112,3e-05,1040,0.0,0.013671875,26.799718549847604,-4.473544213175773,0.2,,,,,
40.0,59.852294921875,215040,,,,,,,,,,,,,,,
40.0,57.466697692871094,216064,18.451995849609375,0.0050290646,-0.012602255221281666,3e-05,1050,0.0,0.0125,27.16583003848791,-4.455639880150557,0.2,,,,,
40.0,57.03369903564453,217088,,,,,,,,,,,,,,,
40.0,56.02994155883789,218112,18.446563720703125,0.005566776,-0.013797977318608901,3e-05,1060,0.0,0.016259765625,25.892551432549954,-4.418377274274826,0.2,,,,,
40.0,55.39848709106445,219136,,,,,,,,,,,,,,,
40.0,58.755958557128906,220160,14.358016014099121,0.0053065745,-0.011568595222342992,3e-05,1070,0.0,0.007763671875,22.757315531373024,-4.406638376414776,0.2,,,,,
40.0,57.111053466796875,221184,,,,,,,,,,,,,,,
40.0,57.37384796142578,222208,8.483607292175293,0.0051543526,-0.013419082503969549,3e-05,1080,0.0,0.01533203125,25.254761220514773,-4.4016796231269835,0.2,,,,,
40.0,61.57784652709961,223232,,,,,,,,,,,,,,,
40.0,58.69483947753906,224256,23.60282325744629,0.005504016,-0.014002116627671058,3e-05,1090,0.0,0.017529296875,26.187019826471804,-4.381935787200928,0.2,,,,,
