time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
125952,51.212398529052734,180.0,49.801027697324756,0.0003,-3.661226051300764,-0.01814152986917179,5.960464477539063e-08,20.991296768188477,610,0.2,0.185498046875,0.015136074,,,,,
126976,50.19586944580078,180.0,,,,,,,,,,,,,,,
128000,51.22763442993164,180.0,51.79670434594154,0.0003,-3.5656665951013564,-0.0231623828120064,5.960464477539063e-08,36.701866149902344,620,0.2,0.240966796875,0.017764896,,,,,
129024,56.50895690917969,180.0,,,,,,,,,,,,,,,
130048,52.899322509765625,180.0,47.39397506117821,0.0003,-3.5641914561390875,-0.016880450033931994,-1.2159347534179688e-05,28.408214569091797,630,0.2,0.19736328125,0.012305278,,,,,
131072,56.87639236450195,180.0,,,,,,,,,,,,,,,
132096,57.0732421875,180.0,52.79775660634041,0.0003,-3.5090626545250414,-0.017843003720190608,0.0,16.22162628173828,640,0.2,0.198291015625,0.016373014,,,,,
133120,52.16028594970703,180.0,,,,,,,,,,,,,,,
134144,55.0379638671875,180.0,49.36169203519821,0.0003,-3.4355494432151317,-0.016657534026307985,0.0,19.9932861328125,650,0.2,0.195654296875,0.014217578,,,,,
135168,55.345741271972656,180.0,,,,,,,,,,,,,,,
136192,57.138694763183594,180.0,36.41880019307136,0.0003,-3.498461600393057,-0.018438891069672537,0.0,15.57474422454834,660,0.2,0.21572265625,0.015972339,,,,,
137216,56.196876525878906,180.0,,,,,,,,,,,,,,,
138240,56.149078369140625,180.0,46.087942892313,0.0003,-3.5348661333322524,-0.018565597740234807,0.0,22.762924194335938,670,0.2,0.2037109375,0.017528057,,,,,
139264,55.269134521484375,180.0,,,,,,,,,,,,,,,
140288,56.722694396972656,180.0,47.375137615203855,0.0003,-3.5944298639893533,-0.01848795284022344,0.0,25.61339569091797,680,0.2,0.23076171875,0.019668724,,,,,
141312,62.39495849609375,180.0,,,,,,,,,,,,,,,
142336,55.679710388183594,180.0,49.28163779973984,0.0003,-3.5524666748940943,-0.015103008640289772,0.0,25.821123123168945,690,0.2,0.169873046875,0.014129084,,,,,
143360,58.33726501464844,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,316,70,452,180.0,54.83846907
144384,59.284034729003906,180.0,46.52705385684967,0.0003,-3.558445157110691,-0.02107051001949003,0.0,13.747835159301758,700,0.2,0.222802734375,0.014666753,,,,,
145408,63.35403060913086,180.0,,,,,,,,,,,,,,,
146432,64.11402130126953,180.0,56.89355340003967,0.0003,-3.55685895010829,-0.01328968921880005,1.1920928955078125e-07,27.515342712402344,710,0.2,0.174951171875,0.013366088,,,,,
147456,61.119354248046875,180.0,,,,,,,,,,,,,,,
148480,64.19635772705078,180.0,49.72396115660668,0.0003,-3.5568086192011834,-0.01408764697262086,-7.152557373046875e-07,30.281536102294922,720,0.2,0.201904296875,0.018182263,,,,,
149504,60.20960235595703,180.0,,,,,,,,,,,,,,,
150528,64.17658233642578,180.0,53.252528357505795,0.0003,-3.499868166446686,-0.015185456909239291,0.0,42.619537353515625,730,0.2,0.17666015625,0.014055977,,,,,
151552,62.845542907714844,180.0,,,,,,,,,,,,,,,
152576,65.53269958496094,180.0,49.08720507919789,0.0003,-3.52579767331481,-0.01596547832887154,5.960464477539063e-08,28.202085494995117,740,0.2,0.193603515625,0.01527953,,,,,
153600,63.509037017822266,180.0,,,,,,,,,,,,,,,
154624,60.19419860839844,180.0,52.49029988050461,0.0003,-3.5159272760152818,-0.014619738477631473,0.0,11.47146224975586,750,0.2,0.187060546875,0.017993985,,,,,
155648,62.39764404296875,180.0,,,,,,,,,,,,,,,
156672,57.2474250793457,180.0,45.7036148250103,0.0003,-3.522710584104061,-0.01403804850851884,0.0,27.139863967895508,760,0.2,0.179345703125,0.015034322,,,,,
157696,56.759033203125,180.0,,,,,,,,,,,,,,,
158720,62.96240234375,180.0,44.6440071940422,0.0003,-3.507886466383934,-0.019043998279084918,0.0,29.41741180419922,770,0.2,0.21044921875,0.019105641,,,,,
159744,62.176536560058594,180.0,,,,,,,,,,,,,,,
160768,60.70148468017578,180.0,44.95422734022141,0.0003,-3.502353732287884,-0.01784044756059302,0.0,28.581689834594727,780,0.2,0.22568359375,0.018218093,,,,,
161792,58.38544464111328,180.0,,,,,,,,,,,,,,,
162816,56.683353424072266,180.0,45.85807544589043,0.0003,-3.5055962935090066,-0.013108840868517291,0.0,33.489959716796875,790,0.2,0.147998046875,0.014595149,,,,,
163840,60.76720428466797,180.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,316,80,517,180.0,61.03826178000001
164864,62.58102035522461,180.0,44.798643386363985,0.0003,-3.4914162412285803,-0.01961167235422181,0.0,20.81818389892578,800,0.2,0.21611328125,0.017007686,,,,,
165888,61.92132568359375,180.0,,,,,,,,,,,,,,,
166912,59.47281265258789,180.0,54.37752619981766,0.0003,-3.482799196243286,-0.015154102744418196,-8.344650268554688e-07,27.997703552246094,810,0.2,0.173583984375,0.0152811855,,,,,
167936,60.1944694519043,180.0,,,,,,,,,,,,,,,
168960,66.02055358886719,180.0,41.89138351678848,0.0003,-3.425097459554672,-0.015094612115353812,0.0,16.01532554626465,820,0.2,0.20595703125,0.015568063,,,,,
169984,65.90879821777344,180.0,,,,,,,,,,,,,,,
171008,62.62743377685547,180.0,54.151952517032626,0.0003,-3.398377661406994,-0.01589867621223675,0.0,28.924293518066406,830,0.2,0.19345703125,0.015659038,,,,,
172032,63.632347106933594,180.0,,,,,,,,,,,,,,,
173056,63.90338897705078,180.0,44.625494349002835,0.0003,-3.4544747546315193,-0.013372827303828671,0.0,34.134788513183594,840,0.2,0.166845703125,0.0151559785,,,,,
174080,63.475379943847656,180.0,,,,,,,,,,,,,,,
175104,63.423370361328125,180.0,43.162866067886355,0.0003,-3.4095743127167224,-0.01353494889626745,-1.1920928955078125e-07,26.61897087097168,850,0.2,0.166162109375,0.011605922,,,,,
176128,64.89166259765625,180.0,,,,,,,,,,,,,,,
177152,69.09837341308594,180.0,48.87518335580826,0.0003,-3.431995529681444,-0.016002489360107574,-1.1920928955078125e-07,21.43569564819336,860,0.2,0.19326171875,0.017654538,,,,,
178176,65.19517517089844,180.0,,,,,,,,,,,,,,,
179200,68.15971374511719,180.0,47.79844269156456,0.0003,-3.4760778710246085,-0.013417187989398371,0.0,40.283321380615234,870,0.2,0.17294921875,0.015757848,,,,,
180224,64.803955078125,180.0,,,,,,,,,,,,,,,
181248,64.61808013916016,180.0,54.92593203186989,0.0003,-3.520471217483282,-0.015530827188922559,0.0,21.074623107910156,880,0.2,0.197314453125,0.014243708,,,,,
182272,67.49475860595703,180.0,,,,,,,,,,,,,,,
183296,66.34183502197266,180.0,53.24050974845886,0.0003,-3.5376440778374674,-0.015249433829740155,0.0,32.90715789794922,890,0.2,0.20546875,0.015755925,,,,,
