time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
231424,30.521800994873047,80.0,3e-05,-0.011170930559273984,34.30684789866209,0.164990234375,29.340444564819336,0.1,0.0,0.0035308427,560,-5.5958182867616415,,,,,
233472,30.966400146484375,80.0,,,,,,,,,,,,,,,
235520,35.803924560546875,80.0,3e-05,-0.009747728971160542,32.84053371250629,0.1329833984375,25.24962615966797,0.1,0.0,0.0031153504,570,-5.585420550778508,,,,,
237568,31.98576545715332,80.0,,,,,,,,,,,,,,,
239616,33.45355224609375,80.0,3e-05,-0.012026333287121816,36.14143361002207,0.16455078125,32.28842544555664,0.1,2.384185791015625e-07,0.003381614,580,-5.576223663240671,,,,,
241664,35.78097915649414,80.0,,,,,,,,,,,,,,,
243712,31.912513732910156,80.0,3e-05,-0.011621062443737173,35.973536991328004,0.1696533203125,22.09148406982422,0.1,0.0,0.0036162732,590,-5.577232935279608,,,,,
245760,31.854389190673828,80.0,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,32.19237217,80.0,249,985,60
247808,28.571205139160156,80.0,3e-05,-0.010745063222202589,35.21445512622595,0.1519775390625,24.738401412963867,0.1,0.0,0.0032710056,600,-5.574991509318352,,,,,
249856,31.461450576782227,80.0,,,,,,,,,,,,,,,
251904,27.988555908203125,80.0,3e-05,-0.011793865242725587,34.850936885178086,0.1633056640625,23.087852478027344,0.1,0.0,0.003626267,610,-5.562930155545473,,,,,
253952,31.861522674560547,80.0,,,,,,,,,,,,,,,
256000,31.583608627319336,80.0,3e-05,-0.011243917836554828,32.3026429079473,0.149853515625,13.38796615600586,0.1,0.0,0.0033009895,620,-5.552831084281206,,,,,
258048,35.64207458496094,80.0,,,,,,,,,,,,,,,
260096,31.157846450805664,80.0,3e-05,-0.011638085910817608,32.326606838405134,0.17412109375,24.763813018798828,0.1,0.0,0.0036151458,630,-5.546163257211447,,,,,
262144,34.39659118652344,80.0,,,,,,,,,,,,,,,
264192,34.128849029541016,80.0,3e-05,-0.012788519433524926,33.14774175062776,0.17294921875,21.155088424682617,0.1,0.0,0.00346029,640,-5.542861941829324,,,,,
266240,30.236103057861328,80.0,,,,,,,,,,,,,,,
268288,31.06892967224121,80.0,3e-05,-0.010099372804688755,32.96375775262713,0.1435302734375,20.177255630493164,0.1,0.0,0.0031685284,650,-5.539538130536675,,,,,
270336,32.78041458129883,80.0,,,,,,,,,,,,,,,
272384,34.5815315246582,80.0,3e-05,-0.011420096174879291,37.715978211164476,0.1635986328125,20.68834114074707,0.1,0.0,0.0034468235,660,-5.5383338708430525,,,,,
274432,32.99578857421875,80.0,,,,,,,,,,,,,,,
276480,32.925045013427734,80.0,3e-05,-0.012105418092687614,35.54948656260967,0.1710205078125,19.96011734008789,0.1,0.0,0.0035328767,670,-5.528374014794826,,,,,
278528,37.3589973449707,80.0,,,,,,,,,,,,,,,
280576,31.88870620727539,80.0,3e-05,-0.011820607297158859,33.69609981700778,0.1656005859375,26.269752502441406,0.1,0.0,0.003577885,680,-5.520362627878785,,,,,
282624,29.792640686035156,80.0,,,,,,,,,,,,,,,
284672,28.111080169677734,80.0,3e-05,-0.012617040139048186,35.156268681585786,0.18984375,24.051698684692383,0.1,0.0,0.0036786825,690,-5.502204417437315,,,,,
286720,36.14381408691406,80.0,,,,,,,,,,,,,,,
286720,,,,,,,,,,,,,33.45936214999999,80.0,265,1079,70
288768,31.236507415771484,80.0,3e-05,-0.011442750836977211,35.54854400679469,0.151904296875,25.80777931213379,0.1,0.0,0.0033648063,700,-5.488502764329314,,,,,
290816,34.46183776855469,80.0,,,,,,,,,,,,,,,
292864,33.49479675292969,80.0,3e-05,-0.011291730152879608,35.90814368873835,0.1635986328125,38.95479965209961,0.1,0.0,0.0033539797,710,-5.481504295766354,,,,,
294912,31.44392204284668,80.0,,,,,,,,,,,,,,,
296960,31.673118591308594,80.0,3e-05,-0.009720659568120026,35.36771428734064,0.1486328125,21.11836814880371,0.1,0.0,0.0032496816,720,-5.476577880233526,,,,,
299008,32.67436218261719,80.0,,,,,,,,,,,,,,,
301056,36.134944915771484,80.0,3e-05,-0.011232847017527092,33.0771213978529,0.164794921875,29.513935089111328,0.1,0.0,0.0034056832,730,-5.461963244155049,,,,,
303104,32.43586730957031,80.0,,,,,,,,,,,,,,,
305152,33.79685974121094,80.0,3e-05,-0.012192167520697694,35.08474634811282,0.1720947265625,16.836660385131836,0.1,0.0,0.0034760474,740,-5.439171402156353,,,,,
307200,33.906700134277344,80.0,,,,,,,,,,,,,,,
309248,37.134010314941406,80.0,3e-05,-0.012571271086744672,33.04579892531037,0.175244140625,23.707494735717773,0.1,0.0,0.0038462477,750,-5.4227734811604025,,,,,
311296,39.48000717163086,80.0,,,,,,,,,,,,,,,
313344,36.14073181152344,80.0,3e-05,-0.010206084631136036,37.201239173859356,0.1460693359375,24.542997360229492,0.1,0.0,0.0033414662,760,-5.399363831430674,,,,,
315392,34.61316680908203,80.0,,,,,,,,,,,,,,,
317440,32.65220642089844,80.0,3e-05,-0.010748047895685887,31.226255452632905,0.1570556640625,22.927677154541016,0.1,0.0,0.0033840975,770,-5.378511716797948,,,,,
319488,35.388145446777344,80.0,,,,,,,,,,,,,,,
321536,36.505287170410156,80.0,3e-05,-0.011860744972727844,32.43072038665414,0.1669677734375,27.2900447845459,0.1,0.0,0.0037071314,780,-5.374008105322718,,,,,
323584,34.89092254638672,80.0,,,,,,,,,,,,,,,
325632,37.24201965332031,80.0,3e-05,-0.010462900637685379,35.154701355099675,0.1470947265625,17.715930938720703,0.1,0.0,0.003501476,790,-5.375460848584771,,,,,
327680,32.251895904541016,80.0,,,,,,,,,,,,,,,
327680,,,,,,,,,,,,,35.43268041,80.0,273,1197,80
