eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean
40.0,76.63965606689453,1261568,,,,,,,,,,,,,,,
40.0,69.3544921875,1262592,0.0,16131.6015625,-4.084420557320118,0.289111328125,0.2,0.009380127491021994,0.0003,32886.04871826172,6160,0.024395011,,,,,
40.0,68.37418365478516,1263616,,,,,,,,,,,,,,,
40.0,67.32640075683594,1264640,-1.1920928955078125e-07,15549.9091796875,-4.06480762064457,0.225146484375,0.2,0.013315483767655678,0.0003,31529.55990600586,6170,0.020110153,,,,,
40.0,67.88009643554688,1265664,,,,,,,,,,,,,,,
40.0,69.06668090820312,1266688,1.1920928955078125e-07,16937.734375,-4.076645532250405,0.27158203125,0.2,0.010115572027279996,0.0003,33202.074383544925,6180,0.02413582,,,,,
40.0,69.81166076660156,1267712,,,,,,,,,,,,,,,
40.0,73.4555435180664,1268736,-1.1920928955078125e-07,14906.802734375,-4.071081562340259,0.344189453125,0.2,0.009450514874333748,0.0003,29880.564233398436,6190,0.028120462,,,,,
40.0,74.28419494628906,1269760,,,,,,,,,,,,,,,
,,1269760,,,,,,,,,,,1747.8689723500001,475,620,2668,40.0
40.0,72.34182739257812,1270784,0.0,17195.681640625,-4.083456514775753,0.278173828125,0.2,0.010502788322628475,0.0003,31348.551989746094,6200,0.024812475,,,,,
40.0,69.78871154785156,1271808,,,,,,,,,,,,,,,
40.0,71.18218994140625,1272832,0.0,11520.7734375,-4.090277001261711,0.287646484375,0.2,0.020270523584622425,0.0003,28109.635827636717,6210,0.025472928,,,,,
40.0,68.75318908691406,1273856,,,,,,,,,,,,,,,
40.0,69.04608154296875,1274880,0.0,16448.33984375,-4.085069234669208,0.339208984375,0.2,0.014115797163685783,0.0003,31858.983001708984,6220,0.02972693,,,,,
40.0,68.89100646972656,1275904,,,,,,,,,,,,,,,
40.0,70.09111022949219,1276928,-1.1920928955078125e-07,13552.0859375,-4.088015814125538,0.29853515625,0.2,0.008324985571380238,0.0003,27976.231408691405,6230,0.025083035,,,,,
40.0,68.55664825439453,1277952,,,,,,,,,,,,,,,
