time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean
177152,27.0,34.76310729980469,-0.0518291407963261,45884.50474853515,-5.613294281065464,0.0003,24299.919921875,0.2,0.0,0.302734375,0.03202258,860,,,,,
178176,27.0,41.40596008300781,,,,,,,,,,,,,,,
179200,27.0,43.82183074951172,-0.05704573839320801,45427.66072998047,-5.601726531982422,0.0003,21832.291015625,0.2,5.960464477539063e-08,0.29970703125,0.029386275,870,,,,,
180224,27.0,31.69818878173828,,,,,,,,,,,,,,,
181248,27.0,35.91459655761719,-0.05047224535956048,42549.01578369141,-5.5862911850214,0.0003,17445.16796875,0.2,0.0,0.316845703125,0.03240241,880,,,,,
182272,27.0,37.82264709472656,,,,,,,,,,,,,,,
183296,27.0,36.87522888183594,-0.054022938181879,50644.71584472656,-5.5815049588680266,0.0003,28531.982421875,0.2,0.0,0.297998046875,0.03161539,890,,,,,
184320,27.0,37.56312561035156,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,349,649.42763679,90,527,27.0
185344,27.0,39.58463668823242,-0.05719867973239161,42914.799487304685,-5.573772339522838,0.0003,21460.0,0.2,0.0,0.30166015625,0.033159826,900,,,,,
186368,27.0,38.90474319458008,,,,,,,,,,,,,,,
187392,27.0,45.49949645996094,-0.04990070892381482,42303.93493041992,-5.5581089168787,0.0003,20616.556640625,0.2,0.0,0.289013671875,0.02867089,910,,,,,
188416,27.0,37.620540618896484,,,,,,,,,,,,,,,
189440,27.0,32.61843490600586,-0.04551675183174666,34736.59521484375,-5.543724955618382,0.0003,19541.080078125,0.2,-1.1920928955078125e-07,0.330322265625,0.034253642,920,,,,,
190464,27.0,33.39930725097656,,,,,,,,,,,,,,,
191488,27.0,37.20542907714844,-0.05545548616792075,41089.2919921875,-5.535687540471554,0.0003,19305.64453125,0.2,0.0,0.2912109375,0.028965537,930,,,,,
192512,27.0,38.40317153930664,,,,,,,,,,,,,,,
