time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/loss,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed
79872,180.0,73.37174224853516,,,,,,,,,,,,,,,
80896,180.0,69.51522827148438,0.0014082054083701223,-1.449757573567331,0.365282,0.5737078189849854,390,0.56357421875,0.003,6.226824838388711,0.2,1.8639329671859741,,,,,
81920,180.0,68.458984375,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,65.60437314999999,40,180.0,270,303
82944,180.0,71.39445495605469,-0.026235368063134958,-1.4899345919489861,0.3449551,0.4115932583808899,400,0.636767578125,0.003,4.360428034234792,0.2,1.059227466583252,,,,,
83968,180.0,73.42375183105469,,,,,,,,,,,,,,,
84992,180.0,63.32022476196289,-0.028808042695891344,-1.4738755693659187,0.1979762,0.2857035994529724,410,0.646826171875,0.003,6.609458214975893,0.2,7.670225620269775,,,,,
86016,180.0,67.00833129882812,,,,,,,,,,,,,,,
87040,180.0,72.17906188964844,-0.02123108291416429,-1.5322082981467247,0.37797245,0.46992456912994385,420,0.666943359375,0.003,3.851253702444956,0.2,2.627551317214966,,,,,
88064,180.0,65.87017822265625,,,,,,,,,,,,,,,
89088,180.0,72.92237854003906,-0.01915651240342413,-1.445580248720944,0.2034222,0.3894977569580078,430,0.57001953125,0.003,8.792362642195076,0.2,8.62542724609375,,,,,
90112,180.0,70.3203125,,,,,,,,,,,,,,,
91136,180.0,65.41267395019531,0.013990341706085018,-1.4798171317204833,0.39618075,0.6376489996910095,440,0.6177734375,0.003,3.792214906029403,0.2,2.3842575550079346,,,,,
92160,180.0,68.78226470947266,,,,,,,,,,,,,,,
93184,180.0,64.34590148925781,-0.01693378643321921,-1.4293725915253161,0.5096195,0.5249624848365784,450,0.60341796875,0.003,5.258061494585126,0.2,3.358541488647461,,,,,
94208,180.0,68.52003479003906,,,,,,,,,,,,,,,
95232,180.0,67.82133483886719,-0.023863183233697783,-1.5232098827138543,0.1751867,0.516816258430481,460,0.561279296875,0.003,5.678508045244962,0.2,4.646685600280762,,,,,
96256,180.0,70.4742202758789,,,,,,,,,,,,,,,
97280,180.0,72.80313110351562,-0.018559129568893697,-1.3065450135618448,0.27402854,0.43159639835357666,470,0.646630859375,0.003,3.601350171165541,0.2,2.017566204071045,,,,,
98304,180.0,71.62631225585938,,,,,,,,,,,,,,,
99328,180.0,67.01133728027344,-0.012458172854894655,-1.5360518749803305,0.23065922,0.6771732866764069,480,0.637744140625,0.003,4.873891120404005,0.2,3.2264935970306396,,,,,
100352,180.0,62.7755126953125,,,,,,,,,,,,,,,
101376,180.0,67.83955383300781,-0.016447787347715348,-1.4468866243958474,0.4140874,0.5949939489364624,490,0.6234375,0.003,4.066480403207242,0.2,2.63604736328125,,,,,
102400,180.0,67.33575439453125,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,67.85406248999998,50,180.0,270,378
103424,180.0,66.59811401367188,-0.023026104441669304,-1.3902633799239994,0.17302236,0.5803956389427185,500,0.584326171875,0.003,6.19804363315925,0.2,3.5716028213500977,,,,,
104448,180.0,71.02716064453125,,,,,,,,,,,,,,,
105472,180.0,67.84126281738281,0.003987639049591962,-1.332783769350499,0.38479307,0.45287221670150757,510,0.654150390625,0.003,5.778252077288926,0.2,6.53695821762085,,,,,
106496,180.0,73.97828674316406,,,,,,,,,,,,,,,
107520,180.0,75.08172607421875,-0.024418171141587664,-1.4970452139154076,0.17669585,0.4687631130218506,520,0.57001953125,0.003,6.652223524916917,0.2,8.841248512268066,,,,,
108544,180.0,74.93966674804688,,,,,,,,,,,,,,,
109568,180.0,75.77375793457031,-0.009540425588056678,-1.516091261431575,0.27236885,0.5422589182853699,530,0.643701171875,0.003,4.664887254359201,0.2,1.1856003999710083,,,,,
110592,180.0,74.30570220947266,,,,,,,,,,,,,,,
111616,180.0,71.69012451171875,-0.029585147641046205,-1.474084711447358,0.17406887,0.3105906844139099,540,0.57861328125,0.003,8.32672777865082,0.2,4.2271599769592285,,,,,
112640,180.0,74.47348022460938,,,,,,,,,,,,,,,
113664,180.0,70.12095642089844,-0.00544563793882844,-1.454864652827382,0.2604865,0.5295391380786896,550,0.61689453125,0.003,4.291243939474225,0.2,2.6905362606048584,,,,,
114688,180.0,67.47027587890625,,,,,,,,,,,,,,,
115712,180.0,73.41426086425781,-0.012218713693437166,-1.4990349704399706,0.20542148,0.6302136182785034,560,0.63447265625,0.003,3.821226547472179,0.2,2.284036159515381,,,,,
116736,180.0,59.719139099121094,,,,,,,,,,,,,,,
117760,180.0,75.26252746582031,-0.022573394223582,-1.4158315055072308,0.16880912,0.322731077671051,570,0.49912109375,0.003,10.08425488397479,0.2,2.1143314838409424,,,,,
118784,180.0,75.486083984375,,,,,,,,,,,,,,,
119808,180.0,59.031593322753906,-0.005602950831962517,-1.506982977502048,9.949986,0.5090289413928986,580,0.60400390625,0.003,4.1489261345937845,0.2,5.409665107727051,,,,,
120832,180.0,64.82050323486328,,,,,,,,,,,,,,,
121856,180.0,66.32879638671875,-0.03708211918201414,-1.3568175628781318,0.16181336,0.37760043144226074,590,0.56865234375,0.003,8.660109025798738,0.2,4.660931587219238,,,,,
122880,180.0,64.034912109375,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,69.93816576000002,60,180.0,270,454
123904,180.0,71.97697448730469,-0.005193104199133813,-1.155429430026561,0.20011002,0.53269362449646,600,0.522314453125,0.003,5.552259644633159,0.2,8.15015697479248,,,,,
124928,180.0,69.73234558105469,,,,,,,,,,,,,,,
125952,180.0,71.86273193359375,-0.020959503154153937,-1.3983218966051936,0.14688693,0.3955041170120239,610,0.536279296875,0.003,9.361259587155654,0.2,11.9117431640625,,,,,
126976,180.0,74.37551879882812,,,,,,,,,,,,,,,
128000,180.0,69.17005157470703,-0.013583504949929192,-1.3518901236355305,0.18829,0.4724751114845276,620,0.55244140625,0.003,9.261811515502632,0.2,11.083243370056152,,,,,
129024,180.0,68.32144165039062,,,,,,,,,,,,,,,
130048,180.0,72.9043197631836,-0.014341784683347214,-1.3554871816188097,0.4657929,0.35199546813964844,630,0.699365234375,0.003,4.747868672106415,0.2,4.354909420013428,,,,,
131072,180.0,68.19517517089844,,,,,,,,,,,,,,,
132096,180.0,74.63648986816406,-0.017809490771469427,-1.246349661052227,0.15492408,0.2263736128807068,640,0.50634765625,0.003,9.759439687617123,0.2,8.265308380126953,,,,,
133120,180.0,73.05131530761719,,,,,,,,,,,,,,,
134144,180.0,76.09320831298828,-0.022023416212323354,-1.2757390528917312,0.17236558,0.4159981608390808,650,0.51982421875,0.003,6.758431166131049,0.2,4.253354549407959,,,,,
135168,180.0,71.7300033569336,,,,,,,,,,,,,,,
136192,180.0,75.33000183105469,-0.004066541965585202,-1.3968728395178913,0.48736584,0.5160654187202454,660,0.642431640625,0.003,4.356593271251768,0.2,0.37573060393333435,,,,,
137216,180.0,76.20866394042969,,,,,,,,,,,,,,,
138240,180.0,73.64604187011719,-0.014546358399820747,-1.3475156428292394,0.20635521,0.6963135302066803,670,0.540234375,0.003,6.582034275215119,0.2,2.7460930347442627,,,,,
139264,180.0,73.70294189453125,,,,,,,,,,,,,,,
140288,180.0,77.23628234863281,0.021435477037448435,-1.424773358553648,0.32438195,0.7128374576568604,680,0.569775390625,0.003,3.0197118167765438,0.2,0.7418157458305359,,,,,
141312,180.0,75.11231994628906,,,,,,,,,,,,,,,
142336,180.0,77.16239929199219,-0.05785693242942216,-1.1340839758515358,0.10399459,0.33443403244018555,690,0.5271484375,0.003,9.511108832620085,0.2,8.12148666381836,,,,,
143360,180.0,76.10408020019531,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,72.45406665,70,180.0,270,530
144384,180.0,80.02818298339844,-0.012544072633318137,-1.2260928129777313,0.29009247,0.6041750311851501,700,0.594140625,0.003,3.4895783136598766,0.2,2.735945463180542,,,,,
145408,180.0,73.80947875976562,,,,,,,,,,,,,,,
146432,180.0,76.61308288574219,0.00821115304788691,-1.2262545969337224,0.12649724,0.5285265743732452,710,0.441650390625,0.003,8.879971725167707,0.2,1.9993971586227417,,,,,
147456,180.0,74.68868255615234,,,,,,,,,,,,,,,
148480,180.0,77.527587890625,-0.008485224216565257,-1.184080134704709,0.5208386,0.7485854923725128,720,0.6625,0.003,2.1699665074935184,0.2,1.6787934303283691,,,,,
149504,180.0,63.32511520385742,,,,,,,,,,,,,,,
150528,180.0,76.65587615966797,-0.043988710443227316,-1.1091095400042832,0.49230993,0.15667754411697388,730,0.520703125,0.003,8.902736411988736,0.2,5.712517261505127,,,,,
151552,180.0,74.0770263671875,,,,,,,,,,,,,,,
152576,180.0,75.45316314697266,-0.017252221630405982,-1.25337815862149,0.085934386,0.5466605722904205,740,0.409716796875,0.003,12.178916466981173,0.2,10.059720993041992,,,,,
153600,180.0,75.89578247070312,,,,,,,,,,,,,,,
154624,180.0,73.87691497802734,0.0002570197138993535,-1.2148701413534582,0.2545848,0.7320261001586914,750,0.55732421875,0.003,4.247718320321292,0.2,1.3360471725463867,,,,,
155648,180.0,72.34730529785156,,,,,,,,,,,,,,,
156672,180.0,66.59890747070312,-0.034770160881453196,-1.2605241273529828,0.28643298,0.7015245854854584,760,0.604345703125,0.003,4.5002149971667675,0.2,4.68883752822876,,,,,
157696,180.0,67.81805419921875,,,,,,,,,,,,,,,
158720,180.0,74.83556365966797,-0.0027821679119369946,-0.9956381944008171,0.2993694,0.8741316944360733,770,0.545947265625,0.003,1.749602726858575,0.2,0.3530639410018921,,,,,
159744,180.0,75.22142028808594,,,,,,,,,,,,,,,
160768,180.0,74.857421875,-0.008865681353199761,-1.0789967188611627,0.19499564,0.7966424524784088,780,0.506103515625,0.003,4.670813389588147,0.2,5.564526557922363,,,,,
161792,180.0,73.37166595458984,,,,,,,,,,,,,,,
162816,180.0,75.292724609375,-0.004711462390696397,-1.297071608901024,0.19170102,0.83108751475811,790,0.49482421875,0.003,2.272118853824213,0.2,1.0635654926300049,,,,,
163840,180.0,75.48954772949219,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,72.9864965,80,180.0,270,605
164864,180.0,74.6748046875,-0.02067838576622307,-1.1163078306242824,0.32551062,0.8378907442092896,800,0.510986328125,0.003,2.525153541890904,0.2,0.6932311058044434,,,,,
165888,180.0,75.82138061523438,,,,,,,,,,,,,,,
166912,180.0,75.95308685302734,-0.004090764748252695,-0.7489442834164948,0.17471376,0.9311206042766571,810,0.342529296875,0.003,1.6951969027053564,0.2,0.6869592666625977,,,,,
167936,180.0,76.2606430053711,,,,,,,,,,,,,,,
168960,180.0,75.10942077636719,-0.010467304958729074,-1.0340092971920967,0.14380378,0.704651951789856,820,0.35693359375,0.003,6.847208126774058,0.2,2.254964590072632,,,,,
169984,180.0,59.322261810302734,,,,,,,,,,,,,,,
171008,180.0,75.95832824707031,0.0015966152122928179,-0.7226393489632755,0.10884422,0.8471347987651825,830,0.333642578125,0.003,1.8397942829411478,0.2,0.6317532062530518,,,,,
172032,180.0,75.75799560546875,,,,,,,,,,,,,,,
173056,180.0,77.19593811035156,-0.011581838967322256,-1.02361241877079,0.2884105,0.9236940070986748,840,0.472509765625,0.003,2.6348876008531077,0.2,2.5992796421051025,,,,,
174080,180.0,72.95914459228516,,,,,,,,,,,,,,,
175104,180.0,73.71710205078125,-0.023891733422260586,-0.9223455170169472,0.19222587,0.9014206305146217,850,0.44853515625,0.003,2.1796634403057396,0.2,1.7060822248458862,,,,,
176128,180.0,76.20828247070312,,,,,,,,,,,,,,,
177152,180.0,74.84579467773438,-0.05335734412437887,-0.8320675283670426,0.17690589,0.7272338271141052,860,0.4373046875,0.003,3.2924405662342906,0.2,0.29041507840156555,,,,,
178176,180.0,71.86985778808594,,,,,,,,,,,,,,,
179200,180.0,67.74456787109375,-0.028616288210469066,-0.904725443944335,0.16750255,0.5812770128250122,870,0.3376953125,0.003,5.496382694505155,0.2,7.7688188552856445,,,,,
180224,180.0,74.64889526367188,,,,,,,,,,,,,,,
181248,180.0,74.455810546875,0.0019036982477700804,-1.0008249375969172,0.28484893,0.8654293566942215,880,0.493359375,0.003,1.366579985176213,0.2,0.1521349847316742,,,,,
182272,180.0,67.3284912109375,,,,,,,,,,,,,,,
183296,180.0,79.74746704101562,-0.010487481280506472,-0.9789099391549826,0.14087585,0.9290633797645569,890,0.47216796875,0.003,1.1666424067458139,0.2,0.42167121171951294,,,,,
184320,180.0,75.20802307128906,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,74.13446644,90,180.0,270,681
185344,180.0,39.7182731628418,-0.04169710061541991,-0.943676149751991,0.38667563,0.4839160442352295,900,0.29384765625,0.003,9.599138451926411,0.2,2.4018144607543945,,,,,
186368,180.0,45.65901184082031,,,,,,,,,,,,,,,
187392,180.0,50.57146453857422,-0.010086401701846626,-0.6977001702180132,0.27385816,-0.7001199722290039,910,0.43603515625,0.003,6.56027161180973,0.2,0.8944116234779358,,,,,
