time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
299040,10629.390264,1200.0,,,,,,,,,,,,,,,,
299776,,,1037,32,4440.516333579999,1200.0,63,,,,,,,,,,,
300240,11326.626943,1200.0,,,,,,0.2,0.0,0.035447888,0.361474609375,-0.04038867311901413,1.877529628202319,1460,0.0003,0.9889169931411743,-280.58574924468996,0.866062343120575
301440,11344.672348,1200.0,,,,,,,,,,,,,,,,
301824,,,1071,33,4442.93900641,1200.0,63,,,,,,,,,,,
302640,11032.214984,1200.0,,,,,,0.2,0.0,0.03260734,0.344873046875,-0.032557661147438924,2.048313245177269,1470,0.0003,0.9881767630577087,-280.48690433502196,1.584036946296692
303840,11063.946875,1200.0,,,,,,,,,,,,,,,,
303872,,,1105,34,4445.31280079,1200.0,62,,,,,,,,,,,
305040,11828.076564,1200.0,,,,,,0.2,0.0,0.032237545,0.342138671875,-0.032651326968334615,1.8617774352431298,1480,0.0003,0.9875741600990295,-280.3123453140259,0.7072441577911377
305920,,,1131,35,4446.82265416,1200.0,63,,,,,,,,,,,
306240,13314.974131,1200.0,,,,,,0.2,1.1920928955078125e-07,0.03401929,0.35712890625,-0.03774190790427383,2.2676612839102743,1490,0.0003,0.9858958125114441,-280.05386419296264,0.9078125953674316
307440,13350.986032,1200.0,,,,,,,,,,,,,,,,
307968,,,1165,36,4449.09102826,1200.0,63,,,,,,,,,,,
308640,11149.769997,1200.0,,,,,,0.2,5.960464477539063e-08,0.032227367,0.3798828125,-0.03503394888248294,1.6819991312921048,1500,0.0003,0.9854821562767029,-279.8729725837708,0.8981432318687439
309840,11156.701618,1200.0,,,,,,,,,,,,,,,,
310016,,,1199,37,4451.46970148,1200.0,63,,,,,,,,,,,
311040,8402.997438,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03129682,0.33984375,-0.03341226764023304,1.6722190886735917,1510,0.0003,0.984862208366394,-279.7351445198059,0.6793873906135559
312064,,,1225,38,4452.88409905,1200.0,63,,,,,,,,,,,
312240,8688.21011,1200.0,,,,,,0.2,0.0,0.03373982,0.350927734375,-0.036139381903922185,1.6446748226881027,1520,0.0003,0.9848026037216187,-279.65105695724486,0.6494969725608826
313440,8756.691108,1200.0,,,,,,,,,,,,,,,,
314112,,,1259,39,4455.301873629999,1200.0,63,,,,,,,,,,,
314640,14184.157662,1200.0,,,,,,0.2,5.960464477539063e-08,0.03909466,0.386474609375,-0.037851130409399046,1.9657792331650854,1530,0.0003,0.985168993473053,-279.6869915008545,0.66401207447052
315840,14181.318983,1200.0,,,,,,,,,,,,,,,,
316160,,,1293,40,4457.7209846000005,1200.0,63,,,,,,,,,,,
317040,15889.680917,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.033233434,0.35,-0.0352082425088156,1.67160565815866,1540,0.0003,0.9841700792312622,-279.555530834198,0.7423649430274963
318208,,,1319,41,4458.88844102,1200.0,63,,,,,,,,,,,
318240,12356.547428,1200.0,,,,,,0.2,0.0,0.030034149,0.34345703125,-0.032025261549279094,2.3369524862617252,1550,0.0003,0.9843665361404419,-279.50160751342776,1.0282281637191772
319440,12367.516277,1200.0,,,,,,,,,,,,,,,,
320256,,,1353,42,4461.80385991,1200.0,63,,,,,,,,,,,
320640,10495.853205,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03320331,0.3546875,-0.0327452964236727,1.853713645040989,1560,0.0003,0.9836140275001526,-279.4389537811279,0.6979219317436218
321840,10527.308815,1200.0,,,,,,,,,,,,,,,,
322304,,,1387,43,4464.45779827,1200.0,63,,,,,,,,,,,
323040,13773.596941,1200.0,,,,,,0.2,0.0,0.036147114,0.354443359375,-0.0367282212129794,2.022468287497759,1570,0.0003,0.9818933010101318,-279.1391538619995,1.0879778861999512
324240,13767.376157,1200.0,,,,,,,,,,,,,,,,
324352,,,1421,44,4467.26262427,1200.0,63,,,,,,,,,,,
325440,14267.499751,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.036918268,0.342236328125,-0.03314144065079745,1.8250271070748567,1580,0.0003,0.9815835356712341,-278.948823928833,0.8859763145446777
326400,,,1447,45,4468.59849182,1200.0,63,,,,,,,,,,,
326640,14369.249161,1200.0,,,,,,0.2,0.0,0.035126098,0.358056640625,-0.03779166920576245,2.0458254722878335,1590,0.0003,0.9808222651481628,-278.83112783432006,0.9282498955726624
327840,14354.556118,1200.0,,,,,,,,,,,,,,,,
328448,,,1481,46,4470.46427465,1200.0,63,,,,,,,,,,,
329040,13829.806475,1200.0,,,,,,0.2,1.1920928955078125e-07,0.035278123,0.354541015625,-0.034323701041284946,2.0588685028254985,1600,0.0003,0.9792295694351196,-278.5486764907837,1.0451483726501465
330240,13768.629457,1200.0,,,,,,,,,,,,,,,,
330496,,,1515,47,4473.22972667,1200.0,63,,,,,,,,,,,
331440,14890.598226,1200.0,,,,,,0.2,0.0,0.038943242,0.380859375,-0.03948564737220295,1.70449314750731,1610,0.0003,0.980454683303833,-278.599077129364,0.7146294116973877
332544,,,1540,48,4474.4640772,1200.0,63,,,,,,,,,,,
332640,14388.183477,1200.0,,,,,,0.2,0.0,0.037565783,0.363525390625,-0.03504965033207554,2.458828303962946,1620,0.0003,0.9800179600715637,-278.60803813934325,1.7292615175247192
