eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps
51.02105712890625,566272,40.0,0.431298828125,0.0003,-5.691101551055908,24499.173828125,-0.004548207858169917,0.0,0.2,0.06533065,61484.31982421875,2760,,,,,
53.08833312988281,567296,40.0,,,,,,,,,,,,,,,
55.59309768676758,568320,40.0,0.388134765625,0.0003,-5.677902390062809,32642.732421875,-0.009926177070883568,0.0,0.2,0.05902397,61749.218505859375,2770,,,,,
48.21759796142578,569344,40.0,,,,,,,,,,,,,,,
49.492225646972656,570368,40.0,0.4060546875,0.0003,-5.682336197793484,29378.52734375,-0.003751089231809601,0.0,0.2,0.06177091,65652.16440429687,2780,,,,,
54.257232666015625,571392,40.0,,,,,,,,,,,,,,,
49.197261810302734,572416,40.0,0.416357421875,0.0003,-5.6771286815404896,36727.96484375,-0.004981684015365318,0.0,0.2,0.059307717,68378.4607788086,2790,,,,,
45.65895080566406,573440,40.0,,,,,,,,,,,,,,,
,573440,,,,,,,,,,,,40.0,280,1034,1381.0966819,554
48.15477752685547,574464,40.0,0.42236328125,0.0003,-5.631769572198391,34514.09375,-0.007379642300656996,0.0,0.2,0.062633276,66742.10854492188,2800,,,,,
45.12583541870117,575488,40.0,,,,,,,,,,,,,,,
46.688018798828125,576512,40.0,0.37421875,0.0003,-5.60961554646492,39375.00390625,-0.01461380916298367,0.0,0.2,0.053412512,77000.06368408204,2810,,,,,
51.665531158447266,577536,40.0,,,,,,,,,,,,,,,
51.45357131958008,578560,40.0,0.40322265625,0.0003,-5.633314423263073,29162.19140625,0.004850781930144876,0.0,0.2,0.056023665,56114.079907226565,2820,,,,,
51.94850540161133,579584,40.0,,,,,,,,,,,,,,,
40.76300048828125,580608,40.0,0.40263671875,0.0003,-5.633192002773285,29657.2265625,-0.010710925035527907,-1.1920928955078125e-07,0.2,0.058624983,61950.85219726562,2830,,,,,
40.94685363769531,581632,40.0,,,,,,,,,,,,,,,
48.814491271972656,582656,40.0,0.40126953125,0.0003,-5.614250285923481,30293.859375,-0.008213152302778326,0.0,0.2,0.05323729,57154.81849365235,2840,,,,,
46.566444396972656,583680,40.0,,,,,,,,,,,,,,,
54.180946350097656,584704,40.0,0.411376953125,0.0003,-5.6006306320428845,30737.275390625,-0.014501751978968969,-1.1920928955078125e-07,0.2,0.05457091,52863.381127929686,2850,,,,,
52.38997268676758,585728,40.0,,,,,,,,,,,,,,,
45.959938049316406,586752,40.0,0.406396484375,0.0003,-5.610494801402092,26711.205078125,-0.0036242831949493846,0.0,0.2,0.054117642,48617.55656738281,2860,,,,,
47.24864196777344,587776,40.0,,,,,,,,,,,,,,,
50.16999816894531,588800,40.0,0.3826171875,0.0003,-5.59952495098114,27415.431640625,-0.002098590467358008,0.0,0.2,0.055571645,56662.97440185547,2870,,,,,
47.191219329833984,589824,40.0,,,,,,,,,,,,,,,
47.3946533203125,590848,40.0,0.4013671875,0.0003,-5.568303894996643,26657.744140625,-0.0032320700345735533,0.0,0.2,0.056407385,54790.3923828125,2880,,,,,
54.51310729980469,591872,40.0,,,,,,,,,,,,,,,
49.46894073486328,592896,40.0,0.3650390625,0.0003,-5.541173604130745,24078.25,-0.0032167466895771215,0.0,0.2,0.045855425,53777.2572265625,2890,,,,,
39.33858871459961,593920,40.0,,,,,,,,,,,,,,,
,593920,,,,,,,,,,,,40.0,290,1071,1287.6377774900002,554
51.357337951660156,594944,40.0,0.382666015625,0.0003,-5.539238810539246,23487.857421875,-0.006571368037111824,-1.1920928955078125e-07,0.2,0.049178652,49821.17329101563,2900,,,,,
52.643035888671875,595968,40.0,,,,,,,,,,,,,,,
56.17642593383789,596992,40.0,0.391162109375,0.0003,-5.549819904565811,24368.265625,-0.009557226648030336,0.0,0.2,0.050471984,53814.874267578125,2910,,,,,
49.62055587768555,598016,40.0,,,,,,,,,,,,,,,
49.43880844116211,599040,40.0,0.379736328125,0.0003,-5.540040381252766,27392.322265625,-0.009252399198885541,0.0,0.2,0.05017042,62344.478686523435,2920,,,,,
54.513587951660156,600064,40.0,,,,,,,,,,,,,,,
56.313934326171875,601088,40.0,0.41337890625,0.0003,-5.512170265614986,15454.4677734375,0.003743760944053065,0.0,0.2,0.055946983,32864.55949707031,2930,,,,,
55.348358154296875,602112,40.0,,,,,,,,,,,,,,,
50.203948974609375,603136,40.0,0.379150390625,0.0003,-5.513384255766868,27830.16015625,-0.005939031751040602,0.0,0.2,0.049606968,56628.62615966797,2940,,,,,
55.629478454589844,604160,40.0,,,,,,,,,,,,,,,
53.80690002441406,605184,40.0,0.403076171875,0.0003,-5.494872841238975,26394.072265625,-0.006931829157110769,0.0,0.2,0.056096777,62980.45712890625,2950,,,,,
51.202659606933594,606208,40.0,,,,,,,,,,,,,,,
46.751365661621094,607232,40.0,0.39228515625,0.0003,-5.491608449816704,26397.193359375,0.000593161721189972,1.1920928955078125e-07,0.2,0.055239383,55709.51430664062,2960,,,,,
50.74640655517578,608256,40.0,,,,,,,,,,,,,,,
47.870338439941406,609280,40.0,0.376220703125,0.0003,-5.496811212599278,24657.732421875,-0.010128841263940558,1.1920928955078125e-07,0.2,0.05266413,53862.66707763672,2970,,,,,
52.791175842285156,610304,40.0,,,,,,,,,,,,,,,
54.37969207763672,611328,40.0,0.38017578125,0.0003,-5.49994890242815,29639.244140625,-0.0026965326040226502,0.0,0.2,0.050271176,60594.108850097655,2980,,,,,
52.29755783081055,612352,40.0,,,,,,,,,,,,,,,
