eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
27.0,151552,37.646602630615234,,,,,,,,,,,,,,,
27.0,152576,39.04324722290039,0.2,33393.91796875,-1.1920928955078125e-07,-5.701795475184918,0.0003,66576.52933349609,0.030969467,-0.05205095414421521,740,0.309228515625,,,,,
27.0,153600,39.72138977050781,,,,,,,,,,,,,,,
27.0,154624,41.529396057128906,0.2,26361.419921875,0.0,-5.696970342099666,0.0003,62419.45473632812,0.03159403,-0.05763517767190933,750,0.307568359375,,,,,
27.0,155648,46.85099792480469,,,,,,,,,,,,,,,
27.0,156672,36.31604766845703,0.2,32278.857421875,0.0,-5.691168804466725,0.0003,64423.22078857422,0.034197886,-0.06104786066571251,760,0.3203125,,,,,
27.0,157696,43.38912582397461,,,,,,,,,,,,,,,
27.0,158720,35.49586868286133,0.2,30780.091796875,0.0,-5.69187283217907,0.0003,63146.97156982422,0.032678273,-0.057717140420572834,770,0.330078125,,,,,
27.0,159744,41.226356506347656,,,,,,,,,,,,,,,
27.0,160768,40.59382629394531,0.2,30907.537109375,0.0,-5.698039874434471,0.0003,62044.20155029297,0.035823323,-0.05371688613086008,780,0.347216796875,,,,,
27.0,161792,34.48643493652344,,,,,,,,,,,,,,,
27.0,162816,42.117862701416016,0.2,27568.083984375,5.960464477539063e-08,-5.698743404448033,0.0003,58907.06254882812,0.02955686,-0.05676254535210319,790,0.2978515625,,,,,
27.0,163840,38.75944900512695,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,745.8444191599999,591,80,27.0,277
27.0,164864,37.35810852050781,0.2,27265.111328125,1.1920928955078125e-07,-5.695419152081013,0.0003,65307.32252197266,0.03228405,-0.05596182043955196,800,0.309423828125,,,,,
27.0,165888,40.14263153076172,,,,,,,,,,,,,,,
27.0,166912,40.460994720458984,0.2,34170.49609375,5.960464477539063e-08,-5.69412339925766,0.0003,61291.85870361328,0.029393476,-0.05539164101355709,810,0.296484375,,,,,
27.0,167936,38.440773010253906,,,,,,,,,,,,,,,
27.0,168960,41.62531280517578,0.2,28909.951171875,0.0,-5.692732420563698,0.0003,58582.59506835938,0.030203879,-0.05572162509197369,820,0.300341796875,,,,,
27.0,169984,39.85051345825195,,,,,,,,,,,,,,,
27.0,171008,39.28447723388672,0.2,29597.42578125,-1.1920928955078125e-07,-5.685419133305549,0.0003,60747.70594482422,0.031150606,-0.05784118161536753,830,0.318017578125,,,,,
27.0,172032,41.639320373535156,,,,,,,,,,,,,,,
27.0,173056,38.480960845947266,0.2,33570.1015625,0.0,-5.687172843515873,0.0003,62384.154260253905,0.029842777,-0.055273644259432334,840,0.296044921875,,,,,
27.0,174080,39.48968505859375,,,,,,,,,,,,,,,
27.0,175104,38.606624603271484,0.2,34141.375,0.0,-5.6883632183074955,0.0003,65410.74444580078,0.031490836,-0.05556427204865031,850,0.302392578125,,,,,
27.0,176128,38.696189880371094,,,,,,,,,,,,,,,
27.0,177152,37.407249450683594,0.2,29971.578125,0.0,-5.687169170379638,0.0003,58968.115783691406,0.031866726,-0.05642751807463355,860,0.30419921875,,,,,
27.0,178176,40.822139739990234,,,,,,,,,,,,,,,
27.0,179200,39.17280578613281,0.2,26738.583984375,0.0,-5.682081320881844,0.0003,58532.882983398435,0.029461078,-0.05400527138262987,870,0.299169921875,,,,,
27.0,180224,42.49758529663086,,,,,,,,,,,,,,,
27.0,181248,42.69879150390625,0.2,27215.810546875,0.0,-5.675648885965347,0.0003,60323.493664550784,0.032240603,-0.05204827184788883,880,0.29921875,,,,,
27.0,182272,37.934383392333984,,,,,,,,,,,,,,,
27.0,183296,41.027957916259766,0.2,26336.8359375,0.0,-5.675050027668476,0.0003,59870.84334716797,0.037123453,-0.05052540962351486,890,0.32490234375,,,,,
27.0,184320,40.521446228027344,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,729.15367805,662,90,27.0,278
27.0,185344,38.02855682373047,0.2,27641.8359375,5.960464477539063e-08,-5.6778299570083615,0.0003,59845.56242675781,0.029972589,-0.05874896851601079,900,0.296728515625,,,,,
27.0,186368,39.85643005371094,,,,,,,,,,,,,,,
27.0,187392,43.73881530761719,0.2,35497.90625,0.0,-5.672126795351505,0.0003,56790.467834472656,0.03000134,-0.0565888442506548,910,0.303076171875,,,,,
27.0,188416,38.71886444091797,,,,,,,,,,,,,,,
27.0,189440,40.37976837158203,0.2,29650.029296875,0.0,-5.660614106059074,0.0003,60887.943786621094,0.033383533,-0.05808751683216542,920,0.312353515625,,,,,
27.0,190464,42.50673294067383,,,,,,,,,,,,,,,
27.0,191488,39.949974060058594,0.2,27627.70703125,0.0,-5.658520226180554,0.0003,58890.0837890625,0.03395986,-0.05504302058252506,930,0.307373046875,,,,,
27.0,192512,39.94520568847656,,,,,,,,,,,,,,,
27.0,193536,39.87486267089844,0.2,28286.91015625,0.0,-5.657618236541748,0.0003,58663.05617675781,0.030398149,-0.05423365408205427,940,0.312353515625,,,,,
27.0,194560,39.43101501464844,,,,,,,,,,,,,,,
27.0,195584,41.889320373535156,0.2,26670.82421875,0.0,-5.657744778692722,0.0003,55670.35207519531,0.030984517,-0.057190176367294045,950,0.298388671875,,,,,
27.0,196608,39.252193450927734,,,,,,,,,,,,,,,
27.0,197632,39.76953887939453,0.2,27385.119140625,0.0,-5.654384064674377,0.0003,60028.19599609375,0.033509996,-0.05306455655954778,960,0.318408203125,,,,,
27.0,198656,46.804351806640625,,,,,,,,,,,,,,,
27.0,199680,37.83011245727539,0.2,27169.119140625,0.0,-5.650583826005459,0.0003,56624.234313964844,0.031442966,-0.05298403847264126,970,0.311572265625,,,,,
27.0,200704,38.83281707763672,,,,,,,,,,,,,,,
27.0,201728,45.85764694213867,0.2,26869.21484375,0.0,-5.646136021614074,0.0003,53287.782727050784,0.032306775,-0.056977289449423554,980,0.312060546875,,,,,
27.0,202752,40.554931640625,,,,,,,,,,,,,,,
27.0,203776,45.018577575683594,0.2,25993.125,-1.1920928955078125e-07,-5.639675891399383,0.0003,54165.41104736328,0.027837694,-0.05261447718949057,990,0.287158203125,,,,,
27.0,204800,39.27576446533203,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,717.4367357100001,734,100,27.0,278
27.0,205824,43.20806121826172,0.2,24796.8203125,-1.1920928955078125e-07,-5.636951594054699,0.0003,54850.3728515625,0.03048175,-0.054038787877652796,1000,0.303564453125,,,,,
27.0,206848,35.94248962402344,,,,,,,,,,,,,,,
27.0,207872,40.443931579589844,0.2,28025.99609375,5.960464477539063e-08,-5.636484402418136,0.0003,59041.36926269531,0.031188825,-0.04888429584680125,1010,0.31298828125,,,,,
27.0,208896,41.691864013671875,,,,,,,,,,,,,,,
27.0,209920,37.80024719238281,0.2,28447.728515625,0.0,-5.633844414353371,0.0003,54488.42459716797,0.03217098,-0.05431555279064924,1020,0.30810546875,,,,,
27.0,210944,43.13352584838867,,,,,,,,,,,,,,,
27.0,211968,38.29072952270508,0.2,28948.076171875,-1.1920928955078125e-07,-5.633567607402801,0.0003,55791.82388916016,0.03289685,-0.05542048565694131,1030,0.30869140625,,,,,
27.0,212992,39.560272216796875,,,,,,,,,,,,,,,
