eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,78848,25.373188018798828,0.2,0.0,-4.644372055679559,0.0002,0.019273581,19.62640122920275,380,-0.02562899644362915,0.2857421875,7.735732078552246,,,,,
180.0,79872,23.017122268676758,,,,,,,,,,,,,,,
180.0,80896,26.06243133544922,0.2,0.0,-4.591522534191609,0.0002,0.017100247,19.55630044490099,390,-0.02283827800747531,0.257568359375,8.665319442749023,,,,,
180.0,81920,26.39676856994629,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,40,180.0,258,22.59192838,316
180.0,82944,28.759109497070312,0.2,0.0,-4.540310031920671,0.0002,0.019887645,19.511671720445158,400,-0.028041925575234928,0.301123046875,12.921399116516113,,,,,
180.0,83968,27.501415252685547,,,,,,,,,,,,,,,
180.0,84992,26.089040756225586,0.2,0.0,-4.45821222141385,0.0002,0.018676994,19.652946607768534,410,-0.03121648514206754,0.28095703125,6.858362674713135,,,,,
180.0,86016,27.546924591064453,,,,,,,,,,,,,,,
180.0,87040,25.820241928100586,0.2,-2.384185791015625e-07,-4.463854575902223,0.0002,0.019787176,19.5110610075295,420,-0.02872564843928558,0.323291015625,12.2064790725708,,,,,
180.0,88064,26.489620208740234,,,,,,,,,,,,,,,
180.0,89088,29.383543014526367,0.2,0.0,-4.393291857093573,0.0002,0.019727934,19.84527529254556,430,-0.028415230588871056,0.312890625,16.784351348876953,,,,,
180.0,90112,27.24502944946289,,,,,,,,,,,,,,,
180.0,91136,32.77924346923828,0.2,0.0,-4.322070007771254,0.0002,0.017957889,19.795820799469947,440,-0.024861371992847124,0.27724609375,6.3124189376831055,,,,,
180.0,92160,30.538768768310547,,,,,,,,,,,,,,,
180.0,93184,31.081008911132812,0.2,0.0,-4.311428997665644,0.0002,0.018977799,16.952512539178134,450,-0.020878895159694367,0.271044921875,3.3677263259887695,,,,,
180.0,94208,39.32632064819336,,,,,,,,,,,,,,,
180.0,95232,38.169673919677734,0.2,0.0,-4.2259278751909735,0.0002,0.014812056,17.483536043018102,460,-0.020253191015945048,0.22919921875,17.039527893066406,,,,,
180.0,96256,31.43718719482422,,,,,,,,,,,,,,,
180.0,97280,35.7185173034668,0.2,1.1920928955078125e-07,-4.158813048154116,0.0002,0.015757224,19.72166034206748,470,-0.024154190197441493,0.23125,11.340851783752441,,,,,
180.0,98304,34.028160095214844,,,,,,,,,,,,,,,
180.0,99328,39.66909408569336,0.2,0.0,-4.126437280327082,0.0002,0.01644522,20.729132203012703,480,-0.022077434459060897,0.227587890625,18.974821090698242,,,,,
180.0,100352,41.372413635253906,,,,,,,,,,,,,,,
180.0,101376,37.358245849609375,0.2,0.0,-4.058436731249094,0.0002,0.016015466,19.5356391236186,490,-0.023559462491539306,0.24228515625,18.496353149414062,,,,,
180.0,102400,38.67951202392578,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,50,180.0,258,32.46190463,396
180.0,103424,41.13056182861328,0.2,0.0,-4.016935143619776,0.0002,0.014848079,17.10891492292285,500,-0.019444463404579438,0.215966796875,16.939273834228516,,,,,
180.0,104448,42.76765060424805,,,,,,,,,,,,,,,
180.0,105472,41.28331756591797,0.2,0.0,-3.951537807285786,0.0002,0.016592208,20.327349458634853,510,-0.019345556282496547,0.223291015625,13.382711410522461,,,,,
180.0,106496,42.87956237792969,,,,,,,,,,,,,,,
180.0,107520,40.97232437133789,0.2,0.0,-3.979941441863775,0.0002,0.01592248,18.264956857264043,520,-0.02268156140562496,0.2056640625,20.716049194335938,,,,,
180.0,108544,41.682167053222656,,,,,,,,,,,,,,,
180.0,109568,46.030128479003906,0.2,0.0,-3.9405255667865275,0.0002,0.01792755,20.027939903736115,530,-0.024327480720239693,0.262744140625,17.323217391967773,,,,,
180.0,110592,40.91674041748047,,,,,,,,,,,,,,,
180.0,111616,45.57532501220703,0.2,0.0,-3.8977179516106846,0.0002,0.016979378,18.826735410094262,540,-0.023835503714508377,0.23544921875,5.867334365844727,,,,,
180.0,112640,43.02630615234375,,,,,,,,,,,,,,,
180.0,113664,45.186187744140625,0.2,1.1920928955078125e-07,-3.8401822939515116,0.0002,0.015251672,18.448490537703037,550,-0.021317880016431444,0.219482421875,14.22127914428711,,,,,
180.0,114688,48.09633255004883,,,,,,,,,,,,,,,
180.0,115712,49.744911193847656,0.2,0.0,-3.7927202448248862,0.0002,0.015787516,18.224992936849596,560,-0.022270697486965217,0.244384765625,12.430094718933105,,,,,
180.0,116736,49.49999237060547,,,,,,,,,,,,,,,
180.0,117760,51.629764556884766,0.2,0.0,-3.788805142045021,0.0002,0.016268991,17.86099697202444,570,-0.019348644892306765,0.222119140625,19.95241355895996,,,,,
180.0,118784,54.027687072753906,,,,,,,,,,,,,,,
180.0,119808,50.32208251953125,0.2,0.0,-3.783780087903142,0.0002,0.014608601,16.282969589531422,580,-0.020558569721470122,0.2390625,9.240315437316895,,,,,
180.0,120832,51.479103088378906,,,,,,,,,,,,,,,
180.0,121856,57.109535217285156,0.2,-1.1920928955078125e-07,-3.762490441650152,0.0002,0.01675813,20.57871370688081,590,-0.01818292707321234,0.24140625,10.160402297973633,,,,,
180.0,122880,50.9945068359375,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,60,180.0,257,46.9238815,477
180.0,123904,52.785621643066406,0.2,0.0,-3.781998001039028,0.0002,0.016348403,18.630644825100898,600,-0.017247314139603988,0.221044921875,18.001304626464844,,,,,
180.0,124928,52.02467346191406,,,,,,,,,,,,,,,
180.0,125952,54.55436325073242,0.2,0.0,-3.7711735129356385,0.0002,0.016248312,18.89780160114169,610,-0.02172199312990415,0.23603515625,23.210052490234375,,,,,
180.0,126976,55.53397750854492,,,,,,,,,,,,,,,
180.0,128000,53.162986755371094,0.2,1.1920928955078125e-07,-3.797961411997676,0.0002,0.020083217,20.053176622092725,620,-0.023478296306711853,0.26279296875,8.018183708190918,,,,,
180.0,129024,55.63077926635742,,,,,,,,,,,,,,,
180.0,130048,53.48467254638672,0.2,0.0,-3.8231884129345417,0.0002,0.015904404,19.088004373013973,630,-0.01753542440710589,0.206298828125,23.026348114013672,,,,,
180.0,131072,55.763031005859375,,,,,,,,,,,,,,,
180.0,132096,60.19983673095703,0.2,0.0,-3.812708415463567,0.0002,0.01455508,20.714001037180424,640,-0.01828329585987376,0.207177734375,15.173299789428711,,,,,
180.0,133120,57.821800231933594,,,,,,,,,,,,,,,
180.0,134144,62.08665466308594,0.2,-1.1920928955078125e-07,-3.7883858870714904,0.0002,0.014904322,20.777680341154337,650,-0.018476251704851166,0.208056640625,23.785131454467773,,,,,
180.0,135168,53.824851989746094,,,,,,,,,,,,,,,
180.0,136192,53.69889831542969,0.2,0.0,-3.797783266380429,0.0002,0.018590637,21.187342397123576,660,-0.020087313372641802,0.228173828125,4.66786527633667,,,,,
180.0,137216,55.29515075683594,,,,,,,,,,,,,,,
180.0,138240,56.99486541748047,0.2,-1.1920928955078125e-07,-3.810071214661002,0.0002,0.0150871435,21.031363133341074,670,-0.016621466651122317,0.175830078125,20.5004825592041,,,,,
180.0,139264,56.234222412109375,,,,,,,,,,,,,,,
180.0,140288,60.811885833740234,0.2,-1.1920928955078125e-07,-3.8033764861524104,0.0002,0.014145557,21.86564079299569,680,-0.013007740979810478,0.164599609375,20.296281814575195,,,,,
180.0,141312,59.42352294921875,,,,,,,,,,,,,,,
180.0,142336,58.75898742675781,0.2,5.960464477539063e-08,-3.7919031865894794,0.0002,0.012576459,21.51648653075099,690,-0.017765282120672056,0.19638671875,17.09107780456543,,,,,
180.0,143360,56.450157165527344,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,70,180.0,258,56.61880615,555
180.0,144384,64.77711486816406,0.2,-2.384185791015625e-07,-3.7589711025357246,0.0002,0.017408496,20.25487051382661,700,-0.017044797142443713,0.2205078125,11.361336708068848,,,,,
180.0,145408,62.14604187011719,,,,,,,,,,,,,,,
180.0,146432,64.07585144042969,0.2,0.0,-3.7402412075549365,0.0002,0.01635762,19.567233457416297,710,-0.018636335330666044,0.219140625,11.387807846069336,,,,,
180.0,147456,62.699989318847656,,,,,,,,,,,,,,,
180.0,148480,59.391361236572266,0.2,-1.1920928955078125e-07,-3.722099022939801,0.0002,0.017050479,21.542778090387582,720,-0.01724698514008196,0.19560546875,30.34933853149414,,,,,
180.0,149504,64.055419921875,,,,,,,,,,,,,,,
180.0,150528,61.8094367980957,0.2,0.0,-3.7147575691342354,0.0002,0.017500635,18.84881202057004,730,-0.015193158158217557,0.20595703125,14.21524429321289,,,,,
180.0,151552,62.006683349609375,,,,,,,,,,,,,,,
180.0,152576,63.33503341674805,0.2,0.0,-3.71024182587862,0.0002,0.016616933,20.223588527739047,740,-0.01813849820464384,0.21767578125,4.720070838928223,,,,,
180.0,153600,67.15750122070312,,,,,,,,,,,,,,,
180.0,154624,64.95320129394531,0.2,0.0,-3.6743779499083757,0.0002,0.014821988,21.998143701255323,750,-0.01920904856742709,0.218603515625,18.852394104003906,,,,,
180.0,155648,66.24154663085938,,,,,,,,,,,,,,,
