eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,219136,85.00959014892578,,,,,,,,,,,,,,,
180.0,220160,82.7958984375,0.3884765625,1070,0.018221112,0.2,0.0003,49.17577135562897,-3.0363731667399407,-0.0361570683598984,0.0,26.39253044128418,,,,,
180.0,221184,85.06185913085938,,,,,,,,,,,,,,,
180.0,222208,84.88502502441406,0.504052734375,1080,0.022480527,0.2,0.0003,46.27555603981018,-3.0097612917423247,-0.03882874515547883,0.0,28.550874710083008,,,,,
180.0,223232,84.53971862792969,,,,,,,,,,,,,,,
180.0,224256,84.51164245605469,0.522802734375,1090,0.02287384,0.2,0.0003,48.181398117542265,-3.0126748494803905,-0.045145199628314,0.0,28.39342498779297,,,,,
180.0,225280,83.87833404541016,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,850,86.29511170999999,264,180.0,110
180.0,226304,86.18494415283203,0.40224609375,1100,0.019239798,0.2,0.0003,45.059194821119306,-3.0529656805098058,-0.04021034525358118,0.0,16.47698974609375,,,,,
180.0,227328,85.80555725097656,,,,,,,,,,,,,,,
180.0,228352,85.9693603515625,0.49228515625,1110,0.024095459,0.2,0.0003,51.90478955507278,-3.0637436516582968,-0.03542388342611957,0.0,28.09553337097168,,,,,
180.0,229376,85.08024597167969,,,,,,,,,,,,,,,
180.0,230400,85.31278991699219,0.501806640625,1120,0.022166472,0.2,0.0003,49.76537539362907,-3.03334584236145,-0.041506670515809675,-1.1920928955078125e-07,27.552459716796875,,,,,
180.0,231424,87.26239013671875,,,,,,,,,,,,,,,
180.0,232448,85.08799743652344,0.33935546875,1130,0.017645055,0.2,0.0003,45.13860124945641,-3.103790944814682,-0.03814948799845297,0.0,21.80743408203125,,,,,
180.0,233472,86.83206176757812,,,,,,,,,,,,,,,
180.0,234496,84.51215362548828,0.481689453125,1140,0.023736082,0.2,0.0003,47.773266080021855,-3.054605045169592,-0.041062453007907604,5.960464477539063e-08,18.621946334838867,,,,,
180.0,235520,87.5687484741211,,,,,,,,,,,,,,,
180.0,236544,85.49540710449219,0.4931640625,1150,0.024434125,0.2,0.0003,54.29616451859474,-3.0663581430912017,-0.038888774599763566,5.960464477539063e-08,20.580005645751953,,,,,
180.0,237568,83.45773315429688,,,,,,,,,,,,,,,
180.0,238592,84.57867431640625,0.48564453125,1160,0.020631041,0.2,0.0003,48.36364013552666,-3.0871334560215473,-0.03791499466460664,0.0,34.73252868652344,,,,,
180.0,239616,86.5494384765625,,,,,,,,,,,,,,,
180.0,240640,85.307861328125,0.596875,1170,0.029357094,0.2,0.0003,58.90140063762665,-3.0454434499144556,-0.039756918308557945,0.0,30.905637741088867,,,,,
180.0,241664,87.49342346191406,,,,,,,,,,,,,,,
180.0,242688,86.0279541015625,0.535009765625,1180,0.025438534,0.2,0.0003,48.033033055067065,-3.0665371507406234,-0.03922104064258747,5.960464477539063e-08,25.468128204345703,,,,,
180.0,243712,84.48849487304688,,,,,,,,,,,,,,,
180.0,244736,81.26228332519531,0.53994140625,1190,0.031061957,0.2,0.0003,51.64044690132141,-3.0604212269186974,-0.038890296331373975,0.0,23.729175567626953,,,,,
180.0,245760,86.66900634765625,,,,,,,,,,,,,,,
,245760,,,,,,,,,,,,939,86.77889512,261,180.0,120
180.0,246784,83.64547729492188,0.484375,1200,0.020148423,0.2,0.0003,53.67541904449463,-3.082532901316881,-0.04089709460386075,0.0,31.17401885986328,,,,,
180.0,247808,85.54627990722656,,,,,,,,,,,,,,,
180.0,248832,85.36019897460938,0.415234375,1210,0.021527752,0.2,0.0003,51.58541972637177,-3.0860676392912865,-0.03494166803720873,0.0,30.04630470275879,,,,,
180.0,249856,86.57746124267578,,,,,,,,,,,,,,,
180.0,250880,85.54084777832031,0.478369140625,1220,0.023225768,0.2,0.0003,48.24339375495911,-3.062100947648287,-0.03677264047437347,0.0,21.589519500732422,,,,,
180.0,251904,84.80686950683594,,,,,,,,,,,,,,,
180.0,252928,87.41297912597656,0.51279296875,1230,0.02303504,0.2,0.0003,55.61387001276016,-3.06895240098238,-0.03900651719304733,0.0,26.68125343322754,,,,,
180.0,253952,84.52403259277344,,,,,,,,,,,,,,,
180.0,254976,85.62744140625,0.5861328125,1240,0.03689481,0.2,0.0003,51.51259581446648,-3.0433858752250673,-0.04094382425537333,0.0,25.91777801513672,,,,,
180.0,256000,86.68858337402344,,,,,,,,,,,,,,,
180.0,257024,85.16098022460938,0.349609375,1250,0.016379891,0.2,0.0003,57.86039572954178,-3.117486242949963,-0.04337119195406558,0.0,35.99293899536133,,,,,
180.0,258048,86.23690795898438,,,,,,,,,,,,,,,
180.0,259072,86.06900024414062,0.397802734375,1260,0.019751329,0.2,0.0003,50.66792168021202,-3.106070277094841,-0.038177168785477986,0.0,18.983272552490234,,,,,
180.0,260096,87.65397644042969,,,,,,,,,,,,,,,
180.0,261120,86.41796875,0.381787109375,1270,0.017813645,0.2,0.0003,51.54101672768593,-3.141921028494835,-0.03895058384368895,0.0,35.74583435058594,,,,,
180.0,262144,86.91727447509766,,,,,,,,,,,,,,,
180.0,263168,84.88325500488281,0.560888671875,1280,0.022469856,0.2,0.0003,56.68493602871895,-3.0997500382363796,-0.041019813166349194,-1.1920928955078125e-07,32.84651184082031,,,,,
180.0,264192,88.43901062011719,,,,,,,,,,,,,,,
180.0,265216,86.24668884277344,0.61953125,1290,0.03292441,0.2,0.0003,54.03835580945015,-3.0685448825359343,-0.039674037013901396,0.0,24.611473083496094,,,,,
180.0,266240,85.12521362304688,,,,,,,,,,,,,,,
,266240,,,,,,,,,,,,1016,87.29700963000003,261,180.0,130
180.0,267264,86.27857971191406,0.56357421875,1300,0.023445565,0.2,0.0003,55.57931026816368,-3.087899027019739,-0.03960035663621966,5.960464477539063e-08,34.83558654785156,,,,,
