eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean
27.0,216064,58.51458740234375,0.2,24.813901731371878,-0.01783634618477663,1050,-3.8521081678569318,0.015759507,0.0003,15.007376670837402,0.19833984375,0.0,,,,,
27.0,217088,52.08118438720703,,,,,,,,,,,,,,,
27.0,218112,52.824798583984375,0.2,25.766369751095773,-0.021185657630849165,1060,-3.8633109658956526,0.018068204,0.0003,12.99952220916748,0.233203125,0.0,,,,,
27.0,219136,51.43313217163086,,,,,,,,,,,,,,,
27.0,220160,54.209617614746094,0.2,25.718017637729645,-0.019404822829528712,1070,-3.84900701418519,0.01774584,0.0003,9.283767700195312,0.214111328125,-1.1920928955078125e-07,,,,,
27.0,221184,54.00108337402344,,,,,,,,,,,,,,,
27.0,222208,56.60060119628906,0.2,26.745798271894454,-0.01928725552133983,1080,-3.831069178134203,0.01624855,0.0003,12.124939918518066,0.1919921875,0.0,,,,,
27.0,223232,54.869598388671875,,,,,,,,,,,,,,,
27.0,224256,53.689300537109375,0.2,22.07604854106903,-0.01684736686438555,1090,-3.829011416435242,0.016337395,0.0003,12.472485542297363,0.187744140625,0.0,,,,,
27.0,225280,54.69995880126953,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,110,53.70918225,716,314,27.0
27.0,226304,54.485572814941406,0.2,25.717517432570457,-0.019011526675603817,1100,-3.8082373939454555,0.017557556,0.0003,17.512840270996094,0.19853515625,0.0,,,,,
27.0,227328,50.15815353393555,,,,,,,,,,,,,,,
27.0,228352,55.268226623535156,0.2,24.743286418914796,-0.018411315511912107,1110,-3.7664031401276588,0.016339164,0.0003,8.413901329040527,0.198681640625,0.0,,,,,
27.0,229376,50.704132080078125,,,,,,,,,,,,,,,
27.0,230400,57.692222595214844,0.2,28.49657869935036,-0.017799141937575768,1120,-3.753523727506399,0.017779982,0.0003,14.866374969482422,0.2060546875,0.0,,,,,
27.0,231424,54.654212951660156,,,,,,,,,,,,,,,
