eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
36.0,947200,64.7039566040039,24024.091796875,39064.044415283206,0.249462890625,0.0,-0.002272185165202245,4620,0.0003,-4.446983923017979,0.02316195,0.2,,,,,
36.0,948224,58.745697021484375,,,,,,,,,,,,,,,
36.0,949248,69.71541595458984,19051.09375,40333.48303833008,0.23388671875,0.0,-0.00653883233317174,4630,0.0003,-4.442895916104317,0.020111836,0.2,,,,,
36.0,950272,67.5223159790039,,,,,,,,,,,,,,,
36.0,951296,67.39920043945312,20515.263671875,39820.24243774414,0.242822265625,1.1920928955078125e-07,-0.005475962802302092,4640,0.0003,-4.435024204850197,0.021268617,0.2,,,,,
36.0,952320,68.5106201171875,,,,,,,,,,,,,,,
36.0,953344,66.9265365600586,23806.880859375,43041.849108886716,0.2296875,0.0,-0.002322750627354253,4650,0.0003,-4.41968637406826,0.022155631,0.2,,,,,
36.0,954368,68.15632629394531,,,,,,,,,,,,,,,
36.0,955392,64.76220703125,22667.173828125,40600.15676879883,0.230029296875,0.0,-0.01340856805909425,4660,0.0003,-4.399070417881012,0.020082764,0.2,,,,,
36.0,956416,69.39430236816406,,,,,,,,,,,,,,,
36.0,957440,60.21310806274414,17810.9453125,40799.45319824219,0.25625,0.0,-0.005490897633717395,4670,0.0003,-4.406198099255562,0.022570498,0.2,,,,,
36.0,958464,60.135643005371094,,,,,,,,,,,,,,,
36.0,959488,66.09933471679688,20432.609375,44793.97885131836,0.217626953125,1.1920928955078125e-07,-0.0035485813219565897,4680,0.0003,-4.391093339025974,0.019800536,0.2,,,,,
36.0,960512,61.50804138183594,,,,,,,,,,,,,,,
36.0,961536,63.77849578857422,19183.802734375,41552.372540283206,0.260791015625,0.0,-0.00801684996986296,4690,0.0003,-4.404822912812233,0.021919535,0.2,,,,,
36.0,962560,67.54443359375,,,,,,,,,,,,,,,
36.0,963584,65.83419799804688,20668.232421875,43027.03672485352,0.258203125,-1.1920928955078125e-07,-0.0029339377069845796,4700,0.0003,-4.405450613796711,0.024660032,0.2,,,,,
36.0,964608,67.03844451904297,,,,,,,,,,,,,,,
36.0,965632,67.41691589355469,16250.33984375,43192.086328125,0.214599609375,0.0,9.762991976458579e-05,4710,0.0003,-4.3967312455177305,0.022318171,0.2,,,,,
36.0,966656,65.80012512207031,,,,,,,,,,,,,,,
36.0,967680,63.397064208984375,20326.75390625,41292.35925292969,0.284814453125,-2.384185791015625e-07,-0.0014990023919381201,4720,0.0003,-4.363994856178761,0.02481418,0.2,,,,,
36.0,968704,63.17662811279297,,,,,,,,,,,,,,,
36.0,969728,61.71771240234375,17578.001953125,38538.530859375,0.245458984375,-1.1920928955078125e-07,-0.008278006859472952,4730,0.0003,-4.367149314284324,0.020430453,0.2,,,,,
36.0,970752,67.75635528564453,,,,,,,,,,,,,,,
36.0,971776,62.40932083129883,21201.17578125,42351.30761108398,0.261669921875,0.0,0.0013918388372985645,4740,0.0003,-4.350792311131954,0.022930302,0.2,,,,,
36.0,972800,60.62543487548828,,,,,,,,,,,,,,,
36.0,973824,65.24031066894531,19779.693359375,44095.60117797852,0.28544921875,0.0,0.0018159039129386656,4750,0.0003,-4.345461352169513,0.024903975,0.2,,,,,
36.0,974848,63.8609619140625,,,,,,,,,,,,,,,
36.0,975872,67.91893768310547,19910.70703125,44639.20694580078,0.2474609375,0.0,-0.0077391035185428335,4760,0.0003,-4.347108449041843,0.023390807,0.2,,,,,
36.0,976896,64.1237564086914,,,,,,,,,,,,,,,
36.0,977920,62.46870040893555,17747.00390625,41815.473797607425,0.265869140625,0.0,-0.0006465143756940961,4770,0.0003,-4.362767687439918,0.024513602,0.2,,,,,
36.0,978944,68.47366333007812,,,,,,,,,,,,,,,
36.0,979968,62.244239807128906,23260.126953125,42089.540307617186,0.282421875,-1.1920928955078125e-07,0.004385978382197208,4780,0.0003,-4.401030877232552,0.02664414,0.2,,,,,
36.0,980992,65.67347717285156,,,,,,,,,,,,,,,
,980992,,,,,,,,,,,,10,155,131,36.0,1443.4605692400003
36.0,982016,62.18499755859375,21439.224609375,40116.04499511719,0.3044921875,0.0,0.009468346703215502,4790,0.0003,-4.404432900249958,0.02849789,0.2,,,,,
36.0,983040,64.14176940917969,,,,,,,,,,,,,,,
36.0,984064,64.09052276611328,16783.63671875,46639.97227783203,0.3146484375,0.0,-0.0006533434803714045,4800,0.0003,-4.39632510393858,0.027784128,0.2,,,,,
36.0,985088,66.39373016357422,,,,,,,,,,,,,,,
36.0,986112,63.40711212158203,20356.087890625,39188.20967407226,0.212939453125,1.1920928955078125e-07,-0.004558938782429323,4810,0.0003,-4.38355413377285,0.020456385,0.2,,,,,
36.0,987136,57.18425369262695,,,,,,,,,,,,,,,
36.0,988160,65.8497314453125,22249.6796875,42809.171325683594,0.246044921875,0.0,-0.004698876567999832,4820,0.0003,-4.40586866736412,0.02098274,0.2,,,,,
36.0,989184,62.76952362060547,,,,,,,,,,,,,,,
36.0,990208,68.7022933959961,13981.0263671875,34869.24801635742,0.21640625,0.0,-0.005957843805663288,4830,0.0003,-4.423586383461952,0.02007194,0.2,,,,,
36.0,991232,65.615966796875,,,,,,,,,,,,,,,
36.0,992256,62.97748565673828,22802.796875,35138.31766967774,0.298779296875,1.1920928955078125e-07,-0.007660814851988107,4840,0.0003,-4.431393299996853,0.026189653,0.2,,,,,
36.0,993280,61.74272918701172,,,,,,,,,,,,,,,
36.0,994304,61.88896942138672,13326.802734375,37342.41290893555,0.28271484375,0.0,0.0025068478513276204,4850,0.0003,-4.412063764035702,0.026087202,0.2,,,,,
36.0,995328,64.99809265136719,,,,,,,,,,,,,,,
36.0,996352,63.86037063598633,16762.12109375,37720.95564575195,0.248388671875,0.0,-0.005222840004717,4860,0.0003,-4.385587033629418,0.022637265,0.2,,,,,
36.0,997376,60.722084045410156,,,,,,,,,,,,,,,
36.0,998400,63.1523551940918,19531.25,38861.29949951172,0.252783203125,0.0,-0.008134274900658055,4870,0.0003,-4.362360166013241,0.021313604,0.2,,,,,
36.0,999424,62.878662109375,,,,,,,,,,,,,,,
36.0,1000448,59.87652587890625,16668.923828125,36586.74026489258,0.253759765625,0.0,-0.003946578528848476,4880,0.0003,-4.358919282257557,0.022996493,0.2,,,,,
36.0,1001472,64.21654510498047,,,,,,,,,,,,,,,
,1001472,,,,,,,,,,,,20,313,130,36.0,1432.7907168100003
36.0,1002496,68.51951599121094,16093.4521484375,38821.99920654297,0.21142578125,1.1920928955078125e-07,-0.00458168642653618,4890,0.0003,-4.342294228076935,0.01955347,0.2,,,,,
36.0,1003520,64.5577163696289,,,,,,,,,,,,,,,
36.0,1004544,61.474727630615234,11860.771484375,32980.17313232422,0.23798828125,0.0,-0.0005134625534992665,4900,0.0003,-4.319723661243915,0.020205349,0.2,,,,,
36.0,1005568,67.28590393066406,,,,,,,,,,,,,,,
36.0,1006592,61.82249450683594,21467.19921875,38363.84119873047,0.2052734375,0.0,-0.0028176629391964527,4910,0.0003,-4.316655991971492,0.01865318,0.2,,,,,
36.0,1007616,62.795989990234375,,,,,,,,,,,,,,,
36.0,1008640,63.273094177246094,20898.634765625,36445.02747192383,0.223193359375,1.1920928955078125e-07,-0.003915472327207681,4920,0.0003,-4.321909628808498,0.01826939,0.2,,,,,
36.0,1009664,66.69789123535156,,,,,,,,,,,,,,,
36.0,1010688,63.17852020263672,16892.333984375,37711.21907958984,0.235693359375,0.0,-0.005126511538401246,4930,0.0003,-4.33568122535944,0.01991312,0.2,,,,,
36.0,1011712,65.57156372070312,,,,,,,,,,,,,,,
36.0,1012736,65.65911102294922,20190.08203125,34792.83353881836,0.2357421875,0.0,-0.006618487965897657,4940,0.0003,-4.325405892729759,0.021076761,0.2,,,,,
36.0,1013760,67.67217254638672,,,,,,,,,,,,,,,
