eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
80.0,956416,80.52871704101562,30.597188626229762,-0.008143421226122882,0.1,0.08388671875,2700,-3.7989366848021744,23.781574249267578,3e-05,0.0029379656,0.0,,,,,
80.0,958464,76.35099792480469,28.503644689917564,-0.007492435243329964,0.1,0.062109375,2710,-3.796559903025627,18.674175262451172,3e-05,0.002896672,0.0,,,,,
80.0,960512,81.01631164550781,29.907669991254807,-0.0059326173330191525,0.1,0.05048828125,2720,-3.7928108889609575,22.738985061645508,3e-05,0.0022689197,0.0,,,,,
80.0,962560,83.23020935058594,27.709769974648953,-0.006112045487680007,0.1,0.062890625,2730,-3.7919346489012242,20.89232063293457,3e-05,0.0023344671,0.0,,,,,
80.0,964608,82.58029174804688,28.836458513140677,-0.0066210290999151765,0.1,0.058251953125,2740,-3.7911804258823394,17.234107971191406,3e-05,0.0029442795,0.0,,,,,
80.0,966656,79.47725677490234,32.60270659774542,-0.008413028986251448,0.1,0.08525390625,2750,-3.788600147888064,28.74508285522461,3e-05,0.003075438,0.0,,,,,
,966656,,,,,,,,,,,,77.96433994,80.0,126,80,1298
80.0,968704,76.03506469726562,28.13751290142536,-0.005948130475007929,0.1,0.0509765625,2760,-3.787678498402238,12.694162368774414,3e-05,0.002453252,5.960464477539063e-08,,,,,
80.0,970752,76.03424072265625,30.795857974886893,-0.009721850304049439,0.1,0.101611328125,2770,-3.7893307473510505,19.942285537719727,3e-05,0.0032375236,0.0,,,,,
80.0,972800,82.36524963378906,29.40427024066448,-0.00675609551690286,0.1,0.06083984375,2780,-3.7896315686404707,21.660566329956055,3e-05,0.0026359956,0.0,,,,,
80.0,974848,79.12298583984375,28.754469428956508,-0.007019896603014786,0.1,0.0630859375,2790,-3.790792579948902,16.395450592041016,3e-05,0.002231615,0.0,,,,,
80.0,976896,79.59130859375,29.73265330195427,-0.0069769770590937695,0.1,0.069580078125,2800,-3.7898098111152647,17.832260131835938,3e-05,0.0028668619,-1.1920928955078125e-07,,,,,
80.0,978944,76.9287109375,28.74152727276087,-0.008634744373557624,0.1,0.108349609375,2810,-3.7840929709374906,13.923307418823242,3e-05,0.0031509674,0.0,,,,,
80.0,980992,78.49087524414062,32.85790597498417,-0.005995697338948958,0.1,0.052880859375,2820,-3.7739243876188993,24.716413497924805,3e-05,0.0024382058,0.0,,,,,
80.0,983040,75.93511962890625,30.573838642239572,-0.00619458411965752,0.1,0.06201171875,2830,-3.7675618674606084,20.612445831298828,3e-05,0.0022883173,0.0,,,,,
80.0,985088,76.94017028808594,29.727314792573452,-0.007361365744145587,0.1,0.0828125,2840,-3.768600584566593,19.204484939575195,3e-05,0.0028530362,-1.1920928955078125e-07,,,,,
80.0,987136,80.55023193359375,27.00099237412214,-0.006949520563648548,0.1,0.064599609375,2850,-3.7687861412763595,17.030113220214844,3e-05,0.0028069222,0.0,,,,,
,987136,,,,,,,,,,,,78.07302623,80.0,132,90,1391
80.0,989184,78.0801773071289,30.01437232196331,-0.008080927800619975,0.1,0.074853515625,2860,-3.764643120393157,27.431310653686523,3e-05,0.0029664785,-1.1920928955078125e-07,,,,,
80.0,991232,77.67306518554688,30.96922999918461,-0.007092407760501374,0.1,0.073291015625,2870,-3.7623208120465277,18.091228485107422,3e-05,0.0027861965,0.0,,,,,
80.0,993280,78.1295394897461,29.049615809321402,-0.005611476513149682,0.1,0.043017578125,2880,-3.761503998935223,22.09334373474121,3e-05,0.0019351984,0.0,,,,,
80.0,995328,77.03351593017578,31.827690529823304,-0.006732741607993376,0.1,0.057470703125,2890,-3.7628434143960474,27.272092819213867,3e-05,0.0024338271,0.0,,,,,
80.0,997376,75.77977752685547,28.843130898475646,-0.006864203308941797,0.1,0.06337890625,2900,-3.7629987791180612,19.17026710510254,3e-05,0.0026834693,0.0,,,,,
80.0,999424,81.53062438964844,30.3890191629529,-0.008687423885567114,0.1,0.094677734375,2910,-3.7641226947307587,21.853858947753906,3e-05,0.003257398,0.0,,,,,
80.0,1001472,74.63876342773438,29.480248467624186,-0.00734774596276111,0.1,0.06689453125,2920,-3.7646039873361588,19.54651641845703,3e-05,0.0027046846,0.0,,,,,
80.0,1003520,77.81796264648438,30.48759689182043,-0.005880000012984965,0.1,0.052880859375,2930,-3.764483780413866,27.867542266845703,3e-05,0.0018828259,5.960464477539063e-08,,,,,
80.0,1005568,77.74797058105469,31.43425863236189,-0.007569735051947646,0.1,0.062939453125,2940,-3.76887809894979,23.12173843383789,3e-05,0.0020992402,0.0,,,,,
80.0,1007616,82.07450103759766,30.96541323810816,-0.007445977119641611,0.1,0.086279296875,2950,-3.7649292930960656,23.75272560119629,3e-05,0.0028343096,-1.1920928955078125e-07,,,,,
,1007616,,,,,,,,,,,,78.65211009,80.0,136,100,1500
80.0,1009664,78.12886047363281,31.67505848258734,-0.007661897987418342,0.1,0.085595703125,2960,-3.7584405411034822,19.39139747619629,3e-05,0.0026555867,0.0,,,,,
80.0,1011712,78.6446533203125,28.772810459136963,-0.007936358866572846,0.1,0.0876953125,2970,-3.75536670461297,16.024816513061523,3e-05,0.002745976,0.0,,,,,
80.0,1013760,77.36638641357422,32.212469817698,-0.007211922170245089,0.1,0.062548828125,2980,-3.7519744455814363,25.039220809936523,3e-05,0.0022648368,0.0,,,,,
80.0,1015808,83.81974792480469,27.33794440627098,-0.00560982132301433,0.1,0.053466796875,2990,-3.752819274365902,15.05820083618164,3e-05,0.0024349918,0.0,,,,,
80.0,1017856,81.43869018554688,26.463308016955853,-0.0069579348593833855,0.1,0.062548828125,3000,-3.752017268911004,18.95584487915039,3e-05,0.0026952322,5.960464477539063e-08,,,,,
80.0,1019904,79.24371337890625,30.49149663746357,-0.007497811438224744,0.1,0.0732421875,3010,-3.7524272341281177,16.547529220581055,3e-05,0.0022935187,0.0,,,,,
80.0,1021952,77.81671142578125,30.26177001297474,-0.006980421792832203,0.1,0.067724609375,3020,-3.7542177736759186,24.77399253845215,3e-05,0.0024833032,5.960464477539063e-08,,,,,
80.0,1024000,74.50794219970703,28.426456132531165,-0.006663335951452609,0.1,0.06201171875,3030,-3.7568090971559287,26.72764778137207,3e-05,0.0022169626,0.0,,,,,
80.0,1026048,78.20440673828125,25.43286840766668,-0.007637895272637252,0.1,0.07783203125,3040,-3.7573684379458427,28.10422134399414,3e-05,0.0029372876,-1.1920928955078125e-07,,,,,
80.0,1028096,78.82880401611328,31.959095510840417,-0.006600904128572438,0.1,0.050927734375,3050,-3.7561708174645903,25.636192321777344,3e-05,0.0024607156,0.0,,,,,
,1028096,,,,,,,,,,,,77.77664739,80.0,140,110,1608
80.0,1030144,81.08313751220703,26.66442041248083,-0.00785565066325944,0.1,0.08408203125,3060,-3.7587823525071142,12.528139114379883,3e-05,0.0024551174,0.0,,,,,
80.0,1032192,81.78374481201172,28.804676739871503,-0.006220005342038348,0.1,0.051904296875,3070,-3.7600472398102283,15.642799377441406,3e-05,0.0029975888,0.0,,,,,
80.0,1034240,79.15489196777344,28.63888867199421,-0.007457308670564089,0.1,0.071337890625,3080,-3.760234925150871,27.03136444091797,3e-05,0.002860526,5.960464477539063e-08,,,,,
80.0,1036288,80.72286987304688,30.401000663638115,-0.006628277621348389,0.1,0.06015625,3090,-3.758455080166459,23.069366455078125,3e-05,0.0020831288,5.960464477539063e-08,,,,,
