eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps
21.0,32.783912658691406,400384,0.31474609375,-0.008146355950157159,-3.4293116703629494,0.037777025,0.0003,0.2,4388.4951171875,0.0,8290.85318145752,1950,,,,,
21.0,37.54652786254883,401408,,,,,,,,,,,,,,,
21.0,38.544898986816406,402432,0.30390625,-0.0172644213977037,-3.4296703726053237,0.029339999,0.0003,0.2,5689.50537109375,0.0,11611.23886566162,1960,,,,,
21.0,36.384124755859375,403456,,,,,,,,,,,,,,,
21.0,35.564849853515625,404480,0.373779296875,-0.004211607779143378,-3.455499317497015,0.041271277,0.0003,0.2,4636.1318359375,0.0,8811.534353637695,1970,,,,,
21.0,33.20845413208008,405504,,,,,,,,,,,,,,,
21.0,32.30829620361328,406528,0.348193359375,-0.012494992726715282,-3.456977927684784,0.03793096,0.0003,0.2,5149.1298828125,0.0,9273.079638671876,1980,,,,,
21.0,25.579143524169922,407552,,,,,,,,,,,,,,,
21.0,35.40861511230469,408576,0.3173828125,-0.008887701868661679,-3.4731436654925347,0.037054718,0.0003,0.2,8198.71484375,0.0,13919.56925048828,1990,,,,,
21.0,18.455039978027344,409600,,,,,,,,,,,,,,,
,,409600,,,,,,,,,,,444.23884921999996,200,21.0,1039,394
21.0,27.105833053588867,410624,0.312353515625,-0.008751719517022138,-3.4579847186803816,0.03466078,0.0003,0.2,6446.3056640625,0.0,12275.309933471679,2000,,,,,
21.0,32.24759292602539,411648,,,,,,,,,,,,,,,
21.0,32.59015655517578,412672,0.3048828125,-0.018966028686554635,-3.4908684112131594,0.031145811,0.0003,0.2,6203.05029296875,1.1920928955078125e-07,12346.57346496582,2010,,,,,
21.0,35.07592010498047,413696,,,,,,,,,,,,,,,
21.0,32.85331726074219,414720,0.321240234375,-0.008107309691695264,-3.4919846415519715,0.03792943,0.0003,0.2,4323.615234375,0.0,10671.150932312012,2020,,,,,
21.0,22.75127410888672,415744,,,,,,,,,,,,,,,
21.0,24.136642456054688,416768,0.306005859375,-0.011495428437774536,-3.496799221634865,0.037415892,0.0003,0.2,5815.61767578125,0.0,13133.023547363282,2030,,,,,
21.0,32.42308044433594,417792,,,,,,,,,,,,,,,
21.0,23.503265380859375,418816,0.266455078125,-0.006478470985894091,-3.4764946937561034,0.035267517,0.0003,0.2,4724.75927734375,0.0,10830.672744750977,2040,,,,,
21.0,30.136240005493164,419840,,,,,,,,,,,,,,,
21.0,30.39199447631836,420864,0.370556640625,0.003647261821606662,-3.482872164994478,0.04163324,0.0003,0.2,4279.82421875,0.0,7712.5647598266605,2050,,,,,
21.0,33.61759567260742,421888,,,,,,,,,,,,,,,
21.0,36.518226623535156,422912,0.304345703125,-0.01702414465835318,-3.4797723233699798,0.031854935,0.0003,0.2,4472.685546875,-1.1920928955078125e-07,9919.61346130371,2060,,,,,
21.0,36.709510803222656,423936,,,,,,,,,,,,,,,
21.0,27.514785766601562,424960,0.34638671875,-0.012196254987793509,-3.476439514011145,0.034400642,0.0003,0.2,3806.7314453125,0.0,9635.753053283692,2070,,,,,
21.0,30.79973030090332,425984,,,,,,,,,,,,,,,
21.0,34.88117599487305,427008,0.3134765625,-0.01698444263311103,-3.480083600431681,0.036172103,0.0003,0.2,6057.9873046875,-1.1920928955078125e-07,11913.590475463867,2080,,,,,
21.0,25.905227661132812,428032,,,,,,,,,,,,,,,
21.0,29.897323608398438,429056,0.276025390625,-0.004752438522700686,-3.484253012388945,0.02881587,0.0003,0.2,4996.373046875,0.0,10403.018154907226,2090,,,,,
21.0,27.165634155273438,430080,,,,,,,,,,,,,,,
,,430080,,,,,,,,,,,454.49044216999994,210,21.0,1091,393
21.0,36.31541442871094,431104,0.328564453125,-0.018563019279099535,-3.4683669552206995,0.033855855,0.0003,0.2,6073.4892578125,0.0,12489.439053344726,2100,,,,,
21.0,38.903656005859375,432128,,,,,,,,,,,,,,,
21.0,21.983577728271484,433152,0.289892578125,-0.009170884639024735,-3.453851420432329,0.031737417,0.0003,0.2,2562.982177734375,-1.1920928955078125e-07,8143.198461914062,2110,,,,,
21.0,21.755586624145508,434176,,,,,,,,,,,,,,,
21.0,28.299461364746094,435200,0.337939453125,0.0002798079469357617,-3.445896753668785,0.03482108,0.0003,0.2,3728.682373046875,-1.1920928955078125e-07,6703.419653320312,2120,,,,,
21.0,27.037433624267578,436224,,,,,,,,,,,,,,,
21.0,29.601078033447266,437248,0.3181640625,-0.014612307127390523,-3.4720764726400377,0.033041183,0.0003,0.2,5266.1689453125,0.0,11747.618292236328,2130,,,,,
21.0,26.953514099121094,438272,,,,,,,,,,,,,,,
21.0,30.513507843017578,439296,0.285107421875,-0.014204578899079934,-3.4804551541805266,0.033427216,0.0003,0.2,4152.212890625,0.0,9486.288291931152,2140,,,,,
21.0,40.064292907714844,440320,,,,,,,,,,,,,,,
21.0,30.73745346069336,441344,0.333154296875,-0.0017345340296742507,-3.483300866931677,0.03642519,0.0003,0.2,3890.48193359375,0.0,9164.507281494141,2150,,,,,
21.0,37.344444274902344,442368,,,,,,,,,,,,,,,
21.0,34.80034637451172,443392,0.306787109375,-0.010687032777059357,-3.4685067564249037,0.034933392,0.0003,0.2,4621.43310546875,1.1920928955078125e-07,8254.95361175537,2160,,,,,
21.0,30.558095932006836,444416,,,,,,,,,,,,,,,
21.0,35.25298309326172,445440,0.275927734375,-0.008851454775140155,-3.4584812387824058,0.028476398,0.0003,0.2,3626.236572265625,-1.1920928955078125e-07,8339.271214294433,2170,,,,,
21.0,36.511741638183594,446464,,,,,,,,,,,,,,,
21.0,34.214874267578125,447488,0.276611328125,-0.00742424811469391,-3.4942872054874896,0.028793303,0.0003,0.2,2951.89453125,0.0,5926.63020324707,2180,,,,,
21.0,33.90179443359375,448512,,,,,,,,,,,,,,,
21.0,27.51003646850586,449536,0.321142578125,-0.013586489521549084,-3.4955263167619703,0.03094551,0.0003,0.2,4581.19140625,0.0,7729.917291259766,2190,,,,,
21.0,29.81573486328125,450560,,,,,,,,,,,,,,,
,,450560,,,,,,,,,,,379.01907297,220,21.0,1144,393
21.0,30.890026092529297,451584,0.235986328125,-0.005413873426732607,-3.507585297524929,0.023539305,0.0003,0.2,2270.279541015625,0.0,4982.861010742187,2200,,,,,
21.0,28.71578598022461,452608,,,,,,,,,,,,,,,
21.0,32.57383728027344,453632,0.288037109375,-0.0004898417391814291,-3.505458025634289,0.034811743,0.0003,0.2,2540.178955078125,0.0,5714.833331298828,2210,,,,,
21.0,37.955116271972656,454656,,,,,,,,,,,,,,,
21.0,35.64025115966797,455680,0.32421875,-0.014245388114068192,-3.5145014479756354,0.03260214,0.0003,0.2,3802.672119140625,0.0,8424.769332885742,2220,,,,,
21.0,33.07476806640625,456704,,,,,,,,,,,,,,,
21.0,24.646089553833008,457728,0.33603515625,-0.007968087230983656,-3.475855478644371,0.034209818,0.0003,0.2,4066.577880859375,-1.1920928955078125e-07,8226.235675048829,2230,,,,,
21.0,24.142385482788086,458752,,,,,,,,,,,,,,,
21.0,31.686588287353516,459776,0.324755859375,-0.005388962721917778,-3.46778516843915,0.033848662,0.0003,0.2,3460.176025390625,-1.1920928955078125e-07,8837.769560241699,2240,,,,,
21.0,33.47077178955078,460800,,,,,,,,,,,,,,,
21.0,34.12850570678711,461824,0.31103515625,-0.014770602525095456,-3.4794516950845717,0.033197217,0.0003,0.2,5248.5224609375,0.0,9795.129090881348,2250,,,,,
21.0,40.01661682128906,462848,,,,,,,,,,,,,,,
21.0,32.508262634277344,463872,0.291796875,-0.009443770548386965,-3.4922829650342466,0.033449154,0.0003,0.2,3119.77001953125,1.1920928955078125e-07,6814.517474365234,2260,,,,,
21.0,31.60724449157715,464896,,,,,,,,,,,,,,,
21.0,32.711761474609375,465920,0.34990234375,-0.007454126942320727,-3.4938051022589205,0.035945125,0.0003,0.2,3756.867431640625,0.0,8669.03858642578,2270,,,,,
21.0,34.244136810302734,466944,,,,,,,,,,,,,,,
21.0,28.333759307861328,467968,0.31435546875,-0.01652973790623946,-3.477075269073248,0.04001678,0.0003,0.2,4772.625,0.0,10573.753157043457,2280,,,,,
21.0,27.420923233032227,468992,,,,,,,,,,,,,,,
21.0,31.468524932861328,470016,0.337890625,-0.003285165996931028,-3.4786603204905986,0.034555033,0.0003,0.2,1976.0208740234375,0.0,4449.9354637146,2290,,,,,
21.0,26.174854278564453,471040,,,,,,,,,,,,,,,
,,471040,,,,,,,,,,,400.98825024999996,230,21.0,1196,393
21.0,30.42529296875,472064,0.32724609375,-0.0013648736610775813,-3.496906967461109,0.03355035,0.0003,0.2,2844.870361328125,0.0,6619.9247375488285,2300,,,,,
21.0,37.123680114746094,473088,,,,,,,,,,,,,,,
21.0,26.70874786376953,474112,0.298974609375,0.0017092272959416733,-3.481295444071293,0.032712594,0.0003,0.2,1918.6802978515625,5.960464477539063e-08,5432.092887115478,2310,,,,,
21.0,33.84501647949219,475136,,,,,,,,,,,,,,,
21.0,35.173011779785156,476160,0.314208984375,-0.0022445561466156506,-3.4527558706700803,0.038426124,0.0003,0.2,3759.44189453125,0.0,7649.761131286621,2320,,,,,
21.0,36.25523376464844,477184,,,,,,,,,,,,,,,
21.0,33.75946044921875,478208,0.273388671875,0.0012519409676315263,-3.434563060104847,0.030421678,0.0003,0.2,3346.198486328125,0.0,7190.164878845215,2330,,,,,
21.0,36.08661651611328,479232,,,,,,,,,,,,,,,
21.0,30.00054168701172,480256,0.31904296875,0.005872936003288487,-3.4437371134757995,0.031882428,0.0003,0.2,3121.593505859375,-1.1920928955078125e-07,6028.702970123291,2340,,,,,
21.0,32.19306182861328,481280,,,,,,,,,,,,,,,
21.0,31.049762725830078,482304,0.298583984375,-0.014485222962684929,-3.4451637886464597,0.02456001,0.0003,0.2,2807.23291015625,0.0,5992.716018676758,2350,,,,,
21.0,31.018308639526367,483328,,,,,,,,,,,,,,,
21.0,29.0261173248291,484352,0.266748046875,-0.008500172398635186,-3.4442480064928533,0.027652718,0.0003,0.2,3812.74462890625,0.0,8024.640989685058,2360,,,,,
21.0,36.74531555175781,485376,,,,,,,,,,,,,,,
21.0,36.18635559082031,486400,0.279541015625,-0.006297618470853195,-3.4327989906072616,0.0311146,0.0003,0.2,3552.4091796875,0.0,7172.909638977051,2370,,,,,
21.0,35.87211608886719,487424,,,,,,,,,,,,,,,
21.0,31.450824737548828,488448,0.28076171875,-0.013360970898793312,-3.408594845235348,0.029452614,0.0003,0.2,4598.36181640625,0.0,8737.71033782959,2380,,,,,
21.0,31.28009033203125,489472,,,,,,,,,,,,,,,
21.0,34.395816802978516,490496,0.291943359375,-0.00440059630345786,-3.388890791684389,0.028528709,0.0003,0.2,4334.29638671875,0.0,8661.893200683593,2390,,,,,
21.0,34.458518981933594,491520,,,,,,,,,,,,,,,
,,491520,,,,,,,,,,,405.17909457,240,21.0,1249,393
21.0,17.980892181396484,492544,0.335498046875,0.0016392261866712942,-3.4047638535499574,0.033341255,0.0003,0.2,3574.276123046875,-1.1920928955078125e-07,7412.192988586426,2400,,,,,
21.0,27.51689338684082,493568,,,,,,,,,,,,,,,
21.0,31.154239654541016,494592,0.31689453125,0.0015539653832092881,-3.3716601863503457,0.035820335,0.0003,0.2,2952.706787109375,0.0,7042.2185905456545,2410,,,,,
21.0,32.103111267089844,495616,,,,,,,,,,,,,,,
21.0,31.4597225189209,496640,0.3587890625,-0.0019538354317774065,-3.3997050039470196,0.035334498,0.0003,0.2,3732.545166015625,0.0,7112.408831787109,2420,,,,,
21.0,33.12430191040039,497664,,,,,,,,,,,,,,,
21.0,37.561832427978516,498688,0.322021484375,-0.008984630260965788,-3.4070840500295163,0.036446653,0.0003,0.2,3507.335205078125,0.0,9952.213131713866,2430,,,,,
21.0,37.6275634765625,499712,,,,,,,,,,,,,,,
21.0,36.774085998535156,500736,0.328076171875,0.003810156953113619,-3.408442159742117,0.035393007,0.0003,0.2,3670.85205078125,-1.1920928955078125e-07,6982.572952270508,2440,,,,,
21.0,40.624114990234375,501760,,,,,,,,,,,,,,,
21.0,19.61557960510254,502784,0.3544921875,0.010553601910942234,-3.4306001864373683,0.036612973,0.0003,0.2,2612.354248046875,0.0,5253.533792114258,2450,,,,,
21.0,30.559398651123047,503808,,,,,,,,,,,,,,,
21.0,35.60858917236328,504832,0.337255859375,-0.0029204789112554862,-3.4393389955163003,0.034955125,0.0003,0.2,3156.2880859375,0.0,5656.593038940429,2460,,,,,
21.0,35.642520904541016,505856,,,,,,,,,,,,,,,
21.0,37.31484603881836,506880,0.336572265625,0.00046877343847882,-3.414892074465752,0.036342338,0.0003,0.2,2236.77880859375,0.0,5340.217568969727,2470,,,,,
21.0,32.253883361816406,507904,,,,,,,,,,,,,,,
21.0,26.643199920654297,508928,0.26171875,-0.005224207922583446,-3.410632921755314,0.028717604,0.0003,0.2,3550.242431640625,0.0,7921.261672973633,2480,,,,,
21.0,31.044301986694336,509952,,,,,,,,,,,,,,,
21.0,24.492725372314453,510976,0.28623046875,0.0020178519684122876,-3.406540387868881,0.032707505,0.0003,0.2,3700.294189453125,0.0,8055.5746398925785,2490,,,,,
21.0,29.28073501586914,512000,,,,,,,,,,,,,,,
,,512000,,,,,,,,,,,402.84660414999996,250,21.0,1301,393
21.0,35.34119415283203,513024,0.33994140625,0.0012158262194134294,-3.4050333328545093,0.03185671,0.0003,0.2,2212.631591796875,0.0,5529.766016387939,2500,,,,,
21.0,19.598548889160156,514048,,,,,,,,,,,,,,,
21.0,37.80540084838867,515072,0.343603515625,0.0030960103576944675,-3.3973001189529897,0.036875628,0.0003,0.2,4028.6875,0.0,7074.625106048584,2510,,,,,
21.0,30.475650787353516,516096,,,,,,,,,,,,,,,
21.0,25.90505599975586,517120,0.35,-0.006699475512141362,-3.412926558405161,0.03736864,0.0003,0.2,2542.84130859375,0.0,5925.354610443115,2520,,,,,
21.0,24.230609893798828,518144,,,,,,,,,,,,,,,
21.0,38.60999298095703,519168,0.31982421875,-0.0058332383952802045,-3.4257664740085603,0.032310724,0.0003,0.2,2335.638916015625,0.0,4695.998020935059,2530,,,,,
21.0,34.14060974121094,520192,,,,,,,,,,,,,,,
21.0,31.046833038330078,521216,0.30390625,-0.006849899507506052,-3.4202252395451067,0.030631265,0.0003,0.2,4134.15185546875,0.0,7202.010806274414,2540,,,,,
21.0,36.01250076293945,522240,,,,,,,,,,,,,,,
21.0,20.685911178588867,523264,0.340966796875,0.0023740636635920962,-3.4111813262104986,0.036362953,0.0003,0.2,2993.197998046875,5.960464477539063e-08,5864.964427185058,2550,,,,,
21.0,33.257850646972656,524288,,,,,,,,,,,,,,,
21.0,23.873308181762695,525312,0.331640625,-6.478471987065859e-05,-3.412039878964424,0.033523202,0.0003,0.2,3709.70947265625,0.0,6654.541705322265,2560,,,,,
21.0,33.59326934814453,526336,,,,,,,,,,,,,,,
21.0,29.799726486206055,527360,0.31123046875,0.001979291712632403,-3.392571043968201,0.038238406,0.0003,0.2,3104.345458984375,0.0,6601.4071792602535,2570,,,,,
21.0,29.20645523071289,528384,,,,,,,,,,,,,,,
21.0,29.979114532470703,529408,0.349267578125,0.014449544560920912,-3.4000032506883144,0.03332841,0.0003,0.2,3052.943359375,1.1920928955078125e-07,4626.900449371338,2580,,,,,
21.0,16.82837677001953,530432,,,,,,,,,,,,,,,
21.0,23.9581298828125,531456,0.2931640625,0.002283832387183793,-3.3907580479979513,0.036505476,0.0003,0.2,3622.176025390625,0.0,8447.094934082032,2590,,,,,
21.0,26.009132385253906,532480,,,,,,,,,,,,,,,
,,532480,,,,,,,,,,,409.2848768299999,260,21.0,1354,393
21.0,23.740066528320312,533504,0.373876953125,0.007480123774439562,-3.384151306003332,0.04212661,0.0003,0.2,2648.61474609375,0.0,7026.108943176269,2600,,,,,
21.0,21.61703872680664,534528,,,,,,,,,,,,,,,
21.0,21.22564697265625,535552,0.3109375,0.004400855144194793,-3.3853849388659,0.034296103,0.0003,0.2,4279.65234375,1.1920928955078125e-07,8049.951115417481,2610,,,,,
21.0,34.34715270996094,536576,,,,,,,,,,,,,,,
21.0,34.600494384765625,537600,0.355126953125,0.007025120370963122,-3.3637763001024723,0.040024433,0.0003,0.2,3982.86962890625,0.0,7312.448265075684,2620,,,,,
21.0,27.813232421875,538624,,,,,,,,,,,,,,,
21.0,29.03952980041504,539648,0.370703125,0.009596671439066996,-3.3572242401540278,0.04067386,0.0003,0.2,2937.367919921875,0.0,5809.27995223999,2630,,,,,
21.0,37.91262435913086,540672,,,,,,,,,,,,,,,
21.0,34.24378204345703,541696,0.378173828125,0.010135371751675847,-3.35388770326972,0.03908627,0.0003,0.2,2415.87890625,1.1920928955078125e-07,4850.306298065186,2640,,,,,
21.0,27.807435989379883,542720,,,,,,,,,,,,,,,
21.0,29.617692947387695,543744,0.3330078125,0.001764250741689466,-3.3753688178956507,0.03160796,0.0003,0.2,2328.009765625,-1.1920928955078125e-07,5005.07638168335,2650,,,,,
21.0,33.76921081542969,544768,,,,,,,,,,,,,,,
21.0,38.116729736328125,545792,0.323828125,0.002035451540723443,-3.3714076384902,0.034896675,0.0003,0.2,3168.582763671875,0.0,7367.14169921875,2660,,,,,
21.0,37.753475189208984,546816,,,,,,,,,,,,,,,
21.0,31.945171356201172,547840,0.3349609375,0.005542547488585114,-3.3399423971772193,0.03351616,0.0003,0.2,2087.8466796875,0.0,5661.365460968018,2670,,,,,
21.0,28.64492416381836,548864,,,,,,,,,,,,,,,
