time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
219136,180.0,78.9133071899414,,,,,,,,,,,,,,,
220160,180.0,79.81608581542969,-2.816263322532177,30.92108917236328,0.2,-0.0449739107338246,0.036371917,1070,0.0,44.0118560731411,0.586962890625,0.0003,,,,,
221184,180.0,78.29071044921875,,,,,,,,,,,,,,,
222208,180.0,80.66378021240234,-2.820158338546753,16.98738670349121,0.2,-0.04162933746119961,0.024620235,1080,0.0,38.11057263612747,0.616259765625,0.0003,,,,,
223232,180.0,81.58860778808594,,,,,,,,,,,,,,,
224256,180.0,82.28595733642578,-2.827066596597433,20.460153579711914,0.2,-0.041801602323539556,0.020810438,1090,0.0,46.188486367464066,0.499267578125,0.0003,,,,,
225280,180.0,80.74459838867188,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,311,722,110,81.90586022000001,180.0
226304,180.0,78.18501281738281,-2.851157908141613,23.245223999023438,0.2,-0.03987628352770116,0.02495971,1100,0.0,42.16851062178612,0.532763671875,0.0003,,,,,
227328,180.0,83.18283081054688,,,,,,,,,,,,,,,
228352,180.0,79.56610107421875,-2.8006517685949803,25.833927154541016,0.2,-0.04790507188299671,0.04193797,1110,0.0,42.569695645570754,0.631787109375,0.0003,,,,,
229376,180.0,78.73208618164062,,,,,,,,,,,,,,,
230400,180.0,80.80889892578125,-2.8293147958815097,18.99799919128418,0.2,-0.045749306099605744,0.023396313,1120,0.0,44.36710739135742,0.521142578125,0.0003,,,,,
231424,180.0,79.8145980834961,,,,,,,,,,,,,,,
232448,180.0,82.38167572021484,-2.8105885580182077,26.311573028564453,0.2,-0.04359964512696024,0.026814576,1130,0.0,40.05886052846908,0.612451171875,0.0003,,,,,
233472,180.0,79.50068664550781,,,,,,,,,,,,,,,
234496,180.0,82.09630584716797,-2.829176126420498,11.867465019226074,0.2,-0.04449308076291345,0.024719732,1140,0.0,43.24620561599731,0.573046875,0.0003,,,,,
235520,180.0,79.9703140258789,,,,,,,,,,,,,,,
236544,180.0,77.62733459472656,-2.785476117581129,21.418989181518555,0.2,-0.04211452076560818,0.035739943,1150,0.0,40.97107062339783,0.6818359375,0.0003,,,,,
237568,180.0,77.75601196289062,,,,,,,,,,,,,,,
238592,180.0,80.66810607910156,-2.801434373855591,9.961408615112305,0.2,-0.042531680341926406,0.031304166,1160,0.0,38.23987601995468,0.619873046875,0.0003,,,,,
239616,180.0,79.82745361328125,,,,,,,,,,,,,,,
240640,180.0,79.05091857910156,-2.783679013699293,16.559593200683594,0.2,-0.04331727141398005,0.022153962,1170,0.0,43.7701979637146,0.61181640625,0.0003,,,,,
241664,180.0,78.95979309082031,,,,,,,,,,,,,,,
242688,180.0,77.97216796875,-2.8338981062173842,27.11960792541504,0.2,-0.04268614999018609,0.021679066,1180,0.0,38.71622268855572,0.464990234375,0.0003,,,,,
243712,180.0,80.83845520019531,,,,,,,,,,,,,,,
244736,180.0,82.49826049804688,-2.808574541658163,16.0283260345459,0.2,-0.042173328663920984,0.03164676,1190,0.0,39.35148202776909,0.60986328125,0.0003,,,,,
245760,180.0,77.94834899902344,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,309,793,120,81.36674237,180.0
