eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed
27.0,199680,55.03612518310547,15.569931456446648,970,0.0,0.0003,-3.365498200058937,0.07702137,0.2,9.971235275268555,0.4939453125,-0.02871897058939794,,,,,
27.0,200704,51.76092529296875,,,,,,,,,,,,,,,
27.0,201728,52.919891357421875,17.702077370882034,980,0.0,0.0003,-3.3693371050059797,0.08059439,0.2,13.517796516418457,0.467724609375,-0.030337170023994987,,,,,
27.0,202752,55.72662353515625,,,,,,,,,,,,,,,
27.0,203776,55.63552474975586,15.544673806428909,990,0.0,0.0003,-3.3763973101973535,0.0607223,0.2,8.504388809204102,0.431787109375,-0.027429358892550226,,,,,
27.0,204800,57.130821228027344,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,100,253,27.0,59.05362587,808
27.0,205824,59.142845153808594,18.475340789556505,1000,0.0,0.0003,-3.376692231744528,0.064304575,0.2,7.790075302124023,0.423583984375,-0.026396838990331163,,,,,
27.0,206848,53.80340576171875,,,,,,,,,,,,,,,
27.0,207872,54.81266784667969,17.176054444909095,1010,-1.1920928955078125e-07,0.0003,-3.3746108911931514,0.06011554,0.2,6.78236722946167,0.4373046875,-0.03437780323583865,,,,,
27.0,208896,55.13102722167969,,,,,,,,,,,,,,,
27.0,209920,57.04005432128906,18.43134644627571,1020,0.0,0.0003,-3.381900141388178,0.06459581,0.2,6.583380699157715,0.42216796875,-0.031738659452821595,,,,,
27.0,210944,56.65515899658203,,,,,,,,,,,,,,,
27.0,211968,55.09523391723633,16.265578123927117,1030,0.0,0.0003,-3.3793395549058913,0.06168304,0.2,7.779627799987793,0.452880859375,-0.03241761742974632,,,,,
27.0,212992,56.966766357421875,,,,,,,,,,,,,,,
27.0,214016,54.97341537475586,15.673646080493928,1040,5.960464477539063e-08,0.0003,-3.3757425144314768,0.06362218,0.2,4.9231858253479,0.4205078125,-0.02932149635744281,,,,,
27.0,215040,54.847862243652344,,,,,,,,,,,,,,,
27.0,216064,56.35905456542969,15.633217769861222,1050,0.0,0.0003,-3.357742242515087,0.07200967,0.2,5.529487609863281,0.4408203125,-0.03812022446945775,,,,,
27.0,217088,51.430267333984375,,,,,,,,,,,,,,,
27.0,218112,53.17018508911133,17.208431187272073,1060,0.0,0.0003,-3.3573080599308014,0.063756734,0.2,10.566465377807617,0.439697265625,-0.02318761470960453,,,,,
27.0,219136,56.33415985107422,,,,,,,,,,,,,,,
27.0,220160,53.982322692871094,16.705945309996604,1070,1.1920928955078125e-07,0.0003,-3.3500849314033987,0.0606528,0.2,8.21585464477539,0.424462890625,-0.02704684880300192,,,,,
27.0,221184,51.27850341796875,,,,,,,,,,,,,,,
27.0,222208,56.074649810791016,16.868094158172607,1080,0.0,0.0003,-3.343202365934849,0.06704435,0.2,7.1031389236450195,0.422216796875,-0.02402789169427706,,,,,
27.0,223232,52.426551818847656,,,,,,,,,,,,,,,
27.0,224256,56.77889633178711,17.947421821951867,1090,1.1920928955078125e-07,0.0003,-3.3488109707832336,0.05926187,0.2,9.312013626098633,0.407666015625,-0.03330164553190116,,,,,
27.0,225280,54.42457962036133,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,110,253,27.0,59.26118942999999,888
27.0,226304,54.41407775878906,17.065468642115594,1100,0.0,0.0003,-3.343893249332905,0.06617859,0.2,6.945627212524414,0.464404296875,-0.03031203323189402,,,,,
27.0,227328,55.40996170043945,,,,,,,,,,,,,,,
27.0,228352,52.81456756591797,18.14308106303215,1110,-1.1920928955078125e-07,0.0003,-3.340347725152969,0.06104847,0.2,6.570942401885986,0.452099609375,-0.026968372278497556,,,,,
27.0,229376,57.562400817871094,,,,,,,,,,,,,,,
27.0,230400,53.392234802246094,17.275403624773027,1120,1.1920928955078125e-07,0.0003,-3.3470139637589456,0.07168417,0.2,8.496726989746094,0.4482421875,-0.035626730363583194,,,,,
27.0,231424,52.989952087402344,,,,,,,,,,,,,,,
27.0,232448,54.02593231201172,16.492195945978164,1130,0.0,0.0003,-3.33919495344162,0.0719946,0.2,7.521127700805664,0.44580078125,-0.01813866048032651,,,,,
27.0,233472,53.100860595703125,,,,,,,,,,,,,,,
27.0,234496,55.599761962890625,16.91006841957569,1140,-1.1920928955078125e-07,0.0003,-3.339116503298283,0.077372186,0.2,8.214272499084473,0.4474609375,-0.030831755117105786,,,,,
27.0,235520,56.650245666503906,,,,,,,,,,,,,,,
27.0,236544,54.08173370361328,17.37190248966217,1150,0.0,0.0003,-3.3393040984869002,0.08120759,0.2,9.408988952636719,0.46884765625,-0.02660897738096537,,,,,
27.0,237568,55.163021087646484,,,,,,,,,,,,,,,
27.0,238592,50.68092346191406,17.953306078910828,1160,1.1920928955078125e-07,0.0003,-3.338885775953531,0.07462331,0.2,7.05623722076416,0.41533203125,-0.023805337387602776,,,,,
27.0,239616,56.02183532714844,,,,,,,,,,,,,,,
27.0,240640,56.42036819458008,15.096851655840874,1170,0.0,0.0003,-3.346198148280382,0.074023314,0.2,9.366514205932617,0.449267578125,-0.02841119525110116,,,,,
27.0,241664,52.15512466430664,,,,,,,,,,,,,,,
27.0,242688,54.684486389160156,15.116319394111633,1180,0.0,0.0003,-3.3497817255556583,0.06462795,0.2,7.22786808013916,0.422607421875,-0.03197452569256711,,,,,
27.0,243712,56.56489562988281,,,,,,,,,,,,,,,
27.0,244736,55.33226776123047,17.115659245848654,1190,-1.1920928955078125e-07,0.0003,-3.3431905090808867,0.068755284,0.2,11.468379974365234,0.48701171875,-0.024813042368623427,,,,,
27.0,245760,51.89114761352539,,,,,,,,,,,,,,,
,245760,,,,,,,,,,,,120,254,27.0,59.51034251,967
27.0,246784,54.666343688964844,15.524536573886872,1200,0.0,0.0003,-3.3503115929663183,0.072806,0.2,8.786299705505371,0.443115234375,-0.031850491533987224,,,,,
27.0,247808,57.524505615234375,,,,,,,,,,,,,,,
27.0,248832,53.897499084472656,15.905361005663872,1210,0.0,0.0003,-3.3456730298697948,0.063998625,0.2,8.87015151977539,0.400927734375,-0.025430108577711507,,,,,
27.0,249856,58.7363395690918,,,,,,,,,,,,,,,
27.0,250880,53.66701126098633,17.446914801001547,1220,0.0,0.0003,-3.3465889602899552,0.0568729,0.2,6.254344463348389,0.3990234375,-0.01655966497492045,,,,,
27.0,251904,58.79582214355469,,,,,,,,,,,,,,,
27.0,252928,55.8240966796875,16.86393138170242,1230,0.0,0.0003,-3.3616909354925157,0.06459609,0.2,7.437444686889648,0.419189453125,-0.020170343040081206,,,,,
27.0,253952,55.41828918457031,,,,,,,,,,,,,,,
27.0,254976,54.49713134765625,15.620642304420471,1240,-1.1920928955078125e-07,0.0003,-3.364275036752224,0.06120319,0.2,7.644184112548828,0.41953125,-0.02767912741692271,,,,,
27.0,256000,53.54743576049805,,,,,,,,,,,,,,,
27.0,257024,56.019264221191406,15.699515959620475,1250,5.960464477539063e-08,0.0003,-3.3575590386986733,0.059579633,0.2,8.596678733825684,0.430615234375,-0.029427823470905425,,,,,
27.0,258048,56.35100555419922,,,,,,,,,,,,,,,
27.0,259072,55.09336853027344,17.475852078199388,1260,0.0,0.0003,-3.367546529322863,0.06084398,0.2,10.254312515258789,0.425634765625,-0.02940561659634113,,,,,
27.0,260096,52.816959381103516,,,,,,,,,,,,,,,
27.0,261120,55.1507682800293,17.357989072799683,1270,-1.1920928955078125e-07,0.0003,-3.3674362555146216,0.068147436,0.2,11.270758628845215,0.403515625,-0.02730578500049887,,,,,
27.0,262144,55.828495025634766,,,,,,,,,,,,,,,
27.0,263168,55.311920166015625,17.128218793869017,1280,-1.1920928955078125e-07,0.0003,-3.371886694431305,0.059685566,0.2,8.42628002166748,0.4427734375,-0.0280803112371359,,,,,
27.0,264192,54.32838439941406,,,,,,,,,,,,,,,
27.0,265216,56.09584426879883,15.014298129081727,1290,0.0,0.0003,-3.373232550919056,0.069954276,0.2,7.070840835571289,0.44189453125,-0.03307687769556651,,,,,
27.0,266240,54.337852478027344,,,,,,,,,,,,,,,
,266240,,,,,,,,,,,,130,254,27.0,59.4579615,1046
