time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
166912,43.99632263183594,21.0,0.0003,14.958915963768959,0.2,-2.9907730795443057,0.06373834,-0.027156110120995437,810,0.42890625,9.758707046508789,0.0,,,,,
167936,42.593971252441406,21.0,,,,,,,,,,,,,,,
168960,42.74962615966797,21.0,0.0003,17.212676912546158,0.2,-3.0022780910134315,0.050511792,-0.017068813361402136,820,0.376318359375,8.882023811340332,0.0,,,,,
169984,44.104427337646484,21.0,,,,,,,,,,,,,,,
171008,41.59325408935547,21.0,0.0003,18.19353731572628,0.2,-3.0051029093563555,0.05962166,-0.01567884002433857,830,0.407373046875,8.15708065032959,1.1920928955078125e-07,,,,,
172032,42.014190673828125,21.0,,,,,,,,,,,,,,,
173056,43.513771057128906,21.0,0.0003,15.041512665152549,0.2,-3.0019861295819283,0.04732994,-0.027453439170494677,840,0.373681640625,6.304268836975098,5.960464477539063e-08,,,,,
174080,40.60184097290039,21.0,,,,,,,,,,,,,,,
175104,42.03584289550781,21.0,0.0003,15.842423841357231,0.2,-3.0085911005735397,0.057159733,-0.022631159448064864,850,0.4078125,7.31046724319458,0.0,,,,,
176128,39.94890594482422,21.0,,,,,,,,,,,,,,,
177152,42.31288146972656,21.0,0.0003,15.449538230895996,0.2,-3.0048514887690545,0.05450043,-0.023941077482595573,860,0.403955078125,6.22526216506958,0.0,,,,,
178176,41.10061264038086,21.0,,,,,,,,,,,,,,,
179200,42.14377975463867,21.0,0.0003,16.857762414216996,0.2,-2.9968364305794237,0.05976574,-0.02104913366783876,870,0.423876953125,8.651239395141602,1.1920928955078125e-07,,,,,
180224,42.910037994384766,21.0,,,,,,,,,,,,,,,
181248,40.39405059814453,21.0,0.0003,15.923249420523643,0.2,-2.993258912116289,0.058238447,-0.025190204176760746,880,0.391845703125,6.817846298217773,5.960464477539063e-08,,,,,
182272,41.23565673828125,21.0,,,,,,,,,,,,,,,
183296,42.02103042602539,21.0,0.0003,15.315791460871697,0.2,-2.995436231046915,0.046821274,-0.02288868772011483,890,0.36220703125,7.082126140594482,-1.1920928955078125e-07,,,,,
184320,41.0504035949707,21.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,44.8892255,21.0,90,256,718
185344,39.495391845703125,21.0,0.0003,15.92073820233345,0.2,-2.9960284665226937,0.06649311,-0.024878328735940158,900,0.414794921875,6.1139631271362305,0.0,,,,,
186368,41.74872589111328,21.0,,,,,,,,,,,,,,,
