eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
27.0,43.06443405151367,162816,0.0003,11.597697257995605,790,0.0,0.2,-0.01550546567159472,23.703035351634025,0.07231941,-3.5438541531562806,0.4671875,,,,,
27.0,47.6124153137207,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,50.75513669,543,301,80,27.0
27.0,41.832298278808594,164864,0.0003,9.78618049621582,800,0.0,0.2,-0.038514082196343224,26.15300488770008,0.06624495,-3.551232448965311,0.418017578125,,,,,
27.0,47.612918853759766,165888,,,,,,,,,,,,,,,
27.0,48.31889343261719,166912,0.0003,12.745891571044922,810,5.960464477539063e-08,0.2,-0.017301641743688378,21.969038730859758,0.075238064,-3.5421587854623793,0.454638671875,,,,,
27.0,39.319061279296875,167936,,,,,,,,,,,,,,,
27.0,43.69908905029297,168960,0.0003,15.062873840332031,820,0.0,0.2,-0.031036685494473203,23.815660092234612,0.06556678,-3.548608147352934,0.439453125,,,,,
27.0,42.52278137207031,169984,,,,,,,,,,,,,,,
27.0,41.10395431518555,171008,0.0003,9.228772163391113,830,-1.1920928955078125e-07,0.2,-0.005753896711394191,20.715330803394316,0.06966494,-3.5439067125320434,0.458544921875,,,,,
27.0,48.05431365966797,172032,,,,,,,,,,,,,,,
27.0,40.049373626708984,173056,0.0003,8.377342224121094,840,1.1920928955078125e-07,0.2,-0.026290479727322236,20.5286607414484,0.06698017,-3.5537896752357483,0.462548828125,,,,,
27.0,51.82784652709961,174080,,,,,,,,,,,,,,,
27.0,53.27837371826172,175104,0.0003,15.159637451171875,850,0.0,0.2,-0.025455014445469715,27.93702559173107,0.07177065,-3.5497040577232837,0.436865234375,,,,,
27.0,48.319664001464844,176128,,,,,,,,,,,,,,,
27.0,42.817176818847656,177152,0.0003,11.102682113647461,860,0.0,0.2,-0.02948857024894096,23.59719258248806,0.062237523,-3.5407323844730856,0.41201171875,,,,,
27.0,30.341825485229492,178176,,,,,,,,,,,,,,,
27.0,41.495662689208984,179200,0.0003,10.28166675567627,870,-1.1920928955078125e-07,0.2,-0.02998785977542866,24.534854713082314,0.07651449,-3.5242826588451863,0.448046875,,,,,
27.0,49.85163879394531,180224,,,,,,,,,,,,,,,
27.0,50.69499969482422,181248,0.0003,11.871769905090332,880,0.0,0.2,-0.031115722873073536,22.52399759590626,0.0688829,-3.5134236574172975,0.447021484375,,,,,
27.0,54.77480697631836,182272,,,,,,,,,,,,,,,
27.0,48.23085021972656,183296,0.0003,12.727046012878418,890,0.0,0.2,-0.02130064597731689,23.950860831141473,0.07188298,-3.506827162206173,0.44697265625,,,,,
27.0,30.9953556060791,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,46.16340066,543,338,90,27.0
27.0,45.21563720703125,185344,0.0003,9.159692764282227,900,0.0,0.2,-0.025420819746796042,26.23526504933834,0.06261081,-3.5066906467080114,0.44296875,,,,,
27.0,44.22356414794922,186368,,,,,,,,,,,,,,,
27.0,49.052223205566406,187392,0.0003,13.504201889038086,910,0.0,0.2,-0.035873922117752956,28.367385971546174,0.085768364,-3.4849965289235114,0.472216796875,,,,,
27.0,50.87326431274414,188416,,,,,,,,,,,,,,,
27.0,50.0177116394043,189440,0.0003,10.218916893005371,920,-1.1920928955078125e-07,0.2,-0.03802737660589628,23.68117263019085,0.07900627,-3.472541429847479,0.44453125,,,,,
27.0,44.582393646240234,190464,,,,,,,,,,,,,,,
