time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
111616,50.64844512939453,180.0,0.245361328125,-3.806826129555702,-0.024432076764060184,7.890662670135498,0.0,20.032139882445335,0.01815263,0.2,0.0003,540,,,,,
112640,52.075965881347656,180.0,,,,,,,,,,,,,,,
113664,56.88624572753906,180.0,0.206884765625,-3.80967403575778,-0.018558893298904876,6.396689414978027,0.0,20.884402990341187,0.01623759,0.2,0.0003,550,,,,,
114688,53.99498748779297,180.0,,,,,,,,,,,,,,,
115712,54.855594635009766,180.0,0.175732421875,-3.7992473542690277,-0.01689587798609864,11.195219993591309,0.0,20.286396643519403,0.014189746,0.2,0.0003,560,,,,,
116736,49.11749267578125,180.0,,,,,,,,,,,,,,,
117760,55.190032958984375,180.0,0.174072265625,-3.7715912111103536,-0.014554729642986786,5.458469867706299,0.0,21.121630302071573,0.017765012,0.2,0.0003,570,,,,,
118784,53.30856704711914,180.0,,,,,,,,,,,,,,,
119808,55.897151947021484,180.0,0.220849609375,-3.7810656897723676,-0.018056067852012348,7.720918655395508,0.0,20.417552138864995,0.016826075,0.2,0.0003,580,,,,,
120832,57.62480163574219,180.0,,,,,,,,,,,,,,,
121856,53.113037109375,180.0,0.21123046875,-3.7608708299696447,-0.019086244609206916,7.908049583435059,0.0,19.706118270754814,0.017893214,0.2,0.0003,590,,,,,
122880,56.02824783325195,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,316,60,180.0,387,51.60770356
123904,58.4621696472168,180.0,0.181787109375,-3.7169846422970294,-0.01660483486339217,11.031086921691895,1.1920928955078125e-07,18.635783404111862,0.014977786,0.2,0.0003,600,,,,,
124928,57.86638641357422,180.0,,,,,,,,,,,,,,,
125952,62.68547058105469,180.0,0.15107421875,-3.6828584380447866,-0.014851719875878189,9.525847434997559,0.0,18.291372986137866,0.012563327,0.2,0.0003,610,,,,,
126976,58.281036376953125,180.0,,,,,,,,,,,,,,,
128000,56.957237243652344,180.0,0.192626953125,-3.6899880707263946,-0.01636574980802834,8.755627632141113,5.960464477539063e-08,22.285839253664015,0.016288906,0.2,0.0003,620,,,,,
129024,61.56632614135742,180.0,,,,,,,,,,,,,,,
130048,58.728233337402344,180.0,0.18701171875,-3.679919497668743,-0.017617664267891086,9.661431312561035,0.0,18.3631582275033,0.015896864,0.2,0.0003,630,,,,,
131072,58.5421142578125,180.0,,,,,,,,,,,,,,,
132096,63.388427734375,180.0,0.17626953125,-3.6711903646588326,-0.01561281600734219,8.256185531616211,0.0,22.203285333514213,0.014340548,0.2,0.0003,640,,,,,
133120,62.511661529541016,180.0,,,,,,,,,,,,,,,
134144,60.544918060302734,180.0,0.237353515625,-3.6681473389267922,-0.021188268598052673,6.627600193023682,0.0,19.04634232521057,0.019005943,0.2,0.0003,650,,,,,
135168,59.06861877441406,180.0,,,,,,,,,,,,,,,
136192,61.877952575683594,180.0,0.213720703125,-3.6882676400244234,-0.01841532821272267,7.303592205047607,0.0,19.560851177573205,0.016202167,0.2,0.0003,660,,,,,
137216,59.739200592041016,180.0,,,,,,,,,,,,,,,
138240,66.16452026367188,180.0,0.18828125,-3.6844412453472613,-0.014200061128940433,12.964950561523438,-2.384185791015625e-07,20.938412588834762,0.01649179,0.2,0.0003,670,,,,,
139264,68.12033081054688,180.0,,,,,,,,,,,,,,,
140288,64.19938659667969,180.0,0.226171875,-3.664732650667429,-0.01840016777132405,6.6249589920043945,0.0,19.410761518776418,0.01830416,0.2,0.0003,680,,,,,
141312,61.95000076293945,180.0,,,,,,,,,,,,,,,
142336,68.51199340820312,180.0,0.2435546875,-3.650033585727215,-0.02152296469430439,12.388213157653809,1.7881393432617188e-07,21.41411487907171,0.019277912,0.2,0.0003,690,,,,,
143360,65.39423370361328,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,314,70,180.0,455,63.27124084
144384,65.756591796875,180.0,0.193310546875,-3.65914416834712,-0.016193337141885422,13.068791389465332,0.0,19.64387617409229,0.015777659,0.2,0.0003,700,,,,,
145408,65.88775634765625,180.0,,,,,,,,,,,,,,,
146432,69.8797378540039,180.0,0.184716796875,-3.6273701593279837,-0.017827204267814523,15.568856239318848,1.1920928955078125e-07,21.3015502050519,0.016503105,0.2,0.0003,710,,,,,
147456,67.24870300292969,180.0,,,,,,,,,,,,,,,
148480,64.64069366455078,180.0,0.1966796875,-3.599738406389952,-0.015675120218656958,7.785948276519775,0.0,22.2777480840683,0.016350098,0.2,0.0003,720,,,,,
149504,69.01515197753906,180.0,,,,,,,,,,,,,,,
150528,67.71349334716797,180.0,0.204150390625,-3.5785122819244863,-0.014850887239299481,9.25423812866211,1.1920928955078125e-07,20.394463565945625,0.015278431,0.2,0.0003,730,,,,,
151552,70.96444702148438,180.0,,,,,,,,,,,,,,,
