time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
89088,40.0,26.439035415649414,,,,,,,,,,,,,,,
89600,40.0,24.917980194091797,,,,,,,,,,,,,,,
90112,40.0,29.391645431518555,,,,,,,,,,,,,,,
90624,40.0,21.491561889648438,-5.25616856366396,-1.1920928955078125e-07,440,0.0003,0.44091796875,0.16529077,69154.68775634766,0.034579966549063104,31764.115234375,0.2,,,,,
91136,40.0,18.84522247314453,,,,,,,,,,,,,,,
91648,40.0,28.191001892089844,,,,,,,,,,,,,,,
92160,40.0,24.495119094848633,,,,,,,,,,,,,,,
92672,40.0,23.456893920898438,-5.261889071762562,0.0,450,0.0003,0.47509765625,0.15327713,66016.95926513671,0.040543066381360404,28953.08984375,0.2,,,,,
93184,40.0,20.64605712890625,,,,,,,,,,,,,,,
93696,40.0,32.40562057495117,,,,,,,,,,,,,,,
94208,40.0,32.0373649597168,,,,,,,,,,,,,,,
94720,40.0,25.90225601196289,-5.2625728964805605,0.0,460,0.0003,0.43974609375,0.15344746,66669.11274414063,0.028747613710584118,32436.177734375,0.2,,,,,
95232,40.0,20.575246810913086,,,,,,,,,,,,,,,
95744,40.0,27.024734497070312,,,,,,,,,,,,,,,
96256,40.0,24.210847854614258,,,,,,,,,,,,,,,
96768,40.0,29.081737518310547,-5.2618480831384655,0.0,470,0.0003,0.44501953125,0.14835176,68753.96677246093,0.03842970795012661,31299.806640625,0.2,,,,,
97280,40.0,30.561141967773438,,,,,,,,,,,,,,,
97792,40.0,21.001001358032227,,,,,,,,,,,,,,,
98304,40.0,27.06668472290039,,,,,,,,,,,,,,,
98816,40.0,16.94434928894043,-5.262301157414913,0.0,480,0.0003,0.459912109375,0.1558258,62218.2068359375,0.034363720632973126,33468.8359375,0.2,,,,,
99328,40.0,28.86064910888672,,,,,,,,,,,,,,,
99840,40.0,26.257091522216797,,,,,,,,,,,,,,,
100352,40.0,18.73565673828125,,,,,,,,,,,,,,,
100864,40.0,28.858318328857422,-5.263079856336117,0.0,490,0.0003,0.443408203125,0.15393656,65162.05355224609,0.027011025726096705,30011.46484375,0.2,,,,,
101376,40.0,27.414825439453125,,,,,,,,,,,,,,,
101888,40.0,28.578290939331055,,,,,,,,,,,,,,,
102400,40.0,26.952899932861328,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,50,274,372,40.0,932.8681974699998
102912,40.0,16.31187629699707,-5.2614736467599865,0.0,500,0.0003,0.468505859375,0.15602133,68945.39787597656,0.036728995757584926,38517.90234375,0.2,,,,,
103424,40.0,21.833690643310547,,,,,,,,,,,,,,,
103936,40.0,24.602874755859375,,,,,,,,,,,,,,,
104448,40.0,23.191062927246094,,,,,,,,,,,,,,,
104960,40.0,25.89086151123047,-5.25765440016985,0.0,510,0.0003,0.422998046875,0.15351939,66282.8923095703,0.02826497638161527,29859.71484375,0.2,,,,,
105472,40.0,20.857126235961914,,,,,,,,,,,,,,,
105984,40.0,22.553909301757812,,,,,,,,,,,,,,,
106496,40.0,24.406354904174805,,,,,,,,,,,,,,,
