eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations
,61440,,,,,,,,,,,,21.0,409.96139133,179,341,30
21.0,61952,27.982280731201172,300,29031.65412597656,13299.4033203125,-5.146283578872681,-0.06586722428910434,0.0,0.27646484375,0.2,0.025659043,0.0003,,,,,
21.0,62464,27.44243812561035,,,,,,,,,,,,,,,
21.0,62976,21.097003936767578,,,,,,,,,,,,,,,
21.0,63488,21.052078247070312,,,,,,,,,,,,,,,
21.0,64000,24.73565673828125,310,27771.215966796874,14491.123046875,-5.1365916892886165,-0.06298646129434929,0.0,0.273486328125,0.2,0.024617927,0.0003,,,,,
21.0,64512,26.909347534179688,,,,,,,,,,,,,,,
21.0,65024,29.05007553100586,,,,,,,,,,,,,,,
21.0,65536,29.130544662475586,,,,,,,,,,,,,,,
21.0,66048,26.75079345703125,320,30987.768420410157,15056.1357421875,-5.129995311796665,-0.06510890724603087,0.0,0.284619140625,0.2,0.025506675,0.0003,,,,,
21.0,66560,33.68389129638672,,,,,,,,,,,,,,,
21.0,67072,29.0650577545166,,,,,,,,,,,,,,,
21.0,67584,25.445255279541016,,,,,,,,,,,,,,,
21.0,68096,27.385665893554688,330,28302.910705566406,12438.7333984375,-5.121199433505535,-0.0617205097922124,0.0,0.27490234375,0.2,0.025888463,0.0003,,,,,
21.0,68608,30.336498260498047,,,,,,,,,,,,,,,
21.0,69120,28.949615478515625,,,,,,,,,,,,,,,
21.0,69632,28.82586097717285,,,,,,,,,,,,,,,
21.0,70144,26.13041114807129,340,29056.762200927733,13150.8046875,-5.119980770349502,-0.06502566870767623,0.0,0.268408203125,0.2,0.024606287,0.0003,,,,,
21.0,70656,30.692779541015625,,,,,,,,,,,,,,,
21.0,71168,21.642295837402344,,,,,,,,,,,,,,,
21.0,71680,29.206653594970703,,,,,,,,,,,,,,,
21.0,72192,29.339397430419922,350,30535.66732788086,13179.755859375,-5.123691163957119,-0.06534251595730893,-1.1920928955078125e-07,0.295458984375,0.2,0.028785668,0.0003,,,,,
21.0,72704,26.379741668701172,,,,,,,,,,,,,,,
21.0,73216,27.72420883178711,,,,,,,,,,,,,,,
21.0,73728,27.73002052307129,,,,,,,,,,,,,,,
21.0,74240,33.520660400390625,360,28239.502655029297,13354.6201171875,-5.116710592806339,-0.0627919883816503,0.0,0.28779296875,0.2,0.025969865,0.0003,,,,,
21.0,74752,23.889305114746094,,,,,,,,,,,,,,,
21.0,75264,30.08163070678711,,,,,,,,,,,,,,,
21.0,75776,31.08243179321289,,,,,,,,,,,,,,,
21.0,76288,21.05601692199707,370,29137.916662597658,14342.80859375,-5.10307330340147,-0.06325031683081761,0.0,0.282763671875,0.2,0.027161675,0.0003,,,,,
21.0,76800,26.31715965270996,,,,,,,,,,,,,,,
21.0,77312,27.614788055419922,,,,,,,,,,,,,,,
21.0,77824,27.65993881225586,,,,,,,,,,,,,,,
21.0,78336,27.921276092529297,380,26881.15476074219,12092.0048828125,-5.103954081237316,-0.06114115200471133,0.0,0.26337890625,0.2,0.026473813,0.0003,,,,,
21.0,78848,29.114990234375,,,,,,,,,,,,,,,
21.0,79360,34.15460968017578,,,,,,,,,,,,,,,
21.0,79872,30.403051376342773,,,,,,,,,,,,,,,
21.0,80384,29.607574462890625,390,27764.244342041016,13054.5458984375,-5.095521874725819,-0.056871981418225914,0.0,0.24453125,0.2,0.022440894,0.0003,,,,,
21.0,80896,25.849140167236328,,,,,,,,,,,,,,,
21.0,81408,24.970287322998047,,,,,,,,,,,,,,,
21.0,81920,31.75459861755371,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,21.0,414.5284384099999,244,335,40
21.0,82432,27.6190185546875,400,27936.07130126953,14006.126953125,-5.090726782381535,-0.06032059929566458,0.0,0.27822265625,0.2,0.026964784,0.0003,,,,,
21.0,82944,28.925079345703125,,,,,,,,,,,,,,,
21.0,83456,30.01407814025879,,,,,,,,,,,,,,,
21.0,83968,30.93948745727539,,,,,,,,,,,,,,,
21.0,84480,25.52474594116211,410,25200.773168945314,10289.1552734375,-5.090899997949601,-0.06621809754287825,0.0,0.302978515625,0.2,0.030755866,0.0003,,,,,
21.0,84992,27.312999725341797,,,,,,,,,,,,,,,
21.0,85504,25.517553329467773,,,,,,,,,,,,,,,
21.0,86016,23.289688110351562,,,,,,,,,,,,,,,
21.0,86528,28.645328521728516,,,,,,,,,,,,,,,
21.0,87040,24.28628158569336,,,,,,,,,,,,,,,
21.0,87552,26.575092315673828,,,,,,,,,,,,,,,
21.0,88064,25.063846588134766,,,,,,,,,,,,,,,
21.0,88576,29.291467666625977,420,26550.31875,12950.12109375,-5.084931555390358,-0.06795747365104035,0.0,0.276318359375,0.2,0.02562499,0.0003,,,,,
21.0,89088,28.602075576782227,,,,,,,,,,,,,,,
21.0,89600,28.157882690429688,,,,,,,,,,,,,,,
21.0,90112,30.455135345458984,,,,,,,,,,,,,,,
21.0,90624,27.982654571533203,430,27358.011389160158,13106.94140625,-5.081923910975457,-0.06830344614572822,0.0,0.2759765625,0.2,0.024664272,0.0003,,,,,
21.0,91136,22.778867721557617,,,,,,,,,,,,,,,
21.0,91648,32.683189392089844,,,,,,,,,,,,,,,
21.0,92160,28.164581298828125,,,,,,,,,,,,,,,
21.0,92672,25.630626678466797,440,27114.89644165039,14339.5234375,-5.080330735445022,-0.06169992313953117,0.0,0.254833984375,0.2,0.02240207,0.0003,,,,,
21.0,93184,28.250732421875,,,,,,,,,,,,,,,
21.0,93696,30.58706283569336,,,,,,,,,,,,,,,
21.0,94208,27.911434173583984,,,,,,,,,,,,,,,
21.0,94720,24.242170333862305,450,27713.550701904296,11856.1259765625,-5.068248823285103,-0.06282728416845203,0.0,0.27109375,0.2,0.025334783,0.0003,,,,,
21.0,95232,28.689029693603516,,,,,,,,,,,,,,,
21.0,95744,29.017528533935547,,,,,,,,,,,,,,,
21.0,96256,27.44046401977539,,,,,,,,,,,,,,,
21.0,96768,23.320507049560547,460,27468.053497314453,14931.798828125,-5.044493572413922,-0.061709706170950084,0.0,0.2970703125,0.2,0.027554113,0.0003,,,,,
21.0,97280,21.798404693603516,,,,,,,,,,,,,,,
21.0,97792,31.43003273010254,,,,,,,,,,,,,,,
21.0,98304,24.87193489074707,,,,,,,,,,,,,,,
21.0,98816,27.409984588623047,470,27293.934948730468,13347.70703125,-5.03500849455595,-0.06490077656926588,0.0,0.26640625,0.2,0.024512568,0.0003,,,,,
21.0,99328,34.95393753051758,,,,,,,,,,,,,,,
21.0,99840,31.3908748626709,,,,,,,,,,,,,,,
21.0,100352,28.680660247802734,,,,,,,,,,,,,,,
21.0,100864,26.696680068969727,480,25992.565759277342,12949.8642578125,-5.023542685806751,-0.05876762346597388,0.0,0.253466796875,0.2,0.02541921,0.0003,,,,,
21.0,101376,31.231082916259766,,,,,,,,,,,,,,,
21.0,101888,25.3609561920166,,,,,,,,,,,,,,,
21.0,102400,28.207839965820312,,,,,,,,,,,,,,,
21.0,102912,25.617633819580078,490,27599.321051025392,12292.833984375,-5.010998351871967,-0.06527488010469824,0.0,0.268359375,0.2,0.025454447,0.0003,,,,,
21.0,103424,30.52133560180664,,,,,,,,,,,,,,,
21.0,103936,31.746883392333984,,,,,,,,,,,,,,,
21.0,104448,27.06463050842285,,,,,,,,,,,,,,,
21.0,104960,26.6944522857666,500,28321.871014404296,14223.767578125,-5.001572404801846,-0.06536422405624762,0.0,0.2798828125,0.2,0.02467146,0.0003,,,,,
21.0,105472,26.225900650024414,,,,,,,,,,,,,,,
21.0,105984,29.893985748291016,,,,,,,,,,,,,,,
21.0,106496,23.63816261291504,,,,,,,,,,,,,,,
,106496,,,,,,,,,,,,21.0,424.94109543999997,43,470,10
21.0,107008,32.287113189697266,510,27550.077520751955,12581.4970703125,-4.99487801194191,-0.06027148033026606,0.0,0.290625,0.2,0.027462643,0.0003,,,,,
21.0,107520,26.700069427490234,,,,,,,,,,,,,,,
21.0,108032,32.09663772583008,,,,,,,,,,,,,,,
21.0,108544,27.64571189880371,,,,,,,,,,,,,,,
21.0,109056,32.7929801940918,520,25499.83588256836,12779.341796875,-4.974885533750057,-0.05970045840949752,0.0,0.276123046875,0.2,0.026428025,0.0003,,,,,
21.0,109568,34.9390983581543,,,,,,,,,,,,,,,
21.0,110080,28.5009708404541,,,,,,,,,,,,,,,
21.0,110592,29.702219009399414,,,,,,,,,,,,,,,
21.0,111104,28.229839324951172,530,25487.20194091797,11720.1806640625,-4.958691132068634,-0.06223497102037072,0.0,0.272412109375,0.2,0.026303252,0.0003,,,,,
21.0,111616,25.546579360961914,,,,,,,,,,,,,,,
21.0,112128,29.60576820373535,,,,,,,,,,,,,,,
21.0,112640,26.099929809570312,,,,,,,,,,,,,,,
21.0,113152,33.00348663330078,540,25406.14111633301,11651.6875,-4.948983046412468,-0.05664772316813469,1.1920928955078125e-07,0.25576171875,0.2,0.025422491,0.0003,,,,,
21.0,113664,26.68001365661621,,,,,,,,,,,,,,,
21.0,114176,32.60230255126953,,,,,,,,,,,,,,,
21.0,114688,32.68043899536133,,,,,,,,,,,,,,,
21.0,115200,32.229248046875,550,25185.719641113283,12738.9287109375,-4.933713816106319,-0.06305009083007462,1.1920928955078125e-07,0.2984375,0.2,0.029012375,0.0003,,,,,
21.0,115712,29.407358169555664,,,,,,,,,,,,,,,
21.0,116224,29.3087158203125,,,,,,,,,,,,,,,
21.0,116736,29.545040130615234,,,,,,,,,,,,,,,
21.0,117248,29.374649047851562,560,23016.41717529297,11442.595703125,-4.920801800489426,-0.054921310913050546,0.0,0.2876953125,0.2,0.026673732,0.0003,,,,,
21.0,117760,31.03717613220215,,,,,,,,,,,,,,,
21.0,118272,28.142181396484375,,,,,,,,,,,,,,,
21.0,118784,29.269840240478516,,,,,,,,,,,,,,,
21.0,119296,30.00164222717285,570,26674.755462646484,11507.8369140625,-4.9072608456015585,-0.06252209478407167,0.0,0.30107421875,0.2,0.032337904,0.0003,,,,,
21.0,119808,32.37049102783203,,,,,,,,,,,,,,,
21.0,120320,29.71332359313965,,,,,,,,,,,,,,,
21.0,120832,27.610525131225586,,,,,,,,,,,,,,,
21.0,121344,27.434350967407227,580,24992.307690429687,9919.646484375,-4.8879592880606655,-0.06117488933959976,0.0,0.29716796875,0.2,0.029009175,0.0003,,,,,
21.0,121856,28.628437042236328,,,,,,,,,,,,,,,
21.0,122368,28.955928802490234,,,,,,,,,,,,,,,
21.0,122880,29.24550437927246,,,,,,,,,,,,,,,
21.0,123392,29.505868911743164,590,26082.26534423828,11464.9306640625,-4.865373793244362,-0.05813124899286777,5.960464477539063e-08,0.31142578125,0.2,0.032503203,0.0003,,,,,
21.0,123904,29.315898895263672,,,,,,,,,,,,,,,
21.0,124416,25.59939956665039,,,,,,,,,,,,,,,
21.0,124928,26.94491195678711,,,,,,,,,,,,,,,
21.0,125440,33.28201675415039,600,24060.36016845703,10312.3330078125,-4.84128448665142,-0.053552501113153995,0.0,0.283642578125,0.2,0.02956196,0.0003,,,,,
21.0,125952,25.69443130493164,,,,,,,,,,,,,,,
21.0,126464,28.8062686920166,,,,,,,,,,,,,,,
21.0,126976,28.7137393951416,,,,,,,,,,,,,,,
,126976,,,,,,,,,,,,21.0,424.80932402999997,89,459,20
21.0,127488,30.222545623779297,610,26147.717486572266,14205.919921875,-4.816826492547989,-0.05742941811331548,0.0,0.326953125,0.2,0.03323657,0.0003,,,,,
21.0,128000,27.842233657836914,,,,,,,,,,,,,,,
21.0,128512,32.15598678588867,,,,,,,,,,,,,,,
