eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps
21.0,352256,40.582374572753906,,,,,,,,,,,,,,,
21.0,353280,41.44435119628906,0.0003,0.0,10937.380859375,0.281494140625,23073.165478515624,0.03238845,-0.023843816476437497,1720,0.2,-3.249016738682985,,,,,
21.0,354304,38.74652862548828,,,,,,,,,,,,,,,
21.0,355328,42.37990188598633,0.0003,0.0,11978.998046875,0.241357421875,23966.26351928711,0.025395393,-0.01912566957907984,1730,0.2,-3.253916185349226,,,,,
21.0,356352,38.886924743652344,,,,,,,,,,,,,,,
21.0,357376,42.748138427734375,0.0003,-1.1920928955078125e-07,11172.5654296875,0.2455078125,24060.132678222657,0.028956816,-0.032636789855314416,1740,0.2,-3.2650439217686653,,,,,
21.0,358400,40.21110534667969,,,,,,,,,,,,,,,
21.0,359424,37.36981964111328,0.0003,0.0,11241.6728515625,0.273779296875,24873.453424072264,0.031147867,-0.019709950585092884,1750,0.2,-3.259021753817797,,,,,
21.0,360448,41.070045471191406,,,,,,,,,,,,,,,
21.0,361472,36.635005950927734,0.0003,0.0,11893.47265625,0.26845703125,24741.179705810548,0.029619439,-0.023618837555113716,1760,0.2,-3.250263996422291,,,,,
21.0,362496,42.49032211303711,,,,,,,,,,,,,,,
21.0,363520,40.546287536621094,0.0003,0.0,12967.2119140625,0.270751953125,24551.999243164064,0.029941157,-0.028999051747086925,1770,0.2,-3.2453033186495306,,,,,
21.0,364544,41.2349739074707,,,,,,,,,,,,,,,
21.0,365568,39.18164825439453,0.0003,5.960464477539063e-08,10228.888671875,0.227392578125,23301.56315307617,0.024374237,-0.022838116601633374,1780,0.2,-3.2391947001218795,,,,,
21.0,366592,37.10957336425781,,,,,,,,,,,,,,,
21.0,367616,38.773033142089844,0.0003,0.0,10734.3740234375,0.236962890625,23349.263433837892,0.024345934,-0.019261121757153887,1790,0.2,-3.236836703121662,,,,,
21.0,368640,40.045780181884766,,,,,,,,,,,,,,,
,368640,,,,,,,,,,,,531.7233741800001,180,425,21.0,865
21.0,369664,39.93048095703125,0.0003,0.0,11106.1318359375,0.27900390625,23419.55565185547,0.028706133,-0.022423495816474313,1800,0.2,-3.2209451705217362,,,,,
21.0,370688,39.339752197265625,,,,,,,,,,,,,,,
21.0,371712,38.25533676147461,0.0003,5.960464477539063e-08,9242.84765625,0.2478515625,22458.555236816406,0.0242371,-0.023486767879512628,1810,0.2,-3.2209765516221522,,,,,
21.0,372736,40.227684020996094,,,,,,,,,,,,,,,
