eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
50.0,142500,18.778186798095703,,,,,,,,,,,,,,,
50.0,143000,14.070955276489258,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,740,50.0,759.51423128,70,193
50.0,143500,14.888660430908203,20789.83657836914,-3.22628201469779,0.16591796875,0.0,0.2,9264.37109375,0.0003,700,0.015364701,-0.04637066720169969,,,,,
50.0,144000,12.139357566833496,,,,,,,,,,,,,,,
50.0,144500,11.525823593139648,,,,,,,,,,,,,,,
50.0,145000,17.006580352783203,,,,,,,,,,,,,,,
50.0,145500,17.714195251464844,21469.024331665038,-3.2336431577801705,0.20791015625,0.0,0.2,11692.37890625,0.0003,710,0.017651636,-0.0401991399587132,,,,,
50.0,146000,9.396696090698242,,,,,,,,,,,,,,,
50.0,146500,14.626386642456055,,,,,,,,,,,,,,,
50.0,147000,11.105729103088379,,,,,,,,,,,,,,,
50.0,147500,14.205855369567871,23864.31182861328,-3.1555418729782105,0.2173828125,1.1920928955078125e-07,0.2,11949.130859375,0.0003,720,0.018464658,-0.04533776893513277,,,,,
50.0,148000,17.114824295043945,,,,,,,,,,,,,,,
50.0,148500,16.586164474487305,,,,,,,,,,,,,,,
50.0,149000,18.87044906616211,,,,,,,,,,,,,,,
50.0,149500,9.099774360656738,,,,,,,,,,,,,,,
50.0,150000,18.098726272583008,22511.811334228514,-3.14192665591836,0.1205078125,0.0,0.2,10720.1689453125,0.0003,730,0.010624771,-0.042147110056248493,,,,,
50.0,150500,18.278972625732422,,,,,,,,,,,,,,,
50.0,151000,13.71236801147461,,,,,,,,,,,,,,,
