time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean
147456,120.0,20.360958099365234,,,,,,,,,,,,,,,
148480,120.0,21.90993881225586,0.0003,63.47457504272461,-5.499137832224369,0.3,-0.041105621201131724,0.046770513,0.243603515625,0.0,720,64.7950213521719,,,,,
149504,120.0,21.055217742919922,,,,,,,,,,,,,,,
150528,120.0,25.124347686767578,0.0003,75.13304901123047,-5.489131264388561,0.3,-0.03874588637627312,0.041318193,0.227099609375,5.960464477539063e-08,730,62.306213314831254,,,,,
151552,120.0,24.17793083190918,,,,,,,,,,,,,,,
152576,120.0,23.49972152709961,0.0003,61.143707275390625,-5.5172583989799024,0.3,-0.045637728388101095,0.046227492,0.26796875,0.0,740,58.67369934618473,,,,,
153600,120.0,24.799287796020508,,,,,,,,,,,,,,,
154624,120.0,23.061321258544922,0.0003,68.98114013671875,-5.498771365731955,0.3,-0.04441972550775972,0.040418275,0.271240234375,-1.1920928955078125e-07,750,56.22404118776321,,,,,
155648,120.0,24.49138641357422,,,,,,,,,,,,,,,
156672,120.0,23.122314453125,0.0003,34.787418365478516,-5.464322333782912,0.3,-0.045311526337172836,0.042764146,0.27451171875,0.0,760,56.7949829980731,,,,,
157696,120.0,22.011892318725586,,,,,,,,,,,,,,,
158720,120.0,21.400047302246094,0.0003,52.886722564697266,-5.508051401376724,0.3,-0.04278024104132783,0.04742049,0.25234375,-1.1920928955078125e-07,770,57.11192270070315,,,,,
159744,120.0,23.325515747070312,,,,,,,,,,,,,,,
160768,120.0,23.54857063293457,0.0003,85.81202697753906,-5.515167729556561,0.3,-0.04001477187048295,0.041336294,0.201904296875,0.0,780,63.940000218153,,,,,
161792,120.0,20.61147117614746,,,,,,,,,,,,,,,
162816,120.0,24.554218292236328,0.0003,55.567039489746094,-5.507217583060265,0.3,-0.04080953568627592,0.047512554,0.261328125,0.0,790,50.2369758233428,,,,,
163840,120.0,21.523569107055664,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,120.0,456,80,358,22.791416360000003
164864,120.0,24.658004760742188,0.0003,45.97713088989258,-5.509206001460552,0.3,-0.04246252339980856,0.045925878,0.262451171875,0.0,800,51.528020459413526,,,,,
165888,120.0,21.107189178466797,,,,,,,,,,,,,,,
166912,120.0,21.91742515563965,0.0003,76.61205291748047,-5.4992799535393715,0.3,-0.03837524465707247,0.043876696,0.239599609375,0.0,810,61.5750828102231,,,,,
167936,120.0,24.134065628051758,,,,,,,,,,,,,,,
168960,120.0,20.89499855041504,0.0003,42.95510482788086,-5.46892809048295,0.3,-0.04210124818055192,0.0469051,0.26025390625,0.0,820,65.34275680631399,,,,,
169984,120.0,22.97931671142578,,,,,,,,,,,,,,,
