time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps
592896,45.38788604736328,180.0,3e-05,33.94922268539667,-4.037072178721428,-0.009597055268386612,0.0060631717,0.2,0.010498046875,16.99488639831543,-1.1920928955078125e-07,2890,,,,,
593920,47.86030578613281,180.0,,,,,,,,,,,,,,,
593920,,,,,,,,,,,,,180.0,290,46.839728889999996,2128,279
594944,45.58476257324219,180.0,3e-05,34.76081998795271,-4.029801461100578,-0.00641275881389447,0.0035357787,0.2,0.007861328125,31.202503204345703,0.0,2900,,,,,
595968,47.15277099609375,180.0,,,,,,,,,,,,,,,
596992,43.30493927001953,180.0,3e-05,31.609550102055074,-4.029467552900314,-0.009291634928013081,0.0051806844,0.2,0.013134765625,28.45114517211914,0.0,2910,,,,,
598016,47.944366455078125,180.0,,,,,,,,,,,,,,,
599040,47.39291763305664,180.0,3e-05,30.718710839748383,-4.035731592029333,-0.007627741787655395,0.003998153,0.2,0.00810546875,24.376832962036133,-1.1920928955078125e-07,2920,,,,,
600064,49.97347640991211,180.0,,,,,,,,,,,,,,,
601088,49.113914489746094,180.0,3e-05,30.015417832136155,-4.024449688941241,-0.00834052573700319,0.003911012,0.2,0.006005859375,19.624740600585938,1.1920928955078125e-07,2930,,,,,
602112,45.957096099853516,180.0,,,,,,,,,,,,,,,
603136,47.20604705810547,180.0,3e-05,31.006713074445724,-4.004020280763507,-0.008344338653114392,0.005301548,0.2,0.013330078125,23.649736404418945,0.0,2940,,,,,
604160,43.398101806640625,180.0,,,,,,,,,,,,,,,
605184,50.93883514404297,180.0,3e-05,31.101611170172692,-4.0012743961066,-0.006791121849892079,0.0034523676,0.2,0.003466796875,8.94566822052002,5.960464477539063e-08,2950,,,,,
606208,44.117950439453125,180.0,,,,,,,,,,,,,,,
607232,48.644798278808594,180.0,3e-05,29.011200605332853,-4.015559383481741,-0.009485953219700605,0.005280629,0.2,0.015625,25.84284019470215,0.0,2960,,,,,
608256,46.77616882324219,180.0,,,,,,,,,,,,,,,
609280,44.24513244628906,180.0,3e-05,31.237433896958827,-4.016716048866511,-0.007811253581166966,0.0045634303,0.2,0.00341796875,30.18033218383789,0.0,2970,,,,,
610304,43.01287841796875,180.0,,,,,,,,,,,,,,,
611328,44.26886749267578,180.0,3e-05,30.796224829554557,-4.013946912437677,-0.008338748216920067,0.0049962993,0.2,0.0103515625,21.812646865844727,0.0,2980,,,,,
612352,47.40145492553711,180.0,,,,,,,,,,,,,,,
613376,53.31365203857422,180.0,3e-05,31.673981809616087,-3.99754394069314,-0.007041179280349752,0.004425131,0.2,0.008203125,24.688718795776367,0.0,2990,,,,,
614400,40.272884368896484,180.0,,,,,,,,,,,,,,,
614400,,,,,,,,,,,,,180.0,300,47.4489293,2199,279
615424,48.10580062866211,180.0,3e-05,30.708880236744882,-3.9898544393479822,-0.009046589423815022,0.0053452337,0.2,0.00712890625,18.6248836517334,0.0,3000,,,,,
616448,44.49988555908203,180.0,,,,,,,,,,,,,,,
617472,46.08171844482422,180.0,3e-05,32.65297130644321,-3.993962923437357,-0.007672373553577927,0.003998131,0.2,0.00771484375,30.83942985534668,-1.1920928955078125e-07,3010,,,,,
618496,54.13085174560547,180.0,,,,,,,,,,,,,,,
619520,51.929073333740234,180.0,3e-05,28.519594684243202,-3.998703907430172,-0.009477265639361576,0.0060181464,0.2,0.013525390625,16.596216201782227,0.0,3020,,,,,
620544,47.58226776123047,180.0,,,,,,,,,,,,,,,
621568,50.579551696777344,180.0,3e-05,27.322481328248976,-3.9940140310674908,-0.008128234686591896,0.00401214,0.2,0.019775390625,15.260741233825684,5.960464477539063e-08,3030,,,,,
622592,47.11651611328125,180.0,,,,,,,,,,,,,,,
623616,52.675537109375,180.0,3e-05,28.72976433932781,-3.9961086809635162,-0.0075727390565589305,0.0043899156,0.2,0.0044921875,23.154144287109375,0.0,3040,,,,,
624640,46.87836837768555,180.0,,,,,,,,,,,,,,,
625664,43.10981750488281,180.0,3e-05,31.111880096793175,-3.9947892747819425,-0.008860013531375444,0.0051081134,0.2,0.0123046875,15.0930757522583,0.0,3050,,,,,
626688,49.128746032714844,180.0,,,,,,,,,,,,,,,
627712,44.206878662109375,180.0,3e-05,28.260123193264008,-4.010704739764333,-0.009016039143534726,0.005907019,0.2,0.017919921875,13.725443840026855,0.0,3060,,,,,
628736,48.6428108215332,180.0,,,,,,,,,,,,,,,
629760,44.37098693847656,180.0,3e-05,34.843959061801435,-4.016153911501169,-0.008258016553736525,0.0041968212,0.2,0.006591796875,18.53054428100586,0.0,3070,,,,,
630784,45.610626220703125,180.0,,,,,,,,,,,,,,,
631808,44.4769287109375,180.0,3e-05,33.413013787567614,-4.024991737306118,-0.008055072677598219,0.0044115745,0.2,0.009521484375,22.27967071533203,0.0,3080,,,,,
632832,48.25597381591797,180.0,,,,,,,,,,,,,,,
633856,46.90561294555664,180.0,3e-05,32.132507513463494,-4.027006502449512,-0.010250558334155358,0.0067693964,0.2,0.0154296875,24.39533805847168,0.0,3090,,,,,
634880,52.086421966552734,180.0,,,,,,,,,,,,,,,
634880,,,,,,,,,,,,,180.0,310,47.62259451,2271,279
635904,46.9468879699707,180.0,3e-05,34.188294322788714,-4.018886601924896,-0.007205712543509435,0.003272499,0.2,0.00771484375,20.354347229003906,0.0,3100,,,,,
636928,46.37705993652344,180.0,,,,,,,,,,,,,,,
637952,46.129554748535156,180.0,3e-05,28.857731784880162,-4.02105043232441,-0.007421784400321485,0.0042880494,0.2,0.00859375,26.86797523498535,0.0,3110,,,,,
638976,42.081180572509766,180.0,,,,,,,,,,,,,,,
640000,49.5612907409668,180.0,3e-05,31.220051957666875,-4.022324564307928,-0.008751027732796502,0.005207396,0.2,0.009033203125,24.503740310668945,5.960464477539063e-08,3120,,,,,
641024,48.909759521484375,180.0,,,,,,,,,,,,,,,
642048,47.25347900390625,180.0,3e-05,31.09086597263813,-4.019905233383179,-0.009261644217622234,0.0060137818,0.2,0.009423828125,14.707340240478516,0.0,3130,,,,,
643072,44.75636291503906,180.0,,,,,,,,,,,,,,,
644096,48.57120895385742,180.0,3e-05,30.083732701838017,-4.010388740152121,-0.008295121070113964,0.004870384,0.2,0.00517578125,15.074301719665527,0.0,3140,,,,,
645120,45.93352508544922,180.0,,,,,,,,,,,,,,,
646144,46.441837310791016,180.0,3e-05,34.41885925680399,-4.014255526661873,-0.011100922806508606,0.0069572153,0.2,0.0125,29.640357971191406,0.0,3150,,,,,
647168,46.922698974609375,180.0,,,,,,,,,,,,,,,
648192,45.356903076171875,180.0,3e-05,28.173905180394648,-4.020307347178459,-0.007283412529068301,0.004229348,0.2,0.008984375,20.9770565032959,0.0,3160,,,,,
649216,46.61406707763672,180.0,,,,,,,,,,,,,,,
