time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
181248,14.00605297088623,180.0,-0.027892537697334775,0.246240234375,880,-1.1920928955078125e-07,0.020632084,0.2,-5.576123701035977,0.0003,17.793222427368164,47.45787225961685,,,,,
182272,16.583311080932617,180.0,,,,,,,,,,,,,,,
183296,16.771465301513672,180.0,-0.035313435897114685,0.2904296875,890,1.1920928955078125e-07,0.020248335,0.2,-5.597275067865849,0.0003,25.365297317504883,42.26824786067009,,,,,
184320,14.409509658813477,180.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,180.0,15.089370159999998,342,538,90
185344,15.41965389251709,180.0,-0.03261528360308148,0.32587890625,900,0.0,0.020532072,0.2,-5.594789154827595,0.0003,12.927142143249512,40.463855910301206,,,,,
186368,15.559576034545898,180.0,,,,,,,,,,,,,,,
187392,15.044719696044922,180.0,-0.033518050045677227,0.304541015625,910,0.0,0.021019913,0.2,-5.601139678061008,0.0003,21.614063262939453,45.78110881447792,,,,,
188416,15.504222869873047,180.0,,,,,,,,,,,,,,,
189440,15.187311172485352,180.0,-0.03339782745897537,0.320947265625,920,0.0,0.024027582,0.2,-5.607786828279496,0.0003,31.04827308654785,44.11766031980515,,,,,
190464,15.980825424194336,180.0,,,,,,,,,,,,,,,
191488,15.563518524169922,180.0,-0.03562707566889003,0.30458984375,930,0.0,0.020191941,0.2,-5.590300308167935,0.0003,16.06163787841797,43.613367384672166,,,,,
192512,15.831591606140137,180.0,,,,,,,,,,,,,,,
193536,16.24985122680664,180.0,-0.03698503221385181,0.339697265625,940,0.0,0.023128446,0.2,-5.610276365280152,0.0003,34.7294807434082,40.9707396954298,,,,,
194560,15.052018165588379,180.0,,,,,,,,,,,,,,,
195584,14.638921737670898,180.0,-0.0307423952021054,0.312353515625,950,0.0,0.0230912,0.2,-5.644592325389385,0.0003,19.503347396850586,46.48066509962082,,,,,
196608,15.654830932617188,180.0,,,,,,,,,,,,,,,
197632,15.574214935302734,180.0,-0.03069286731479224,0.268994140625,960,0.0,0.020663816,0.2,-5.6351605877280235,0.0003,31.035297393798828,38.72539655566216,,,,,
198656,15.416789054870605,180.0,,,,,,,,,,,,,,,
