eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
40.0,67.06583404541016,490496,0.5986328125,0.2,0.0003,0.15007126,-0.04759285308246035,31.035948020219802,12.726593971252441,2390,-3.2284422539174558,0.0,,,,,
40.0,70.94314575195312,491520,,,,,,,,,,,,,,,
,,491520,,,,,,,,,,,74.55679460000002,377,40.0,240,1303
40.0,64.19046020507812,492544,0.6421875,0.2,0.0003,0.18636969,-0.0521516123902984,33.45212212204933,14.759867668151855,2400,-3.2276369549334047,0.0,,,,,
40.0,69.7116470336914,493568,,,,,,,,,,,,,,,
40.0,68.16913604736328,494592,0.615234375,0.2,0.0003,0.14962997,-0.04982389952347148,32.37489504814148,17.996952056884766,2410,-3.2507610745728015,0.0,,,,,
40.0,70.35502624511719,495616,,,,,,,,,,,,,,,
40.0,73.16024780273438,496640,0.629638671875,0.2,0.0003,0.15076602,-0.05564462062320672,32.28950784802437,15.467742919921875,2420,-3.2378114253282546,0.0,,,,,
40.0,65.55193328857422,497664,,,,,,,,,,,,,,,
40.0,73.603759765625,498688,0.639453125,0.2,0.0003,0.16147742,-0.06040573435020633,33.674945986270906,14.633552551269531,2430,-3.252542569488287,0.0,,,,,
40.0,68.63594055175781,499712,,,,,,,,,,,,,,,
40.0,67.08001708984375,500736,0.59228515625,0.2,0.0003,0.14144763,-0.05272200691106264,32.4836252450943,17.303251266479492,2440,-3.2591803148388863,0.0,,,,,
40.0,66.95309448242188,501760,,,,,,,,,,,,,,,
40.0,72.64204406738281,502784,0.6052734375,0.2,0.0003,0.17655212,-0.058351511228829624,35.002768063545226,13.505606651306152,2450,-3.276218704879284,0.0,,,,,
40.0,67.9472427368164,503808,,,,,,,,,,,,,,,
40.0,69.5528793334961,504832,0.599951171875,0.2,0.0003,0.15956475,-0.054834164591738954,34.705137473344806,11.609750747680664,2460,-3.264728523045778,0.0,,,,,
40.0,68.08103942871094,505856,,,,,,,,,,,,,,,
40.0,67.5025634765625,506880,0.633984375,0.2,0.0003,0.19625717,-0.04916178903658874,34.826374262571335,16.84375762939453,2470,-3.232824771851301,-1.1920928955078125e-07,,,,,
40.0,69.72428894042969,507904,,,,,,,,,,,,,,,
40.0,67.28092956542969,508928,0.6501953125,0.2,0.0003,0.18556201,-0.05690150836016983,38.00377735495567,13.895867347717285,2480,-3.2312317728996276,0.0,,,,,
40.0,68.76679992675781,509952,,,,,,,,,,,,,,,
40.0,66.93873596191406,510976,0.66689453125,0.2,0.0003,0.2037499,-0.056763084221165626,32.94435998797417,14.431316375732422,2490,-3.2222175769507886,0.0,,,,,
40.0,66.84877014160156,512000,,,,,,,,,,,,,,,
,,512000,,,,,,,,,,,75.24487004999999,377,40.0,250,1356
40.0,67.05892181396484,513024,0.649560546875,0.2,0.0003,0.18469298,-0.04764435788529227,28.820708149671553,14.33373737335205,2500,-3.224263034760952,0.0,,,,,
40.0,69.29865264892578,514048,,,,,,,,,,,,,,,
40.0,66.01337432861328,515072,0.659619140625,0.2,0.0003,0.20943063,-0.04627828419324942,34.79825125932693,12.469374656677246,2510,-3.2331227593123915,0.0,,,,,
40.0,66.33718872070312,516096,,,,,,,,,,,,,,,
40.0,64.86984252929688,517120,0.657666015625,0.2,0.0003,0.2305712,-0.05017069340392481,33.10397674441337,21.191253662109375,2520,-3.2094241097569465,0.0,,,,,
