eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations
180.0,163840,38.383052825927734,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,34.94260678999999,252,648,180.0,80
180.0,164864,35.998958587646484,800,10.283025741577148,0.0,0.2,0.18271484375,0.0003,-0.017907778463268187,-3.4225400052964687,16.651594972610475,0.016674418,,,,,
180.0,165888,36.7579345703125,,,,,,,,,,,,,,,
180.0,166912,37.284698486328125,810,7.549337863922119,0.0,0.2,0.19072265625,0.0003,-0.01809574641229119,-3.399313608556986,16.16969341188669,0.014389867,,,,,
180.0,167936,36.28689193725586,,,,,,,,,,,,,,,
180.0,168960,35.08203887939453,820,7.042840003967285,0.0,0.2,0.19775390625,0.0003,-0.018441774223174435,-3.3271177887916563,16.068694442510605,0.014101932,,,,,
180.0,169984,37.80620574951172,,,,,,,,,,,,,,,
180.0,171008,35.709678649902344,830,9.32199764251709,0.0,0.2,0.20400390625,0.0003,-0.019893259022501296,-3.4226870901882647,17.32961360216141,0.01733984,,,,,
180.0,172032,36.0498161315918,,,,,,,,,,,,,,,
180.0,173056,38.221221923828125,840,6.8000407218933105,0.0,0.2,0.18935546875,0.0003,-0.01559107530338224,-3.4996555633842945,16.595861192047597,0.016535956,,,,,
180.0,174080,37.50006866455078,,,,,,,,,,,,,,,
180.0,175104,39.68950653076172,850,8.918461799621582,0.0,0.2,0.193798828125,0.0003,-0.01702787353715394,-3.5179377779364587,16.018173384666444,0.015252383,,,,,
180.0,176128,35.86469268798828,,,,,,,,,,,,,,,
180.0,177152,37.89830017089844,860,5.443431377410889,0.0,0.2,0.224169921875,0.0003,-0.020506779038987587,-3.551175905764103,18.89983628988266,0.015313175,,,,,
180.0,178176,38.439083099365234,,,,,,,,,,,,,,,
180.0,179200,38.01194763183594,870,10.835875511169434,0.0,0.2,0.17451171875,0.0003,-0.01609534160234034,-3.5194153018295764,19.148686408996582,0.014081318,,,,,
180.0,180224,40.45276641845703,,,,,,,,,,,,,,,
180.0,181248,37.72816467285156,880,7.742029190063477,0.0,0.2,0.1654296875,0.0003,-0.01623565592090017,-3.447908616065979,19.266859585046767,0.0139788035,,,,,
180.0,182272,37.390838623046875,,,,,,,,,,,,,,,
180.0,183296,40.62989044189453,890,5.041919708251953,-1.1920928955078125e-07,0.2,0.2109375,0.0003,-0.01802138653874863,-3.424179892987013,16.573957674205303,0.018926613,,,,,
180.0,184320,38.98516082763672,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,37.51069056,250,735,180.0,90
180.0,185344,40.258331298828125,900,7.423727512359619,0.0,0.2,0.21015625,0.0003,-0.018183569780376274,-3.329299334436655,15.590306895971299,0.017579265,,,,,
180.0,186368,39.80097198486328,,,,,,,,,,,,,,,
180.0,187392,39.333431243896484,910,7.151260852813721,0.0,0.2,0.135498046875,0.0003,-0.011793531458533835,-3.255037046968937,13.48728263527155,0.014334463,,,,,
180.0,188416,41.56327819824219,,,,,,,,,,,,,,,
180.0,189440,41.246498107910156,920,5.492669105529785,0.0,0.2,0.1591796875,0.0003,-0.015103857484064065,-3.2627449944615363,14.042168159782886,0.013160984,,,,,
180.0,190464,41.25677490234375,,,,,,,,,,,,,,,
180.0,191488,40.18145751953125,930,9.640090942382812,0.0,0.2,0.158984375,0.0003,-0.016937708162004128,-3.3227874085307123,18.59086180329323,0.01366807,,,,,
180.0,192512,38.43260192871094,,,,,,,,,,,,,,,
180.0,193536,38.1322021484375,940,8.710538864135742,0.0,0.2,0.172900390625,0.0003,-0.01591337097779615,-3.3072112902998922,17.882287891209124,0.014508804,,,,,
180.0,194560,36.71470642089844,,,,,,,,,,,,,,,
180.0,195584,41.07453918457031,950,7.5673651695251465,1.1920928955078125e-07,0.2,0.217822265625,0.0003,-0.017157938703894614,-3.3579214230179786,17.959802386164665,0.01944266,,,,,
180.0,196608,37.88666534423828,,,,,,,,,,,,,,,
180.0,197632,40.25891876220703,960,7.714498043060303,0.0,0.2,0.1529296875,0.0003,-0.015096647276368457,-3.3070678278803824,17.39814051091671,0.013909783,,,,,
180.0,198656,38.743106842041016,,,,,,,,,,,,,,,
180.0,199680,41.331298828125,970,10.047143936157227,0.0,0.2,0.2044921875,0.0003,-0.01890085862687556,-3.3635565653443336,16.178983849287032,0.017838784,,,,,
180.0,200704,42.08633804321289,,,,,,,,,,,,,,,
180.0,201728,38.410186767578125,980,8.30429744720459,0.0,0.2,0.16708984375,0.0003,-0.015064206298120553,-3.407114568352699,18.48095390200615,0.014783308,,,,,
180.0,202752,40.390621185302734,,,,,,,,,,,,,,,
180.0,203776,42.445884704589844,990,10.102935791015625,0.0,0.2,0.198681640625,0.0003,-0.01907631433568895,-3.4754545018076897,18.987768405675887,0.016139183,,,,,
180.0,204800,41.310997009277344,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,40.38923462,249,821,180.0,100
180.0,205824,42.00044250488281,1000,7.628869533538818,0.0,0.2,0.21796875,0.0003,-0.018558204588771332,-3.511475080996752,19.2187099725008,0.017441452,,,,,
180.0,206848,41.86109924316406,,,,,,,,,,,,,,,
180.0,207872,41.51702117919922,1010,16.772733688354492,1.7881393432617188e-07,0.2,0.189794921875,0.0003,-0.017837454601249192,-3.573197691887617,20.40572680234909,0.017117802,,,,,
180.0,208896,42.92040252685547,,,,,,,,,,,,,,,
180.0,209920,36.68748474121094,1020,7.09145450592041,1.1920928955078125e-07,0.2,0.1748046875,0.0003,-0.015520700847264379,-3.609504534304142,18.635976046323776,0.017758641,,,,,
180.0,210944,39.31875228881836,,,,,,,,,,,,,,,
180.0,211968,37.726985931396484,1030,8.406631469726562,0.0,0.2,0.219580078125,0.0003,-0.019332475052215158,-3.613097060471773,20.79782266020775,0.015020068,,,,,
180.0,212992,40.403770446777344,,,,,,,,,,,,,,,
180.0,214016,38.633758544921875,1040,11.005964279174805,-1.1920928955078125e-07,0.2,0.18134765625,0.0003,-0.015040738359675742,-3.6537928119301797,22.02980428636074,0.017679198,,,,,
180.0,215040,40.50514221191406,,,,,,,,,,,,,,,
180.0,216064,41.52079772949219,1050,6.711842060089111,1.1920928955078125e-07,0.2,0.172412109375,0.0003,-0.013377929422131275,-3.669472723454237,19.505658891797065,0.014311047,,,,,
180.0,217088,39.56507873535156,,,,,,,,,,,,,,,
180.0,218112,37.99515151977539,1060,13.920092582702637,0.0,0.2,0.212451171875,0.0003,-0.016839850982069037,-3.6020709946751595,20.065181970596313,0.016888645,,,,,
180.0,219136,41.83431625366211,,,,,,,,,,,,,,,
180.0,220160,44.042572021484375,1070,11.319424629211426,0.0,0.2,0.1791015625,0.0003,-0.01507546774664661,-3.577122923731804,21.8124841094017,0.01491491,,,,,
180.0,221184,40.824462890625,,,,,,,,,,,,,,,
180.0,222208,38.89019012451172,1080,5.515633583068848,0.0,0.2,0.1931640625,0.0003,-0.01614238922484219,-3.5966921523213387,19.098307321965695,0.016028987,,,,,
180.0,223232,42.48616027832031,,,,,,,,,,,,,,,
180.0,224256,40.30387878417969,1090,11.807931900024414,0.0,0.2,0.221923828125,0.0003,-0.018758134532254188,-3.605109816789627,22.894553235173227,0.019009996,,,,,
180.0,225280,39.98319625854492,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,40.85672722,251,897,180.0,110
180.0,226304,45.10289764404297,1100,10.228012084960938,0.0,0.2,0.19443359375,0.0003,-0.015902363120403606,-3.642000713944435,21.068498894572258,0.016574878,,,,,
180.0,227328,40.31776428222656,,,,,,,,,,,,,,,
180.0,228352,43.07279586791992,1110,14.142104148864746,0.0,0.2,0.19775390625,0.0003,-0.01594292293593753,-3.5940162792801855,22.026717072725297,0.015305563,,,,,
180.0,229376,43.70143127441406,,,,,,,,,,,,,,,
180.0,230400,43.03327178955078,1120,6.12813663482666,0.0,0.2,0.1548828125,0.0003,-0.012975940635078587,-3.5633918859064577,20.314194482564925,0.01433772,,,,,
180.0,231424,44.00779724121094,,,,,,,,,,,,,,,
180.0,232448,44.887908935546875,1130,11.13498592376709,1.1920928955078125e-07,0.2,0.189599609375,0.0003,-0.015145190521434416,-3.542268294841051,19.475865778326988,0.016058594,,,,,
180.0,233472,44.51390075683594,,,,,,,,,,,,,,,
180.0,234496,43.021305084228516,1140,10.40807819366455,0.0,0.2,0.176611328125,0.0003,-0.013344575252267532,-3.5679199151694774,22.57396760135889,0.0151269715,,,,,
180.0,235520,42.91865539550781,,,,,,,,,,,,,,,
180.0,236544,45.056640625,1150,9.999709129333496,0.0,0.2,0.157568359375,0.0003,-0.013225601763406303,-3.595210863649845,19.420639480650426,0.016753465,,,,,
180.0,237568,43.257904052734375,,,,,,,,,,,,,,,
180.0,238592,45.67488098144531,1160,13.635964393615723,5.960464477539063e-08,0.2,0.169140625,0.0003,-0.013543327593652066,-3.5864697605371476,22.27949625849724,0.01678614,,,,,
180.0,239616,44.54487991333008,,,,,,,,,,,,,,,
180.0,240640,45.982635498046875,1170,5.8802642822265625,0.0,0.2,0.183984375,0.0003,-0.014330961213272531,-3.5420445024967195,21.647140780091284,0.014783503,,,,,
180.0,241664,45.02912521362305,,,,,,,,,,,,,,,
180.0,242688,48.13328170776367,1180,12.187559127807617,1.1920928955078125e-07,0.2,0.18408203125,0.0003,-0.014229792126570828,-3.530715087801218,17.684232595562936,0.015457777,,,,,
180.0,243712,43.8039665222168,,,,,,,,,,,,,,,
180.0,244736,45.90448760986328,1190,14.257858276367188,0.0,0.2,0.13984375,0.0003,-0.013029296712193172,-3.539762261509895,21.32209016829729,0.013207249,,,,,
180.0,245760,44.12545394897461,,,,,,,,,,,,,,,
,245760,,,,,,,,,,,,44.51504384999999,252,974,180.0,120
180.0,246784,45.342620849609375,1200,10.06872272491455,0.0,0.2,0.19423828125,0.0003,-0.01734423224988859,-3.500699745118618,23.250443747639657,0.016196102,,,,,
