eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,338404,29.699142456054688,0.081103515625,23728.6953125,-0.007595833472441882,-2.3203520834445954,0.0,0.016154349,1650,0.0003,0.2,48652.31005859375,,,,,
50.0,338904,31.180160522460938,,,,,,,,,,,,,,,
50.0,339404,32.91719055175781,,,,,,,,,,,,,,,
50.0,339904,30.944293975830078,,,,,,,,,,,,,,,
50.0,340404,32.752803802490234,0.043505859375,24705.603515625,-0.004160885661258362,-2.323032566159964,0.0,0.011439225,1660,0.0003,0.2,53000.205017089844,,,,,
50.0,340904,32.26227569580078,,,,,,,,,,,,,,,
50.0,341404,29.050819396972656,,,,,,,,,,,,,,,
50.0,341904,31.46411895751953,,,,,,,,,,,,,,,
50.0,342404,32.65340042114258,0.079150390625,22377.998046875,-0.006676658900687471,-2.3008590921759606,0.0,0.014129151,1670,0.0003,0.2,50902.6693359375,,,,,
50.0,342904,33.99921417236328,,,,,,,,,,,,,,,
50.0,343404,35.730995178222656,,,,,,,,,,,,,,,
50.0,343904,32.03685760498047,,,,,,,,,,,,,,,
50.0,344404,31.92746925354004,0.084716796875,26832.142578125,-0.00756766957056243,-2.3112559050321577,0.0,0.015492016,1680,0.0003,0.2,50603.98491210937,,,,,
50.0,344904,30.44126319885254,,,,,,,,,,,,,,,
50.0,345404,33.01850891113281,,,,,,,,,,,,,,,
50.0,345904,32.76921844482422,,,,,,,,,,,,,,,
50.0,346404,34.004150390625,0.10869140625,22762.44140625,-0.009423654573038221,-2.2989654913544655,0.0,0.01230995,1690,0.0003,0.2,49533.25693359375,,,,,
50.0,346904,32.18815612792969,,,,,,,,,,,,,,,
50.0,347404,32.94251251220703,,,,,,,,,,,,,,,
50.0,347904,33.00104522705078,,,,,,,,,,,,,,,
